frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,1072.5,351.42857142857144,315.0,533.5714285714286,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
5,997.5,340.7142857142857,383.57142857142867,555.0,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
8,1001.7857142857143,345.0,319.28571428571433,582.8571428571429,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
11,1010.3571428571429,362.14285714285717,287.1428571428571,559.2857142857142,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
14,978.2142857142857,422.14285714285717,357.857142857143,518.5714285714284,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
17,821.7857142857143,402.85714285714283,539.9999999999999,550.7142857142858,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
20,888.2142857142857,387.85714285714283,390.0000000000001,576.4285714285716,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
21,888.2142857142857,387.85714285714283,390.0000000000001,576.4285714285716,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
23,866.7857142857143,381.00000653948103,370.71428571428567,522.8571428571429,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
26,862.5,368.14286368233815,375.0,542.1428571428571,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
28,778.9285714285714,372.85714285714283,477.8571428571428,572.1428571428571,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
32,778.9285714285714,377.14285714285717,398.57142857142856,576.4285714285713,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
36,783.2142857142857,381.42857142857144,351.42857142857144,548.5714285714286,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
39,776.7857142857143,379.2857142857143,422.142857142857,580.7142857142858,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
44,763.9285714285714,302.14285714285717,430.71428571428567,705.0,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
64,699.6428571428571,297.85714285714283,417.8571428571429,698.5714285714287,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
74,658.9285714285714,297.85714285714283,458.57142857142856,694.2857142857142,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
78,635.3571428571429,293.57142857142856,387.8571428571428,711.4285714285714,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
86,697.5,289.2857142857143,392.1428571428571,720.0,imported_alex_pfeiffer_2024_06_28_view_02,human_ui,f7c78c2e-f26a-4d53-8aec-9be97a32d710,researcher_01,,
