frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,279.5,74.0,156.0,214.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
1,279.5,74.0,156.0,214.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
2,279.5,74.0,156.0,214.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
3,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
4,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
5,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
6,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
7,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
8,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
9,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
10,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
11,326.5,73.0,141.0,220.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
22,340.5,119.80000305175781,122.0,182.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
23,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
24,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
25,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
26,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
27,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
28,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
29,314.5,129.8000030517578,148.0,169.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
30,338.5,131.8000030517578,176.0,172.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
31,338.5,131.8000030517578,176.0,172.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
32,338.5,131.8000030517578,176.0,172.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
33,379.5,128.8000030517578,105.0,180.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
34,384.5,131.8000030517578,102.0,180.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
35,384.5,131.8000030517578,102.0,180.0,imported_carmen_menayo_2024_06_15_view_01,human_ui,9c46f957-b2a1-4edc-ac39-f862bc435689,researcher_01,,
