frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,47.5,219.0,83.0,128.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
8,67.5,223.0,92.0,128.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
17,94.5,220.0,100.0,134.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
30,132.5,219.0,111.0,127.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
42,124.5,197.0,111.0,149.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
52,118.5,179.0,131.0,156.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
58,163.5,167.0,104.0,164.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
65,188.5,131.0,90.0,192.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
69,197.5,132.0,116.0,195.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
79,227.5,125.0,100.0,198.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
86,208.5,116.0,131.0,217.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
90,240.5,115.0,122.0,226.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
96,275.5,116.0,102.0,217.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
98,288.5,115.0,81.0,209.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
100,289.5,119.0,66.0,224.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
143,186.5,160.0,86.0,143.0,imported_charlotte_newsham_2026_05_02_view_01,human_ui,bf60c5b7-bbd4-4cfe-bc9a-7750a098e6b0,researcher_01,,
