frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,472.0,40.0,92.0,109.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
5,481.0,39.0,84.0,114.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
13,485.0,36.0,97.0,130.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
19,469.0,50.0,99.0,136.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
30,448.0,51.0,115.0,138.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
37,435.0,50.0,110.0,140.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
47,412.0,48.0,119.0,131.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
57,390.0,51.0,121.0,132.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
61,400.0,49.0,103.0,138.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
73,416.0,47.0,94.0,142.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
96,433.0,65.0,67.0,138.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
104,448.0,68.0,58.0,151.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
113,465.0,73.0,51.0,159.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
120,441.0,90.0,66.0,120.0,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,human_ui,26658976-aed1-458d-8045-aee24e27272a,researcher_01,,
