frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,474.0,159.0,116.0,174.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
13,502.0,156.0,120.0,182.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
16,519.0,156.0,115.0,182.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
25,517.0,148.0,118.0,175.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
27,498.0,146.0,132.0,178.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
30,483.0,139.0,114.0,189.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
32,471.0,136.0,120.0,192.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
35,455.0,123.0,115.0,195.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
40,448.0,129.0,95.0,191.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
42,440.0,129.0,83.0,165.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
44,425.0,126.0,102.0,170.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
48,411.0,120.0,136.0,180.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
55,395.0,122.0,97.0,142.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
77,375.0,121.0,69.0,135.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
79,385.0,117.0,80.0,131.0,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,human_ui,1dae8b17-4c16-4818-9229-67ccf7b8b053,researcher_01,,
