frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,137.5,96.0,164.0,188.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
9,155.5,94.0,178.0,198.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
14,184.5,96.0,127.0,201.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
16,152.5,88.0,161.0,216.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
25,190.5,108.0,122.0,189.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
32,200.5,106.0,113.0,194.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
37,203.5,106.0,86.0,194.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
47,205.5,107.0,110.0,197.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
48,204.5,107.0,129.0,214.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
50,210.5,108.0,150.0,200.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
52,229.5,104.0,135.0,205.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
64,221.5,112.0,108.0,209.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
71,228.5,110.0,102.0,214.0,imported_inma_gabarro_2026_03_28_view_01,human_ui,27e9d216-5e8a-4b88-b677-c996460d2395,researcher_01,,
