frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,214.5,80.0,73.0,137.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
29,201.5,73.0,74.0,153.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
49,179.5,70.0,105.0,163.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
59,206.5,66.0,89.0,186.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
69,220.5,66.0,87.0,191.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
84,235.5,73.0,70.0,181.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
104,265.5,96.0,51.0,167.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
109,266.5,102.0,72.0,157.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
114,261.5,101.0,108.0,174.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
123,292.5,120.0,93.0,151.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
133,310.5,128.0,89.0,140.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
143,327.5,136.0,87.0,145.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
153,327.5,136.0,87.0,145.0,imported_laura_wienroither_2023_05_01_view_01,human_ui,1d5f796f-ef70-49fd-b073-5098dcc128e5,researcher_01,,
