frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,409.5,26.0,78.0,106.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
4,400.5,39.0,80.0,132.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
9,366.5,42.0,84.0,143.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
14,335.5,60.0,104.0,136.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
18,314.5,66.0,115.0,143.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
20,311.5,67.0,126.0,149.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
22,295.5,82.0,118.0,146.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
27,279.5,86.0,112.0,157.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
31,280.5,84.0,87.0,170.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
44,289.5,94.0,99.0,166.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
47,301.5,92.0,88.0,172.0,imported_lena_oberdorf_2025_10_19_view_01,human_ui,1375bd6a-f162-417c-a7fc-99d9b7dfebb4,researcher_01,,
