frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,439.5,126.0,70.0,123.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
2,410.5,123.0,118.0,139.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
9,379.5,115.0,88.0,151.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
12,353.5,114.0,119.0,162.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
19,332.5,121.0,119.0,160.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
22,293.5,122.0,125.0,166.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
28,269.5,97.0,141.0,210.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
34,281.5,89.0,97.0,220.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
41,274.5,79.0,104.0,236.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
47,273.5,82.0,96.0,229.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
55,268.5,93.0,94.0,212.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
59,264.5,96.0,103.0,208.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
64,254.5,95.0,90.0,212.0,imported_ludmila_da_silva_2023_03_12_view_01,human_ui,ec09bb01-c906-4257-a588-e14195922117,researcher_01,,
