frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,457.5,53.0,174.0,258.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
2,423.5,39.0,208.0,288.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
4,402.5,51.0,213.0,276.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
9,401.5,51.0,166.0,280.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
19,382.5,52.0,145.0,276.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
23,369.5,39.0,142.0,276.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
26,348.5,41.0,157.0,283.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
28,342.5,44.0,172.0,283.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
32,325.5,50.0,181.0,264.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
37,289.5,42.0,179.0,273.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
46,270.5,43.0,152.0,290.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
53,269.5,47.0,134.0,302.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
57,269.5,46.0,110.0,308.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
62,235.5,45.0,135.0,260.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
65,232.5,43.0,122.0,269.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
72,199.5,37.0,150.0,285.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
77,206.5,35.0,131.0,285.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
82,200.5,37.0,128.0,272.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
91,200.5,39.0,122.0,282.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
105,187.5,43.0,162.0,282.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
109,189.5,46.0,179.0,278.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
113,211.5,44.0,170.0,275.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
116,220.5,41.0,204.0,274.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
121,253.5,38.0,200.0,250.0,imported_marie_h_binger_2025_10_12_view_01,human_ui,aeabc0a5-a3ee-4197-86fa-166b3ac5fdd9,researcher_01,,
