frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,250.5,214.0,65.0,126.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
2,240.5,213.0,65.0,130.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
4,215.5,215.0,80.0,128.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
6,201.5,211.0,76.0,133.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
8,184.5,208.0,80.0,138.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
11,158.5,215.0,82.0,134.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
13,134.5,215.0,105.0,139.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
15,120.5,214.0,99.0,144.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
18,83.5,228.0,113.0,128.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
20,56.5,229.0,142.0,126.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
24,37.5,209.0,106.0,143.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
28,9.5,217.0,110.0,139.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
45,6.5,186.0,130.0,173.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
52,7.5,149.0,141.0,211.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
59,29.5,151.0,133.0,206.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
64,77.5,140.0,88.0,208.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
68,77.5,135.0,100.0,212.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
76,124.5,94.0,74.0,237.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
83,123.5,90.0,92.0,217.0,imported_sofie_lundgaard_2024_10_06_view_01,human_ui,cda0e473-913f-49a7-9380-a91b10f818cc,researcher_01,,
