frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
5,701.2607003891051,243.8032920969226,238.0700389105058,469.9396789694305,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
7,636.5136186770428,224.95859319088026,278.9105058365759,486.4287905122176,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
24,633.5252918287938,220.2474184643697,313.7743190661479,499.3845210101216,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
28,745.0894941634241,221.42521214599734,218.147859922179,488.78437787547284,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
33,824.7782101167315,220.2474184643697,160.37354085603113,497.02893364686634,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
34,832.7470817120623,226.41889257915582,252.01556420233464,475.84291328132747,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
41,786.9260700389106,210.67854175814497,213.1673151750972,495.2156527533408,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
45,722.1789883268483,208.2569493241433,207.19066147859917,487.95087545133583,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
51,685.3229571984435,234.89446609816164,221.13618677042803,474.6321170643266,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
53,640.4980544747082,244.5808358341683,270.9416342412451,474.6321170643266,leah_williamson_replay_close_oblique_02,human_ui,ecb1d78b-4a76-4d7a-975a-0d5b3832814d,researcher_01,,
