frame_index,x,y,width,height,view_id,annotation_source,annotation_session_id,annotator_id,flags,note
0,983.15953307393,127.13360278508749,173.32295719844353,369.2928461852542,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
2,943.3151750972762,128.34439900208832,172.3268482490272,388.6655856572675,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
3,925.3852140077821,128.34439900208832,162.3657587548638,397.14115917627333,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
5,871.5953307392996,140.45236117209666,157.3852140077821,382.61160457226333,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
6,824.7782101167315,136.81997252109414,170.33463035019452,372.92523483625666,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
8,767.0038910505837,129.55519521908914,185.2762645914397,391.08717809126915,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
10,736.124513618677,122.29041791708416,193.24513618677042,386.2439932232658,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
11,678.3501945525292,106.55006709607332,221.13618677042803,401.98434404427667,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
13,634.5214007782101,113.81484439807832,245.04280155642016,412.8815099972842,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
17,556.8249027237354,116.23643683207999,230.1011673151752,479.4753019323299,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
19,447.25291828793775,111.39325196407665,342.6614785992218,519.4315770933575,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
26,403.42412451361866,111.39325196407665,351.62645914396893,513.3775960083533,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
50,405.41634241245134,124.71201035108582,167.34630350194556,456.47017380931413,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
54,409.40077821011675,116.6015744811369,138.45914396887156,399.2720580717718,leah_williamson_replay_frontal_oblique_03,human_ui,97787e5f-313f-420e-9512-85b4155eef5e,researcher_01,,
