frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
0,0.0,17,1.0,0.979223370552063,4,6,0.9993156492710114,0.9978195130825043,637.9617233276367,319.7976531982422,605.4336242675781,178.02599716186523,145.45542163755107,,,134.9914082327412,,False,False,VALID_TARGET,,True,1
1,33.333333333333336,17,1.0,0.9810402989387512,4,6,0.9993602335453033,0.9980144202709198,637.6298065185547,320.3219680786133,604.1407012939453,177.41864395141602,146.77493047297878,0.6205440048294335,1.4284704190113588,134.9914082327412,0.009774761614107485,False,False,VALID_TARGET,,True,1
2,66.66666666666667,17,1.0,0.9715296030044556,4,6,0.9969109296798706,0.9931926131248474,637.4485855102539,336.0701904296875,609.0315628051758,195.0135841369629,143.8905603514061,15.749265007381238,18.26204934981307,134.9914082327412,0.021367064462352228,False,False,VALID_TARGET,,True,1
3,100.0,17,1.0,0.9742064476013184,4,6,0.9970936179161072,0.9935256540775299,637.0836486816406,335.67677307128906,608.3899917602539,195.1206398010254,143.45505410200914,0.536615417936835,0.6504416352679228,134.9914082327412,0.003226177540470478,False,False,VALID_TARGET,,True,1
4,133.33333333333334,17,1.0,0.9744365811347961,4,6,0.9968620836734772,0.9932899177074432,638.4138336181641,336.8746032714844,609.1249389648438,196.00225830078125,143.88487386642865,1.7900249031378876,1.1477798450252548,134.9914082327412,0.0031840527485900833,False,False,VALID_TARGET,,True,1
5,166.66666666666666,17,1.0,0.9623495936393738,4,6,0.997766524553299,0.990574985742569,632.7324905395508,347.2196350097656,585.4635391235352,209.44061279296875,145.66198107600437,11.802429446641629,27.21123323019327,134.9914082327412,0.013164594938603603,False,False,VALID_TARGET,,True,1
6,200.0,17,1.0,0.958894670009613,4,6,0.9971403777599335,0.9853790402412415,634.81982421875,348.2432098388672,585.9823989868164,208.1197509765625,148.39028885618055,2.3247940379933962,1.4191164489795245,134.9914082327412,0.020210973541903158,False,False,VALID_TARGET,,True,1
7,233.33333333333334,17,1.0,0.96412593126297,4,6,0.9970645606517792,0.9837890565395355,635.6125717163086,351.2086486816406,585.8411254882812,210.74927520751953,149.01688648060008,3.0695726290666063,2.6333165177354827,134.9914082327412,0.004641759298778503,False,False,VALID_TARGET,,True,1
8,266.6666666666667,17,1.0,0.9625228643417358,4,6,0.997494101524353,0.997029721736908,626.1342391967773,350.5265350341797,579.4240264892578,214.79238891601562,143.5465164802296,9.502845172834085,7.584584894580365,134.9914082327412,0.040523838309316045,False,False,VALID_TARGET,,True,1
9,300.0,17,1.0,0.9659626483917236,4,6,0.9975005388259888,0.9974301159381866,624.6828994750977,347.9967346191406,577.6166839599609,217.32166290283203,138.89277522959821,2.916552267259595,3.108651463028846,134.9914082327412,0.034474351453596085,False,False,VALID_TARGET,,True,1
10,333.3333333333333,17,1.0,0.9640520215034485,4,6,0.9972917437553406,0.9972175061702728,625.6218872070312,349.6741485595703,579.7022323608398,216.8418960571289,140.54544462936428,1.9223463497168365,2.1400206444435272,134.9914082327412,0.01224277471731142,False,False,VALID_TARGET,,True,1
11,366.66666666666663,17,1.0,0.9335587620735168,4,6,0.9944812953472137,0.9933219254016876,631.4528427124023,368.9030303955078,591.6308441162109,228.74156188964844,145.708712251238,20.093529773687465,16.849149098278232,134.9914082327412,0.03824886109026763,False,False,VALID_TARGET,,True,1
12,400.0,17,1.0,0.9391247630119324,4,6,0.9947363436222076,0.9937769770622253,634.1334075927734,368.0707244873047,591.776481628418,228.90221405029297,145.47158992190376,2.806806228208268,0.21683957591180042,134.9914082327412,0.0017565734918879297,False,False,VALID_TARGET,,True,1
13,433.33333333333337,17,1.0,0.939555823802948,4,6,0.9951685965061188,0.993876039981842,634.74072265625,368.83856201171875,592.2046966552734,227.95746612548828,147.16248396266292,0.9789821501048205,1.037264069872081,134.9914082327412,0.012525938227445257,False,False,VALID_TARGET,,True,1
14,466.6666666666667,17,1.0,0.905765950679779,4,6,0.9859668016433716,0.9563027024269104,668.8095321655273,365.05104064941406,620.2132720947266,229.264892578125,144.22022916673978,34.27869745847034,28.039073844843575,134.9914082327412,0.021795867118078637,False,False,VALID_TARGET,,True,1
15,500.0,17,1.0,0.9240367412567139,4,6,0.9871697127819061,0.9596243500709534,671.0115737915039,365.44268798828125,620.9167709350586,230.04763793945312,144.3651926572011,2.236598971781766,1.052426205977982,134.9914082327412,0.0010738719771808565,False,False,VALID_TARGET,,True,1
16,533.3333333333334,17,1.0,0.91889488697052,4,6,0.9879187643527985,0.960180014371872,670.3770294189453,368.10438537597656,621.9757995605469,230.52005004882812,145.8496773366974,2.736289375122783,1.1596183987362978,134.9914082327412,0.010996882682613864,False,False,VALID_TARGET,,True,1
17,566.6666666666666,17,1.0,0.977139413356781,4,6,0.9960132837295532,0.9939121007919312,711.9823150634766,360.2802429199219,655.6081771850586,243.5909194946289,129.59337028948474,42.33458395609523,36.08302166874228,134.9914082327412,0.12042475339752627,False,False,VALID_TARGET,,True,1
18,600.0,17,1.0,0.974707305431366,4,6,0.9945063591003418,0.9911845922470093,712.4344177246094,360.5821228027344,654.6284332275391,243.4228057861328,130.64393368033618,0.5436251280526494,0.9940625942466312,134.9914082327412,0.00778244633940066,False,False,VALID_TARGET,,True,1
19,633.3333333333333,17,1.0,0.9788936972618103,4,6,0.9962472319602966,0.9939407408237457,713.3338470458984,359.9628448486328,655.5439453125,244.55318450927734,129.06999047803964,1.0920065423021605,1.454619687563517,134.9914082327412,0.011659580582957312,False,False,VALID_TARGET,,True,1
20,666.6666666666666,17,1.0,0.873668909072876,4,6,0.9878587126731873,0.9728655219078064,747.6180877685547,384.5959930419922,712.7083587646484,252.26891326904297,136.8544673014463,42.21612431103838,57.6827759008046,134.9914082327412,0.05766646133497105,False,False,VALID_TARGET,,True,1
21,700.0,17,1.0,0.8758082389831543,4,6,0.988195538520813,0.9733614027500153,747.9858856201172,383.1267395019531,712.3610763549805,253.33354949951172,134.5934590022384,1.5145894574211547,1.1198461391153252,134.9914082327412,0.01674927559322631,False,False,VALID_TARGET,,True,1
22,733.3333333333333,17,1.0,0.9021464586257935,4,6,0.9894523322582245,0.9773780405521393,748.5366516113281,385.5098419189453,712.0557174682617,254.65648651123047,135.84350988327887,2.4459191129202478,1.3577210268215818,134.9914082327412,0.00926022550179808,False,False,VALID_TARGET,,True,1
23,766.6666666666667,17,1.0,0.9246823191642761,4,6,0.97075155377388,0.9633686542510986,772.5643463134766,375.22084045410156,746.8678131103516,232.98080444335938,144.54251853000397,26.137973598640137,41.00874536122069,134.9914082327412,0.06444120230027515,False,False,VALID_TARGET,,True,1
24,800.0,17,1.0,0.9380754232406616,4,6,0.9781062304973602,0.9696426391601562,774.0313720703125,376.0181884765625,750.1249084472656,232.182861328125,145.808505715058,1.6697090884769188,3.353413671007093,134.9914082327412,0.009378279711485917,False,False,VALID_TARGET,,True,1
25,833.3333333333334,17,1.0,0.7546353340148926,4,6,0.9114854037761688,0.8131274580955505,791.7881622314453,351.66607666015625,773.0521240234375,222.35447692871094,130.66188791241865,30.13849609295819,24.945026638167857,134.9914082327412,0.11220430989596604,False,False,VALID_TARGET,,True,1
26,866.6666666666667,17,1.0,0.4644104540348053,4,6,0.8228712677955627,0.6613276898860931,795.0693054199219,356.02984619140625,784.7198181152344,213.45956420898438,142.9454343167951,5.459705591435493,14.671556076684746,134.9914082327412,0.09099502379587111,False,False,VALID_TARGET,,True,1
27,900.0,17,1.0,0.4161224067211151,4,6,0.7942798435688019,0.6518467366695404,796.5732727050781,360.76292419433594,778.1517181396484,212.78675079345703,149.1184145804068,4.966280799213546,6.602470384742786,134.9914082327412,0.045728690028692565,False,False,VALID_TARGET,,True,1
28,933.3333333333334,17,1.0,0.4638115167617798,4,6,0.8014123737812042,0.6484097242355347,797.5277099609375,363.0186462402344,779.2216796875,212.29468536376953,151.83156169473497,2.4493330569207217,1.177686758427068,134.9914082327412,0.02009866516578876,False,False,VALID_TARGET,,True,1
29,966.6666666666666,17,1.0,0.3858455419540405,4,6,0.71054607629776,0.5168993324041367,812.9858551025391,360.6014862060547,803.0017395019531,222.3426513671875,138.61885865684732,15.645987148456166,25.815748402570314,134.9914082327412,0.09787810358350646,False,False,VALID_TARGET,,True,1
30,1000.0,17,1.0,0.39978015422821045,4,6,0.7031075954437256,0.5534828454256058,813.2188720703125,360.3829040527344,802.9437561035156,221.36273193359375,139.39937684282023,0.31949188568799647,0.9816334197800407,134.9914082327412,0.00578198417359424,False,False,VALID_TARGET,,True,1
31,1033.3333333333335,17,1.0,0.2969360649585724,4,6,0.7262446284294128,0.4795686900615692,813.447998046875,359.2460174560547,805.783935546875,219.1225128173828,140.33294127263136,1.1597455957431533,3.617347226783473,134.9914082327412,0.006915732208686584,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
32,1066.6666666666667,17,1.0,0.3174891471862793,4,6,0.4802667200565338,0.3923613727092743,809.2967376708984,386.3956756591797,818.4341278076172,251.31501007080078,135.38935746324398,27.465194396830068,34.588787831392196,134.9914082327412,0.03662147001877373,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
33,1100.0,17,1.0,0.25313594937324524,4,6,0.4933559447526932,0.36994563043117523,811.2644653320312,398.59544372558594,818.7959442138672,254.95872497558594,143.83403681818203,12.35743877275922,3.66163480144937,134.9914082327412,0.06255716171490275,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
34,1133.3333333333333,17,1.0,0.29996901750564575,4,6,0.4664177894592285,0.32644903659820557,814.6748657226562,387.63587951660156,821.5958404541016,254.12496948242188,133.69017536598614,11.477930060565209,2.921398154729998,134.9914082327412,0.0751444968609163,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
35,1166.6666666666667,17,1.0,0.17647685110569,4,6,0.24047565460205078,0.4384690672159195,819.3199157714844,321.1220245361328,805.7982635498047,227.75816345214844,94.33793317278892,66.67585315778828,30.73714196676779,134.9914082327412,0.2915166432322069,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
36,1200.0,17,1.0,0.1955813616514206,4,6,0.2870279476046562,0.4802335500717163,824.703369140625,320.68717193603516,814.0836181640625,229.76210021972656,91.54314708059835,5.400987591313577,8.52425150100903,134.9914082327412,0.020703436824453556,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
37,1233.3333333333335,17,1.0,0.2917529046535492,4,6,0.43315303325653076,0.5203871726989746,832.3381958007812,326.4740982055664,821.7638854980469,233.7554702758789,93.31966568490449,9.580140592894423,8.656414426703567,134.9914082327412,0.013160234622067345,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
38,1266.6666666666665,17,1.0,0.3487950563430786,4,6,0.32578904926776886,0.5115039646625519,820.2579650878906,356.9846649169922,820.6587371826172,245.0046844482422,111.98069764050206,32.81503702769553,11.303369953018258,134.9914082327412,0.13823866422242023,False,False,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,False,
39,1300.0,17,1.0,0.5192145109176636,4,6,0.6338590085506439,0.6912371516227722,826.8636322021484,350.6947479248047,815.2898712158203,242.19898223876953,109.11133357799132,9.121287945953476,6.057779020207777,134.9914082327412,0.02125590139458073,False,False,VALID_TARGET,,True,2
40,1333.3333333333333,17,1.0,0.4491454064846039,4,6,0.6191190779209137,0.619809627532959,832.7990875244141,347.1255187988281,817.3609466552734,230.19886016845703,117.94142483435905,6.925967545139867,12.177531900114534,134.9914082327412,0.06541224639381206,False,False,VALID_TARGET,,True,2
41,1366.6666666666667,17,1.0,0.58355712890625,4,6,0.8786295652389526,0.8612394332885742,824.60107421875,354.7678985595703,811.2086639404297,202.93321990966797,152.4241657145676,11.207737977274755,27.951130948944876,134.9914082327412,0.2554439673727695,False,False,VALID_TARGET,,True,2
