frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
0,0,0,0.0,17,1.0,0.9419985413551331,4,6,0.9936642944812775,0.9966162443161011,False,,,,,904.1113128662109,465.76190185546875,882.2307167053223,390.27529525756836,78.5938182303295,1,0,False,839.5390930175781,360.6904754638672,133.20541381835938,244.3246307373047,906.1417999267578,482.85279083251953,920.0,486.42857142857144,14.312089859315135,0.02544123286477707,1.0,278.27721332412517,,True,,,110.66457506319225,,False,False,False,VALID_TARGET,,True,1
1,1,1,33.333333333333336,17,1.0,0.971305251121521,4,6,0.9951872229576111,0.9980759024620056,False,,,,,908.0700454711914,472.2603530883789,887.7183532714844,393.802791595459,81.05418145171122,1,0,False,847.5606231689453,362.3659973144531,135.9193878173828,246.9267578125,915.5203170776367,485.8293762207031,928.3116883116884,486.8831168831169,12.834700909290744,0.0228031380444287,1.0,281.8632713009007,0.03240475079516451,True,7.609299065238991,6.523602187144096,110.66457506319225,0.022232617980747525,False,False,False,VALID_TARGET,,True,1
2,2,2,66.66666666666667,17,1.0,0.9609070420265198,4,6,0.9920533895492554,0.9959105849266052,False,,,,,908.9037170410156,471.84727478027344,885.8926010131836,392.7446975708008,82.38160706144868,1,0,False,852.150276184082,363.2932434082031,133.05529022216797,246.38253784179688,918.677921295166,486.48451232910156,936.6233766233764,487.3376623376623,17.9657238060119,0.03190149673457827,1.0,280.0144017893898,0.01670696797466699,True,0.9303988257518675,2.1101976859308222,110.66457506319225,0.01199503643310849,False,False,False,VALID_TARGET,,True,1
3,3,3,100.0,17,1.0,0.9791839122772217,4,6,0.9964198768138885,0.9980515837669373,False,,,,,914.5750312805176,474.1239318847656,898.301872253418,395.71875762939453,80.07613286576955,1,0,False,856.1422424316406,363.8517303466797,138.12152099609375,239.6852264404297,925.2030029296875,483.69434356689453,944.9350649350648,487.7922077922078,20.15308319322772,0.03576424671041343,1.0,276.63434771567034,0.030543234560737872,True,6.111216963470727,12.760683600255538,110.66457506319225,0.02083299189792796,False,False,False,VALID_TARGET,,True,1
4,4,4,133.33333333333334,17,1.0,0.9609848856925964,4,6,0.9966115057468414,0.9948739111423492,False,,,,,926.3431167602539,475.4170684814453,911.0775833129883,399.01356506347656,77.91361784674838,1,0,False,863.8438262939453,368.828125,140.94468688964844,215.68246459960938,934.3161697387695,476.6693572998047,953.2467532467532,488.2467532467533,22.190157477250263,0.03935437662079888,1.0,257.651567622211,0.171534387428133,True,11.838920479336506,13.193731432210882,110.66457506319225,0.019541167693332043,False,False,False,VALID_TARGET,,True,1
5,5,5,166.66666666666666,17,1.0,0.9719823598861694,4,6,0.9972768425941467,0.9963706135749817,False,,,,,938.5449371337891,475.32173919677734,924.8229217529297,403.09444427490234,73.51922087348349,1,0,False,876.1816177368164,369.60738372802734,133.79833221435547,217.95777130126953,943.0807838439941,478.5862693786621,961.5584415584415,488.7012987012987,21.065081362531526,0.03733401947758027,1.0,255.74906407249966,0.017191622058142616,True,12.202192757883024,14.338336861950829,110.66457506319225,0.03970915688923559,False,False,False,VALID_TARGET,,True,1
6,6,6,200.0,17,1.0,0.9681537747383118,4,6,0.9955893754959106,0.9950059950351715,False,,,,,949.4771118164062,478.5939178466797,938.6343002319336,402.7835922241211,76.58179962663935,1,0,False,883.3997039794922,372.2267532348633,132.73098754882812,188.34703826904297,949.7651977539062,466.40027236938477,969.8701298701299,489.1558441558442,30.364853741236228,0.05377813165913555,1.0,230.4172777384706,0.2289060100720034,True,11.4113801272297,13.81487620240468,110.66457506319225,0.02767442744353423,False,False,False,VALID_TARGET,,True,1
7,7,7,233.33333333333334,17,1.0,0.9518203735351562,4,6,0.997778058052063,0.9946621358394623,False,,,,,962.9033050537109,492.9088897705078,952.3841552734375,410.5634536743164,83.01459725838444,1,0,False,891.4483184814453,374.6701126098633,124.87109375,221.4815902709961,953.8838653564453,485.4109077453613,978.1818181818182,489.6103896103896,24.658186458836536,0.04363877762084856,1.0,254.25751686683853,0.2154279191399285,True,19.62603082707845,15.798251733866172,110.66457506319225,0.0581287880793994,False,False,False,VALID_TARGET,,True,1
8,8,8,266.6666666666667,17,1.0,0.952173113822937,4,6,0.9980210661888123,0.9949289262294769,False,,,,,961.8786506652832,490.3623809814453,952.7940979003906,407.2765655517578,83.58098961219719,1,0,False,885.8341102600098,374.71912384033203,131.29862594604492,226.24120330810547,951.4834232330322,487.83972549438477,986.4935064935065,489.8051948051948,35.065210672646444,0.062054624279775324,1.0,261.5806018221132,0.06617370510023635,True,2.7449268894629553,3.31235361753693,110.66457506319225,0.005118099929352466,False,False,False,VALID_TARGET,,True,1
9,9,9,300.0,17,1.0,0.8970427513122559,4,6,0.9930699169635773,0.9233279824256897,False,,,,,973.1134376525879,500.62188720703125,965.8661613464355,411.6583251953125,89.25826785049463,1,0,False,896.0401229858398,379.2845153808594,117.9631118774414,204.39443969726562,955.0216789245605,481.4817352294922,994.8051948051949,489.4415584415584,40.57199676367968,0.07191165383149821,1.0,235.99233619541315,0.23122363784515954,True,15.214398004618761,13.78690176621667,110.66457506319225,0.051301676575865214,False,False,False,VALID_TARGET,,True,1
10,10,10,333.3333333333333,17,1.0,0.8330802917480469,4,6,0.9774101078510284,0.9495979249477386,False,,,,,987.537956237793,506.18418884277344,979.8564109802246,433.75325775146484,72.83711908290968,1,0,False,915.9316940307617,408.28411865234375,105.54999542236328,163.96157836914062,968.7066917419434,490.26490783691406,1003.1168831168831,489.07792207792204,34.43065793231411,0.061120363372177286,1.0,194.99795054041147,0.37043819697127883,True,15.459816813336014,26.15173281977039,110.66457506319225,0.14838667891877835,False,False,False,VALID_TARGET,,True,1
11,11,11,366.66666666666663,17,1.0,0.9224994778633118,4,6,0.9910940229892731,0.9892165958881378,False,,,,,1004.3081512451172,499.7238006591797,989.9629669189453,416.1317672729492,84.81398681229716,1,0,False,933.4250946044922,380.1771469116211,109.79248046875,238.57147979736328,988.3213348388672,499.46288681030273,1011.4285714285714,488.7142857142857,25.48483486966053,0.04530880205641962,1.0,262.6228088726959,0.6110795464010857,True,17.971534605213876,20.3140197801151,110.66457506319225,0.10822675388712591,False,False,False,VALID_TARGET,,True,1
12,12,12,400.0,17,1.0,0.9158270955085754,4,6,0.9901263117790222,0.9883784651756287,False,,,,,1013.8892059326172,498.7845458984375,998.2828636169434,411.6719512939453,88.49950315793075,1,0,False,946.1472473144531,376.48946380615234,121.31814575195312,253.67200469970703,1006.8063201904297,503.32546615600586,1015.9821428571429,488.5357142857143,17.404955673478778,0.030865145807229488,1.0,281.18957743319777,0.16777517602087022,True,9.626983350481218,9.439843199541896,110.66457506319225,0.03330348798185025,False,False,False,VALID_TARGET,,True,1
13,13,13,433.33333333333337,17,1.0,0.9177126884460449,4,6,0.9917424619197845,0.9839335978031158,False,,,,,1026.3165130615234,500.21888732910156,1006.236946105957,409.4771041870117,92.9368614540492,1,0,False,958.0687484741211,374.7525329589844,115.40824127197266,257.2689208984375,1015.7728691101074,503.3869934082031,1020.5357142857142,488.3571428571429,15.766454952017801,0.027888432851869715,1.0,281.9687213393293,0.007040590050489297,True,12.509808064710008,8.251350317666114,110.66457506319225,0.040097368951036085,False,False,False,VALID_TARGET,,True,1
14,14,14,466.6666666666667,17,1.0,0.9420026540756226,4,6,0.9951859712600708,0.9967169165611267,False,,,,,1021.4371032714844,500.1030502319336,1007.6216278076172,413.83216857910156,87.37008860845722,1,0,False,953.757942199707,376.57515716552734,128.13597869873047,257.89270782470703,1017.8259315490723,505.52151107788086,1025.0892857142858,488.17857142857144,18.802496361092935,0.03317418270609836,1.0,287.97131417250785,0.0542413218480341,True,4.880784581623056,4.569893792437779,110.66457506319225,0.05030311499785006,False,False,False,VALID_TARGET,,True,1
15,15,15,500.0,17,1.0,0.9667173027992249,4,6,0.9965657591819763,0.9982453882694244,False,,,,,1027.4811630249023,499.88549041748047,1013.1881828308105,405.3857727050781,95.5745046053205,1,0,False,960.624382019043,369.6066436767578,136.66829681396484,260.98399353027344,1028.9585304260254,500.09864044189453,1029.6428571428573,488.0,12.117978527692475,0.021326009893107085,1.0,294.60289922714577,0.059925093923246193,True,6.047974088548309,10.115737149953995,110.66457506319225,0.07413769033295749,False,False,False,VALID_TARGET,,True,1
16,16,16,533.3333333333334,17,1.0,0.9323873519897461,4,6,0.9932774305343628,0.9989084601402283,False,,,,,1036.557716369629,490.49754333496094,1017.8816223144531,404.68737030029297,87.81903145330988,1,0,False,971.7746810913086,371.01013946533203,126.46703338623047,252.64318084716797,1035.0081977844238,497.331729888916,1034.1964285714287,487.82142857142856,9.54488346731224,0.016755015766651244,1.0,282.528737232319,0.10910593555283744,True,13.058230011906435,4.745117501772195,110.66457506319225,0.07008090120602779,False,False,False,VALID_TARGET,,True,1
17,17,17,566.6666666666666,17,1.0,0.9565562605857849,4,6,0.9963693022727966,0.9981757998466492,False,,,,,1038.6471557617188,483.48595428466797,1022.0852241516113,401.01744079589844,84.11511930506452,1,0,False,979.8905410766602,368.12259674072266,127.64876556396484,231.7024154663086,1043.7149238586426,483.97380447387695,1038.75,487.6428571428571,6.1735254441744,0.010809418626724175,1.0,264.5377415094601,0.16257231108135167,True,7.316292639267857,5.580201696407157,110.66457506319225,0.03346971825564165,False,False,False,VALID_TARGET,,True,1
