source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,0.0001220703125,-0.1494598388671875,94,SUPPORTED,3.624872922897339,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,0.0001220703125,-0.00079345703125,97,SUPPORTED,4.897995948791504,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.0001220703125,-0.0002079010009765625,98,SUPPORTED,3.608497142791748,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,0.0001220703125,-0.0002880096435546875,106,SUPPORTED,2.154101610183716,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,0.0001220703125,-5.53131103515625e-05,118,SUPPORTED,1.951160192489624,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,0.0,0.0,128,SUPPORTED,0.0003693713224492967,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.0,0.0001220703125,95,SUPPORTED,0.025866596028208733,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,0.0001068115234375,0.0,95,SUPPORTED,0.027440721169114113,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,1.9073486328125e-05,-1.52587890625e-05,94,SUPPORTED,0.002950937021523714,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.0,2.288818359375e-05,87,SUPPORTED,0.001447435119189322,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.0,-2.288818359375e-05,77,SUPPORTED,0.00041508395224809647,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.0,2.288818359375e-05,86,SUPPORTED,0.00020070074242539704,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,0.0,-3.814697265625e-06,83,SUPPORTED,0.000370025634765625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,0.0,-2.47955322265625e-05,74,SUPPORTED,0.00024716753978282213,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.0,-6.103515625e-05,79,SUPPORTED,0.00032332795672118664,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,2.6702880859375e-05,0.0,84,SUPPORTED,0.0003026587364729494,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.0,0.0,79,SUPPORTED,0.0002471029001753777,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,0.0001220703125,0.0,82,SUPPORTED,0.00037994238664396107,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,0.0,4.57763671875e-05,80,SUPPORTED,0.00025759165873751044,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.0,1.1444091796875e-05,82,SUPPORTED,0.0003160441992804408,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.0,4.1961669921875e-05,85,SUPPORTED,0.0004948090063408017,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.00011444091796875,0.0,85,SUPPORTED,0.00035858154296875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,0.0,1.52587890625e-05,82,SUPPORTED,0.00028409669175744057,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,0.0,0.0,89,SUPPORTED,0.000247955322265625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,3.814697265625e-05,5.14984130859375e-05,94,SUPPORTED,0.0005284057697281241,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,3.814697265625e-06,0.0,90,SUPPORTED,0.00047409982653334737,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,-7.62939453125e-06,6.103515625e-05,90,SUPPORTED,0.0003388844197615981,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,6.103515625e-05,-3.814697265625e-06,90,SUPPORTED,0.0003651595034170896,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,0.0,-3.0517578125e-05,93,SUPPORTED,0.0003665286931209266,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,5.7220458984375e-05,0.0,93,SUPPORTED,0.00034797482658177614,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,0.0,-9.1552734375e-05,94,SUPPORTED,0.0003198568010702729,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,0.0,-4.57763671875e-05,97,SUPPORTED,0.00044877445907332003,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,-7.62939453125e-06,-6.103515625e-05,93,SUPPORTED,0.0003787900204770267,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,0.0,-0.00018310546875,89,SUPPORTED,0.0004425048828125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,7.62939453125e-06,0.0,91,SUPPORTED,0.00033991498639807105,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,1.52587890625e-05,0.0,85,SUPPORTED,0.0001983642578125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,0.0,3.814697265625e-05,69,SUPPORTED,0.0002526931057218462,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,-1.52587890625e-05,2.288818359375e-05,69,SUPPORTED,0.000244408700382337,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,0.0,-3.814697265625e-06,69,SUPPORTED,0.0001348159566987306,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.0,0.0,69,SUPPORTED,0.00017547607421875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,0.0,3.814697265625e-06,69,SUPPORTED,0.0001918379421113059,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,-3.0517578125e-05,0.0,69,SUPPORTED,0.0002813581668306142,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,3.814697265625e-06,0.0,68,SUPPORTED,0.00035640576970763505,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,1.1444091796875e-05,-8.96453857421875e-05,68,SUPPORTED,0.00027688563568517566,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,0.0,0.0,70,SUPPORTED,0.0002913320204243064,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,-1.52587890625e-05,0.0,69,SUPPORTED,0.00038879981730133295,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,-4.57763671875e-05,0.0,71,SUPPORTED,0.00039378320798277855,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,-3.0517578125e-05,6.103515625e-05,73,SUPPORTED,0.0013182966504245996,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,-5.7220458984375e-05,0.0,75,SUPPORTED,0.0003891178057529032,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,-0.0001373291015625,0.0,83,SUPPORTED,0.0016324943862855434,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,-0.001026153564453125,0.00030517578125,94,SUPPORTED,0.0047341519966721535,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
52,-0.0012969970703125,0.00030517578125,103,SUPPORTED,0.008985512889921665,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
53,-0.0030517578125,0.0,123,SUPPORTED,0.0074807447381317616,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
54,0.0,0.0,125,SUPPORTED,0.0002460405812598765,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
55,-0.000244140625,0.0,135,SUPPORTED,0.17780767381191254,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
56,-0.0007781982421875,0.00016021728515625,151,SUPPORTED,0.7434902787208557,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
