feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,73,73,1.0,0,
contralateral_hka_angle_2d_deg,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
elbow_projected_bilateral_absolute_difference_deg,73,73,1.0,0,
elbow_projected_bilateral_difference_deg,73,73,1.0,0,
hka_projected_bilateral_absolute_difference_deg,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
hka_projected_bilateral_difference_deg,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
injured_elbow_angle_2d_deg,73,73,1.0,0,
injured_hka_angle_2d_deg,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
knee_line_deviation_bilateral_absolute_difference,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
knee_line_deviation_bilateral_difference,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
knee_line_deviation_normalized_bilateral_absolute_difference,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
knee_line_deviation_normalized_bilateral_difference,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
left_elbow_angle_2d_deg,73,73,1.0,0,
left_hka_angle_2d_deg,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
left_knee_ankle_distance_normalized,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
left_knee_ankle_x_offset_normalized,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
left_knee_line_deviation_2d,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
left_knee_line_deviation_normalized,72,73,0.9863013698630136,1,Required landmarks were interpolated after temporal-outlier rejection: ['left_ankle'].
left_upper_arm_orientation_2d_deg,73,73,1.0,0,
left_wrist_pelvis_distance_normalized,73,73,1.0,0,
left_wrist_pelvis_x_offset_normalized,73,73,1.0,0,
projected_hip_line_angle_deg,73,73,1.0,0,
projected_shoulder_line_angle_deg,73,73,1.0,0,
projected_shoulder_pelvis_orientation_difference_deg,73,73,1.0,0,
projected_shoulder_pelvis_x_offset_normalized,73,73,1.0,0,
projected_shoulder_pelvis_x_offset_px,73,73,1.0,0,
projected_trunk_axis_angle_deg,73,73,1.0,0,
right_elbow_angle_2d_deg,73,73,1.0,0,
right_hka_angle_2d_deg,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
right_knee_ankle_distance_normalized,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
right_knee_ankle_x_offset_normalized,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
right_knee_line_deviation_2d,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
right_knee_line_deviation_normalized,71,73,0.9726027397260274,2,Required landmarks were interpolated after temporal-outlier rejection: ['right_ankle'].
right_upper_arm_orientation_2d_deg,73,73,1.0,0,
right_wrist_pelvis_distance_normalized,73,73,1.0,0,
right_wrist_pelvis_x_offset_normalized,73,73,1.0,0,
