feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
left_elbow_angle_2d_deg,64,64,1.0,0,
left_hka_angle_2d_deg,64,64,1.0,0,
left_knee_ankle_distance_normalized,64,64,1.0,0,
left_knee_ankle_x_offset_normalized,64,64,1.0,0,
left_knee_line_deviation_2d,64,64,1.0,0,
left_knee_line_deviation_normalized,64,64,1.0,0,
left_upper_arm_orientation_2d_deg,64,64,1.0,0,
left_wrist_pelvis_distance_normalized,64,64,1.0,0,
left_wrist_pelvis_x_offset_normalized,64,64,1.0,0,
projected_hip_line_angle_deg,64,64,1.0,0,
projected_shoulder_line_angle_deg,64,64,1.0,0,
projected_shoulder_pelvis_orientation_difference_deg,64,64,1.0,0,
projected_shoulder_pelvis_x_offset_normalized,64,64,1.0,0,
projected_shoulder_pelvis_x_offset_px,64,64,1.0,0,
projected_trunk_axis_angle_deg,64,64,1.0,0,
right_elbow_angle_2d_deg,64,64,1.0,0,
right_hka_angle_2d_deg,64,64,1.0,0,
right_knee_ankle_distance_normalized,64,64,1.0,0,
right_knee_ankle_x_offset_normalized,64,64,1.0,0,
right_knee_line_deviation_2d,64,64,1.0,0,
right_knee_line_deviation_normalized,64,64,1.0,0,
right_upper_arm_orientation_2d_deg,64,64,1.0,0,
right_wrist_pelvis_distance_normalized,64,64,1.0,0,
right_wrist_pelvis_x_offset_normalized,64,64,1.0,0,
