frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
0,0,0,0.0,17,1.0,0.9812409281730652,4,6,0.9982351660728455,0.9959207773208618,False,,,,,1199.6985244750977,484.8580322265625,1212.2952346801758,336.0287399291992,149.36142525339238,2,1,True,1114.134262084961,271.8134460449219,189.86183166503906,427.8926086425781,1209.0651779174805,485.75975036621094,1194.6171693735498,490.9366339380674,15.347477786335144,0.01761106063895738,1.0,468.1234876121408,,True,,,169.88048541790326,,False,False,False,VALID_TARGET,,True,1
1,1,1,50.8235294117647,17,1.0,0.9827894568443298,4,6,0.9985956251621246,0.994918704032898,False,,,,,1196.0445098876953,487.74658203125,1218.059211730957,340.43651580810547,148.94597244610188,2,0,True,1130.601806640625,273.50938415527344,166.27359008789062,409.82618713378906,1213.7386016845703,478.42247772216797,1198.6078886310904,492.52763228879263,20.685595540257463,0.02359833509371417,1.0,442.27187387548776,0.1521752994351206,True,4.657847419045552,7.2561642512143205,169.88048541790326,0.0024455593370156636,False,False,False,VALID_TARGET,,True,1
2,2,2,101.6470588235294,17,1.0,0.9830793142318726,4,6,0.9983423948287964,0.9954735636711121,False,,,,,1199.0113372802734,494.15655517578125,1221.6483840942383,345.3957977294922,150.47324959756563,2,1,True,1134.4707794189453,274.61785888671875,164.1815948486328,399.8170166015625,1216.5615768432617,474.5263671875,1202.5986078886312,494.11863063951785,24.05870506077267,0.027271275336083686,1.0,432.2143482708721,0.05920353700352514,True,7.063272647361402,6.121816350490683,169.88048541790326,0.008990303669704455,False,False,False,VALID_TARGET,,True,1
3,3,3,152.47058823529412,17,1.0,0.9824597835540771,4,6,0.9980058968067169,0.986202746629715,False,,,,,1213.3026733398438,504.8553466796875,1228.1439361572266,346.9496612548828,158.60160330681404,2,1,True,1145.8637084960938,275.46099853515625,122.46478271484375,417.09002685546875,1207.0960998535156,484.0060119628906,1206.5893271461716,495.709628990243,11.714583650298515,0.013186958037642164,1.0,434.6972665058863,0.014615676597028032,True,17.85235071388727,6.678823882880181,169.88048541790326,0.04784748341902129,False,False,False,VALID_TARGET,,True,1
4,4,4,203.2941176470588,17,1.0,0.9771915674209595,4,6,0.9980734884738922,0.9942901730537415,False,,,,,1215.018424987793,506.55824279785156,1226.9364852905273,348.4223861694336,158.5843287118345,2,1,True,1145.0022888183594,277.0453186035156,126.17547607421875,427.0342712402344,1208.0900268554688,490.5624542236328,1210.5800464037122,497.3006273409683,7.183534945263159,0.008026300358356648,1.0,445.2847623445404,0.062323202177160156,True,2.41736610936339,1.9044306943103233,169.88048541790326,0.00010168675311378257,False,False,False,VALID_TARGET,,True,1
5,5,5,254.1176470588235,17,1.0,0.9761431217193604,4,6,0.9963206052780151,0.9955126941204071,False,,,,,1228.9113693237305,495.87879943847656,1231.6986618041992,344.4178466796875,151.4865974598803,2,0,True,1161.75341796875,277.89308166503906,178.54754638671875,419.1243133544922,1251.0271911621094,487.45523834228516,1214.5707656612526,498.89162569169355,38.208139393396635,0.04235239209303251,1.0,455.57042964353167,0.06054649110337,True,17.523253487510722,6.222110708779129,169.88048541790326,0.041780733287251307,False,False,False,VALID_TARGET,,True,1
6,6,6,304.94117647058823,17,1.0,0.9861969351768494,4,6,0.9981539845466614,0.9979634582996368,False,,,,,1234.164207458496,499.9088134765625,1233.0769348144531,341.90027618408203,158.01227806443293,2,1,True,1155.1259307861328,274.488525390625,206.6387481689453,421.63616943359375,1258.4453048706055,485.3066101074219,1218.5614849187934,500.4826240424187,42.67353386941111,0.046905286651210576,1.0,469.54939209785266,0.08228704091545871,True,6.620673803867529,2.8701563879234055,169.88048541790326,0.038413362126318185,False,False,False,VALID_TARGET,,True,1
7,7,7,355.7647058823529,17,1.0,0.9854063987731934,4,6,0.9958457350730896,0.9973047077655792,False,,,,,1241.3089599609375,493.36529541015625,1249.1466674804688,331.3611068725586,162.19367053891838,2,0,True,1146.0658721923828,271.86061096191406,184.0331268310547,442.94078063964844,1238.0824356079102,493.3310012817383,1222.5522041763343,502.07362239314386,17.82193907003113,0.019416305388732437,1.0,479.6506300682573,0.05946084946458556,True,9.688401158422772,19.217450344261778,169.88048541790326,0.024613730436425882,False,False,False,VALID_TARGET,,True,1
8,8,8,406.5882352941176,17,1.0,0.9670352339744568,4,6,0.9888883829116821,0.9931857287883759,False,,,,,1245.4302215576172,491.1563720703125,1259.7269134521484,327.6471862792969,164.13302299405814,2,1,True,1139.1175079345703,268.60540771484375,176.6171112060547,451.01690673828125,1227.4260635375977,494.1138610839844,1226.5429234338749,503.6646207438692,9.591503871848598,0.010352977817189612,1.0,484.36541385047235,0.02775353373059142,True,4.675910549783141,11.2131534812602,169.88048541790326,0.011415981361066746,False,False,False,VALID_TARGET,,True,1
9,9,9,457.4117647058823,17,1.0,0.9683365821838379,4,6,0.9900223910808563,0.9931381940841675,False,,,,,1245.2069625854492,491.0156707763672,1259.096450805664,328.15486907958984,163.45200706120596,2,0,True,1139.5917205810547,268.1195526123047,181.6940460205078,450.53297424316406,1230.4387435913086,493.3860397338867,1227.2853828306265,504.48284846709925,11.536153958252774,0.012578039734561857,1.0,485.7907854619043,0.00839043759455693,True,0.2638966137929456,0.8094596804816114,169.88048541790326,0.00400879436609148,False,False,False,VALID_TARGET,,True,1
