source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,0.0003662109375,0.0020599365234375,350,SUPPORTED,0.08110891282558441,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-3.62799072265625,-1.9326324462890625,350,SUPPORTED,1.6901055574417114,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.0035400390625,0.0001277923583984375,350,SUPPORTED,0.033315014094114304,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,6.103515625e-05,1.52587890625e-05,350,SUPPORTED,0.014930198900401592,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-3.70831298828125,-0.685516357421875,350,SUPPORTED,1.7742536067962646,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-0.000102996826171875,6.103515625e-05,350,SUPPORTED,0.007649986073374748,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-6.9342041015625,-2.2734527587890625,347,SUPPORTED,3.2485861778259277,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,0.0,0.001346588134765625,350,SUPPORTED,0.05971798300743103,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-3.528564453125,-1.7223968505859375,349,SUPPORTED,1.6124650239944458,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,6.4849853515625e-05,-6.67572021484375e-06,350,SUPPORTED,0.0766090676188469,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-3.471923828125,-0.156005859375,350,SUPPORTED,1.5215916633605957,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,-19.7779541015625,-3.280792236328125,347,UNSTABLE_TRANSFORM,10.473569869995117,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.0,0.0,350,SUPPORTED,5.229264934314415e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,-3.23956298828125,-1.3440780639648438,350,SUPPORTED,1.2348421812057495,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,-3.25897216796875,-0.08860015869140625,350,SUPPORTED,1.2936639785766602,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,-3.2598876953125,-1.3087844848632812,350,SUPPORTED,1.1542081832885742,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-2.9923095703125,-0.12077713012695312,350,SUPPORTED,1.4773666858673096,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
