frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9430880546569824,4,6,0.9913111627101898,0.9871925115585327,False,,,,,False,,,,896.1517601013184,568.8864974975586,895.544677734375,497.66200256347656,71.22708212200841,2,1,True,1,0.0,0.3058797998316297,852.5054550170898,464.9195785522461,73.00115203857422,214.3469467163086,889.006031036377,572.0930519104004,889.2857142857142,585.0,12.909977990205052,0.03393163097678813,1.0,226.43714749475862,,True,,,100.15559718579216,,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9542074799537659,4,6,0.9902975857257843,0.9917686581611633,False,,,,,False,,,,896.6084594726562,577.2874984741211,894.0172500610352,501.909423828125,75.42259942187243,2,1,True,1,0.0,0.314341764591274,854.1687774658203,466.0724983215332,69.89236450195312,216.05106735229492,889.1149597167969,574.0980319976807,882.3469387755101,585.2551020408164,13.049380039263644,0.03412738784113999,1.0,227.07489143394906,0.006367531691787586,True,8.413405477212216,4.51371495518626,100.15559718579216,0.04188999334786243,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.9365307688713074,4,6,0.9833730757236481,0.9712057411670685,False,,,,,False,,,,896.6809692382812,574.2699508666992,896.7132263183594,499.923770904541,74.34618695995665,2,1,True,1,0.0,0.3379574738464763,859.6955642700195,464.3466567993164,64.8073501586914,214.9018783569336,892.0992393493652,571.7975959777832,875.4081632653061,585.5102040816327,21.601565726900606,0.056213796637552535,1.0,224.46115467031154,0.026096761809416853,True,3.0184186636662043,3.3482988983950532,100.15559718579216,0.0107474019641558,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.9366413950920105,4,6,0.9801301956176758,0.9775831699371338,False,,,,,False,,,,893.9214057922363,581.3725051879883,894.1533851623535,505.1930618286133,76.17979656688763,2,1,True,1,0.0,0.31576467790134416,854.5124053955078,464.38719940185547,70.680908203125,214.9341812133789,889.8528594970703,571.8542900085449,868.469387755102,585.7653061224489,25.5101790087967,0.06605811764906187,1.0,226.25758117306077,0.017936356561449013,True,7.6198076287796965,5.8581749364876226,100.15559718579216,0.018307609943451958,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9307948350906372,4,6,0.9868472218513489,0.9789375066757202,False,,,,,False,,,,897.3041229248047,570.7168273925781,896.4456977844238,499.2465171813965,71.47546526888911,2,1,True,1,0.0,0.329250535105269,850.5818557739258,465.3102836608887,75.25782012939453,213.5084114074707,888.210765838623,572.064489364624,861.530612244898,586.0204081632653,30.109770263139357,0.07758638421303912,1.0,226.38370354857716,0.0012592643752343349,True,11.179724704954436,6.37307542703251,100.15559718579216,0.04697022862608289,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9615461826324463,4,6,0.9923990070819855,0.9886137545108795,False,,,,,False,,,,895.2704010009766,573.9436798095703,896.1868286132812,501.2227897644043,72.7266642197325,2,1,True,1,0.0,0.3274737315795224,863.4001846313477,464.1390686035156,65.06421661376953,215.37261962890625,895.9322929382324,571.8253784179688,854.5918367346937,586.2755102040816,43.79314589924692,0.11229486090583046,1.0,224.98603860991255,0.013954935899107934,True,3.8142628887515726,1.9931549287790993,100.15559718579216,0.012492551449944133,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9517592191696167,4,6,0.9907066226005554,0.9858427345752716,False,,,,,False,,,,897.6035461425781,574.1582183837891,900.5578842163086,500.95197677612305,73.26583053357045,2,1,True,1,0.0,0.3302803331918903,865.8574142456055,465.2035446166992,69.56352996826172,220.7239761352539,900.6391792297363,575.5655326843262,847.6530612244899,586.5306122448978,54.108794766059695,0.13807258354472654,1.0,231.4263561969582,0.06430312202221349,True,2.342988060491728,4.3794368084696185,100.15559718579216,0.005383286895467063,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9265663027763367,4,6,0.9870840907096863,0.9870811700820923,False,,,,,False,,,,902.4309844970703,581.5897064208984,901.4368057250977,502.3107452392578,79.2851945666448,2,1,True,1,0.0,0.30869073785049334,870.3481292724609,466.3911895751953,71.06362915039062,240.7666473388672,905.8799438476562,586.7745132446289,840.7142857142858,586.7857142857142,65.16565909601954,0.16548335879750684,1.0,251.03509288309212,0.1957827344362893,True,8.861781734624364,1.618256702449168,100.15559718579216,0.06010012622567884,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9379496574401855,4,6,0.9802903234958649,0.9698068797588348,False,,,,,False,,,,901.337776184082,580.5856018066406,903.1715774536133,504.17291259765625,76.43469041766946,2,0,True,1,0.0,0.28479920890610044,875.0685882568359,467.6334915161133,47.03399658203125,239.14583587646484,898.5855865478516,587.2064094543457,833.7755102040816,587.0408163265306,64.81028789296707,0.16378926211462716,1.0,243.72715821494245,0.07296581392843371,True,1.4843619814454,2.5450147780988823,100.15559718579216,0.02846075735225822,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9013903141021729,4,6,0.9682118594646454,0.9407302439212799,False,,,,,False,,,,899.6692352294922,565.5810012817383,900.3963088989258,495.3028869628906,70.28187524770382,2,1,True,1,0.0,0.28752266847964175,870.6227416992188,467.0099220275879,56.12841796875,225.96120834350586,898.6869506835938,579.9905261993408,826.8367346938776,587.295918367347,72.22065004205675,0.18164301963755125,1.0,232.8279772272481,0.10882248515253692,True,15.09708799169705,9.29405564390684,100.15559718579216,0.06143256435835479,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
