frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1048.7195587158203,200.1953353881836,1065.2607498168945,64.7914047241211,,,136.41054007048174,,951.9144897460938,26.75352954864502,219.58233642578125,394.95017528533936,1061.7056579589844,224.2286171913147,451.88720210703605,,1027.5,279.6428571428571,65.12115651471609,0.09552738758368498,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1029.163833618164,211.1725845336914,1053.512107849121,78.24747085571289,22.426020219772713,17.86326688555873,135.13668748467012,0.00869500898903987,950.0054473876953,37.696556091308594,213.94252014160156,356.63492584228516,1056.976707458496,216.01401901245117,415.88444579603095,0.24574608808047252,1016.9387755102041,280.10204081632656,75.56659667756692,0.11004015832400271,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1019.2534637451172,209.52001190185547,1039.9032592773438,92.86438369750977,10.047209927342431,19.971351994150336,118.46919281937097,0.11376827864835944,951.5297393798828,50.65391540527344,200.85536193847656,376.2167205810547,1051.957420349121,238.76227569580078,426.47613914989404,0.07229633157459577,1006.3775510204082,280.5612244897959,61.843969862109994,0.08940344385167211,1.0,True
3,3,3,100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1006.1969146728516,231.98480224609375,1023.0890884399414,106.82780838012695,25.983461641726297,21.856202090401577,126.29179960766736,0.05339521786080489,942.1997680664062,62.249229431152344,189.53482055664062,375.89774322509766,1036.9671783447266,250.19810104370117,420.9781010517761,0.037528275420315074,995.8163265306123,281.0204081632653,51.41407609983793,0.0737894493690109,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,992.2563095092773,248.1602554321289,1004.9232864379883,121.6500473022461,21.353823032428807,23.445578027392454,127.1427743349136,0.005808547225374151,939.6331024169922,72.34365463256836,180.2882843017578,351.523136138916,1029.777244567871,248.10522270202637,395.05997101378205,0.17691087349473583,985.2551020408164,281.4795918367347,55.64233721132808,0.07928527669532877,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,972.4403991699219,276.7238006591797,994.2856750488281,130.60130310058594,34.7641542183202,13.902652855987686,147.74640561105628,0.1406353930967455,894.8096160888672,82.06356048583984,210.15330505371094,364.6609878540039,999.8862686157227,264.3940544128418,420.8824630317306,0.17625807155104803,974.6938775510203,281.9387755102041,30.699736251979875,0.043432635587315374,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,963.3124694824219,284.2659606933594,982.6780014038086,145.73908233642578,11.840746528877357,19.07591276039773,139.8739427267099,0.053735523488113245,860.7715911865234,94.34576416015625,163.41062927246094,349.865478515625,942.4769058227539,269.27850341796875,386.1461987592121,0.23710132040339305,964.1326530612246,282.39795918367344,25.31978491308352,0.03556764614518666,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,954.9305953979492,291.5428924560547,975.1858673095703,153.89026641845703,11.099979686777731,11.071308650074178,139.13490394311708,0.005044499605497544,824.7201385498047,101.16727447509766,197.44801330566406,355.26644134521484,923.4441452026367,278.8004951477051,406.4479822861059,0.13857505352349095,953.5714285714286,282.8571428571429,30.399170939714264,0.04240230333752425,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,925.2407684326172,297.7064971923828,951.2451629638672,166.2458038330078,30.322860164849942,26.94098419454517,134.0079939162755,0.03499504516135466,784.2777786254883,119.55316925048828,203.69005584716797,309.1450729370117,886.1228065490723,274.12570571899414,370.2165784675947,0.24730678054617156,917.6785714285713,287.67857142857144,34.34307013171745,0.047440454709547664,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,911.5447998046875,300.65089416503906,940.9378204345703,179.9078598022461,14.00889111206956,17.11411941418113,124.26918366547405,0.06647475823846577,741.6552276611328,129.8493881225586,238.7981414794922,337.0811538696289,861.0542984008789,298.38996505737305,413.09594123900564,0.2926841369986074,881.7857142857142,292.5,21.551874465277436,0.029483608974972864,1.0,True
10,10,10,333.3333333333333,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,892.3811569213867,316.34742736816406,921.4568481445312,194.5028076171875,24.771482861457653,24.341749795077032,125.26574624518753,0.006802294618123798,721.6509628295898,142.88905334472656,234.04029083251953,352.85997009277344,838.6711082458496,319.3190383911133,423.4206138425989,0.07047371265485879,868.9285714285714,312.5,31.0163402553113,0.041475810914626064,1.0,True
11,11,11,366.66666666666663,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,882.4988174438477,327.3370819091797,909.5989303588867,204.84774780273438,14.779483769069621,15.736200356300994,125.45139732122658,0.0012672092461593356,703.5253601074219,149.6352081298828,243.90777587890625,375.6886444091797,825.479248046875,337.47953033447266,447.9207080189549,0.16723170441264915,856.0714285714286,332.5,30.994793620845538,0.0404453989926742,1.0,True
12,12,12,400.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,869.225830078125,338.3191223144531,891.2317352294922,205.6089324951172,17.227228595270095,18.382961106882973,134.52231912740407,0.061915913601053446,695.5411529541016,153.9774932861328,224.19761657714844,369.2282257080078,807.6399612426758,338.5916061401367,431.96533881592586,0.10890748285084748,843.2142857142858,352.5,38.19654410247703,0.0485703504223778,1.0,True
13,13,13,433.33333333333337,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,847.05712890625,344.7723846435547,870.8113861083984,211.99105072021484,23.088869750078572,21.394440662622568,134.88938940364176,0.0025055327335717207,686.6639862060547,167.35887908935547,210.2517547607422,350.6022720336914,791.7898635864258,342.6600151062012,408.81261420748484,0.15803488632312523,830.3571428571429,363.2142857142857,43.7025522203893,0.056969920791522494,1.0,True
14,14,14,466.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,830.0282516479492,378.83238220214844,853.1712265014648,231.81173706054688,38.07973338102153,26.533654817230065,148.8310027612634,0.09516207355264936,707.7434310913086,174.35474395751953,195.7487564086914,363.92989349365234,805.6178092956543,356.3196907043457,413.23424714543,0.030180994700554232,817.5,373.92857142857144,21.24286083121688,0.02840491967919454,1.0,True
15,15,15,500.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,811.7071838378906,363.31690979003906,837.7882232666016,242.1324005126953,24.008152987510144,18.524386160311135,123.95929132772818,0.16976827373601178,730.4144134521484,191.15373992919922,149.1699676513672,351.56836700439453,804.999397277832,366.9379234313965,381.9057422025055,0.21384078120652397,804.6428571428571,384.6428571428571,17.708523331860928,0.024303293635528283,1.0,True
16,16,16,533.3333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,775.3255081176758,370.0213928222656,788.6702575683594,260.0267562866211,36.994275515818444,52.27602244717483,110.8011841295483,0.08981405041779535,722.6020965576172,210.34095764160156,130.57643127441406,353.99302673339844,787.8903121948242,387.3374710083008,377.30792117345527,0.03138361190523206,791.7857142857142,395.3571428571429,8.915676867900764,0.012566394790042046,1.0,True
17,17,17,566.6666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,750.5081634521484,386.5089416503906,772.5498428344727,273.22205352783203,29.794963712134045,20.83227401116885,115.41124143897892,0.03146713378922778,695.5328598022461,215.79625701904297,142.33899688720703,334.5818862915039,766.7023582458496,383.0872001647949,363.60064448407843,0.09356254825471082,778.9285714285713,406.0714285714286,26.033728972962468,0.03770935745556592,1.0,True
18,18,18,600.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.6588692763015863,0.08531418144014054,True,True,False,False,734.2386016845703,432.5878601074219,752.120246887207,275.84029388427734,48.866812524235456,20.596688402086656,157.7642315356433,0.28909124470519454,667.6207733154297,218.30125427246094,151.4054412841797,341.1698760986328,743.3234939575195,388.88619232177734,373.25660343470634,0.06590923534532533,766.0714285714286,416.78571428571433,35.99794237195902,0.05362181608828953,1.0,True
19,19,19,633.3333333333333,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,725.109977722168,434.2135772705078,741.3032379150391,283.5400047302246,9.272256022204006,13.277546091622513,151.54123906622252,0.042476638241359735,661.7493515014648,226.69245529174805,144.39984893798828,321.7010078430176,733.949275970459,387.54295921325684,352.62282231943965,0.14084118859076203,744.6428571428571,430.17857142857144,43.95620669786409,0.06612755476217735,1.0,True
20,20,20,666.6666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,693.3327484130859,434.53787994384766,713.575065612793,286.0219421386719,31.77888410227643,27.83902930280611,149.88907627897504,0.011277262727634272,607.1136093139648,236.22933959960938,185.42987823486328,322.5602722167969,699.8285484313965,397.5094757080078,372.06097478070757,0.13268011720003342,723.2142857142858,443.57142857142856,51.65845729264776,0.07843592952955955,1.0,True
21,21,21,700.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,682.1159820556641,444.83045196533203,691.6960525512695,298.86122131347656,15.223432147003978,25.36805673036243,146.2832664654278,0.024612383796030368,582.1030578613281,253.21715545654297,200.22909545898438,324.40018463134766,682.2176055908203,415.4172477722168,381.21800909345234,0.06250369669857266,713.5714285714286,469.8214285714285,62.79233316204003,0.09271029012668967,1.0,True
22,22,22,733.3333333333333,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,670.8249969482422,456.35060119628906,670.7962379455566,302.7074508666992,16.13072171353602,21.25078192277294,153.64315302115216,0.05023680170933087,526.0,253.15421295166016,240.04336547851562,396.17317962646484,646.0216827392578,451.2408027648926,463.2213353955055,0.5597348290290803,703.9285714285714,496.07142857142856,73.23245706571785,0.10471307746828422,0.9997024347193009,True
23,23,23,766.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,659.734748840332,459.6033630371094,655.4763526916504,312.1056785583496,11.557424569864237,17.972912060569328,147.55914361487353,0.04152797353964676,524.0,263.0389099121094,229.80458068847656,416.2057800292969,638.9022903442383,471.1417999267578,475.43390353991583,0.0833600300204696,692.5714285714287,499.2857142857143,60.600794660578046,0.08770455296146083,1.0,True
24,24,24,800.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,642.2823333740234,464.07086181640625,640.6537818908691,320.5386505126953,18.015142268427038,17.053551569305267,143.54144997758107,0.02742380294279377,542.133674621582,268.89163970947266,200.73758697509766,424.68431854248047,642.5024681091309,481.2337989807129,469.73646786307313,0.038889314961872305,681.2142857142858,502.5,44.16849700960528,0.06467627084490606,1.0,True
25,25,25,833.3333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,609.1773834228516,492.9844665527344,611.0446472167969,343.82423400878906,43.953774014505406,37.66854463475995,149.17191976588632,0.03843222203818741,549.8635654449463,280.993896484375,166.46701622009277,423.60601806640625,633.0970735549927,492.7969055175781,455.14099577086785,0.09962515478990629,669.8571428571429,505.7142857142857,38.963590777098304,0.057704208429839574,1.0,True
26,26,26,866.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,598.8975048065186,502.2342071533203,597.2373924255371,356.02708435058594,13.82872393045246,18.42687823086314,146.21654739245943,0.020172655485512253,541.1440162658691,295.78514099121094,153.3362693786621,408.12684631347656,617.8121509552002,499.8485641479492,435.9811167800158,0.13078068994006084,658.5,508.92857142857144,41.688698613755854,0.06241600076507204,1.0,True
27,27,27,900.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,587.1585521697998,495.5990905761719,584.8226280212402,356.51087188720703,13.484353191735824,12.424187120081001,139.10783270433456,0.04852236342118316,540.0509757995605,303.4878921508789,131.6241340637207,422.72286224365234,605.8630428314209,514.8493232727051,442.74092981278585,0.04614084528997173,647.1428571428571,512.1428571428571,41.36844242292267,0.06258551586078737,1.0,True
28,28,28,933.3333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,574.8911075592041,525.95166015625,574.7218618392944,367.2208938598633,32.737878327520214,14.721754247273646,158.7308565249739,0.13394200428921046,529.9626302719116,305.9127655029297,125.736252784729,421.84571838378906,592.8307566642761,516.8356246948242,440.1856601288601,0.017441651505538572,645.5844155844155,513.1168831168832,52.88456833884447,0.08058558128481644,1.0,True
29,29,29,966.6666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,569.8219738006592,542.2026214599609,569.7916393280029,376.39288330078125,17.023215335439133,10.413091967093933,165.80974093398723,0.04831874916635545,515.5110077261925,313.29492950439453,120.4668899178505,427.0487594604492,575.7444526851177,526.8193092346191,443.7149023001009,0.02408975162843163,644.025974025974,514.0909090909091,69.45774490177618,0.10660708220713158,1.0,True
30,30,30,1000.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,564.5600204467773,537.6154632568359,558.2434215545654,372.1677017211914,6.980700070832816,12.29688957107622,165.56829774664166,0.0016480326748126491,516.0,319.92110443115234,122.39640808105469,394.3231887817383,577.1982040405273,517.0826988220215,412.8821356297006,0.2104569919173869,642.4675324675325,515.0649350649351,65.30050998186515,0.100956005009496,1.0,True
31,31,31,1033.3333333333335,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,551.8074522018433,549.9019927978516,547.1053285598755,374.22264862060547,17.708382337298648,11.326072678460642,175.74225996410664,0.0694450000889598,516.0,323.8205032348633,120.34027862548828,372.3312301635742,576.1701393127441,509.9861183166504,391.29570354756083,0.14734375318311738,640.909090909091,516.0389610389611,65.02129465655979,0.10125920595896076,0.9972480632839528,True
32,32,32,1066.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.6309284859836004,0.1633526107497946,True,True,False,False,543.5550465583801,541.5565643310547,547.077497959137,382.0597915649414,11.736625375238226,7.837192359020674,159.53566430950752,0.11062229371594828,517.0,337.25350189208984,119.17428588867188,373.94950103759766,576.5871429443359,524.2282524108887,392.480241213928,0.008085366997435386,639.3506493506493,517.012987012987,63.17687702931742,0.09910906888872104,0.9990737128436189,True
33,33,33,1100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,3,1,0,False,0,0.0,,False,False,False,False,536.8296350240707,547.4689331054688,538.0675871372223,395.6957244873047,8.954734213280044,16.343719273226824,151.77825726923868,0.052950180184156155,518.0,347.87461853027344,125.70297241210938,394.3356475830078,580.8514862060547,545.0424423217773,413.8862648457299,0.14611232882926461,637.7922077922078,517.987012987013,63.041589694742235,0.0996257583486891,1.0,True
