source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-0.039794921875,0.8117828369140625,350,SUPPORTED,0.6923984289169312,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-0.0364990234375,1.1141853332519531,350,SUPPORTED,0.781234860420227,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-0.0005645751953125,0.9749755859375,350,SUPPORTED,0.754065752029419,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,-0.000152587890625,1.0928878784179688,350,SUPPORTED,0.8393449783325195,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-0.07647705078125,2.0127410888671875,350,SUPPORTED,1.420614242553711,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-0.014068603515625,1.9949188232421875,350,SUPPORTED,1.5198326110839844,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-0.0007171630859375,0.9998779296875,350,SUPPORTED,0.9768385291099548,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-0.0025634765625,2.2370147705078125,350,SUPPORTED,1.681997537612915,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-0.14849853515625,2.1769866943359375,350,SUPPORTED,1.5663270950317383,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-0.1060791015625,2.747314453125,350,SUPPORTED,1.8923240900039673,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-0.15283203125,2.6905517578125,349,SUPPORTED,1.7905195951461792,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-0.22637939453125,2.8753662109375,350,SUPPORTED,1.6388633251190186,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-0.146728515625,3.093536376953125,350,SUPPORTED,1.948045015335083,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-0.21539306640625,3.0887832641601562,350,SUPPORTED,1.7736057043075562,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-0.20501708984375,3.11358642578125,350,SUPPORTED,1.7080771923065186,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,-0.093994140625,3.271240234375,350,SUPPORTED,1.8292946815490723,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,-0.188232421875,3.4668502807617188,350,SUPPORTED,1.6648061275482178,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-0.074462890625,2.5802536010742188,350,SUPPORTED,1.7222800254821777,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,-0.02349853515625,3.3969345092773438,350,SUPPORTED,1.7011638879776,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,-0.122314453125,3.77484130859375,350,SUPPORTED,1.8012864589691162,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,-0.0340576171875,2.97119140625,350,SUPPORTED,1.6540896892547607,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,-0.0144805908203125,2.944000244140625,350,SUPPORTED,1.8607406616210938,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,-9.1552734375e-05,3.6796798706054688,350,SUPPORTED,1.6632335186004639,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,-0.00018310546875,2.3686370849609375,350,SUPPORTED,2.2081871032714844,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-0.0002593994140625,4.0242919921875,350,SUPPORTED,3.273209571838379,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,-0.0002288818359375,3.8385467529296875,350,SUPPORTED,3.2782998085021973,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,-0.0023193359375,4.7480010986328125,350,SUPPORTED,4.745457172393799,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,-0.000244140625,5.0189666748046875,350,SUPPORTED,4.280791759490967,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,-0.001434326171875,5.315399169921875,350,SUPPORTED,3.8222062587738037,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,-0.3408203125,5.186492919921875,350,SUPPORTED,3.422386646270752,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,-0.47369384765625,5.6687774658203125,350,SUPPORTED,2.9423351287841797,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,-0.5728759765625,5.341766357421875,349,SUPPORTED,2.875392198562622,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,-0.40191650390625,4.294281005859375,350,SUPPORTED,3.1987528800964355,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,-0.206298828125,3.35369873046875,350,SUPPORTED,3.359997034072876,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,-0.000640869140625,3.655670166015625,350,SUPPORTED,3.0299177169799805,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,-3.0517578125e-05,5.755767822265625,350,SUPPORTED,2.9756455421447754,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,0.00014495849609375,3.4023666381835938,350,SUPPORTED,2.941704750061035,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,0.00049591064453125,4.9172515869140625,350,SUPPORTED,3.101210832595825,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
