frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9382810592651367,4,6,0.9906802773475647,0.996349424123764,False,,,,,True,,0.0,18.0,1258.9983749389648,580.9639511108398,1226.028522491455,431.255802154541,153.2956001793004,9,0,True,8,0.23675038882675217,0.18409093472090474,1140.1260681152344,390.49174880981445,205.5654296875,419.05268478393555,1242.9087829589844,600.0180912017822,1230.0,618.2142857142858,22.310046441435972,0.03600627080978361,1.0,466.7572158062807,,True,,,153.3936152729428,,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
1,1,1,33.333333333333336,17,1.0,0.9379953742027283,4,6,0.9953246712684631,0.9967969954013824,False,,,,,True,,0.0,18.0,1252.8358154296875,590.8723678588867,1225.7115783691406,445.76280212402344,147.62286511200543,8,0,True,7,0.3838022458877092,0.13633975228425385,1128.9508666992188,400.3936958312988,215.93951416015625,435.05646896362305,1236.9206237792969,617.9219303131104,1221.857142857143,618.2142857142858,15.066317704492148,0.023901443258322868,1.0,485.69950068207834,0.12348809200495356,True,11.66849871056086,14.510461801446317,153.3936152729428,0.03698155922070895,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
2,2,2,66.66666666666667,17,1.0,0.9439729452133179,4,6,0.9958783984184265,0.996858537197113,False,,,,,True,,0.0,18.0,1246.0458755493164,600.8505859375,1228.5447158813477,458.5266990661621,143.39588335753967,8,0,True,7,0.3559192567781644,0.1502018470890271,1122.3768463134766,417.63340759277344,237.63197326660156,420.0601043701172,1241.1928329467773,627.663459777832,1213.7142857142858,618.2142857142858,29.057829383687025,0.04531575112639727,1.0,482.61728730124514,0.02009349199670939,True,12.069304851706198,13.07454524305192,153.3936152729428,0.027556438688431866,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
3,3,3,100.0,17,1.0,0.9395470023155212,4,6,0.9929738640785217,0.9955155253410339,False,,,,,True,,0.0,18.0,1247.5242767333984,581.1987991333008,1201.7905960083008,445.2363815307617,143.4480691853062,8,0,True,7,0.3140906087806477,0.17567157741671122,1093.185043334961,401.32309341430664,272.85255432128906,424.85631942749023,1229.6113204956055,613.7512531280518,1205.5714285714287,618.2142857142858,24.450665913056184,0.03748700643856839,1.0,504.9271319280888,0.1454418072560996,True,19.70731830206215,29.873323724907692,153.3936152729428,0.000340208604339002,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
4,4,4,133.33333333333334,17,1.0,0.9429925680160522,4,6,0.9942266047000885,0.993616133928299,False,,,,,True,,0.0,18.0,1244.823486328125,571.984001159668,1186.9103698730469,424.2758560180664,158.65568126831096,8,0,True,7,0.37269117511410643,0.14741436173610287,1049.7963829040527,384.54953384399414,315.97201919555664,418.43838119506836,1207.782392501831,593.7687244415283,1197.4285714285716,618.2142857142858,26.547826215289486,0.040018691863590056,1.0,524.3367198391378,0.12653452281251945,True,9.602435654982774,25.705344961790427,153.3936152729428,0.09914110216350863,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
5,5,5,166.66666666666666,17,1.0,0.9491478800773621,4,6,0.9943783283233643,0.9930245578289032,False,,,,,True,,0.0,18.0,1239.7870559692383,558.1926879882812,1175.9486846923828,412.3673439025879,159.1865843122231,7,0,True,6,0.24071945548810875,0.19289054539386152,1057.25590133667,373.57470703125,255.07924270629883,429.86322021484375,1184.7955226898193,588.5063171386719,1189.2857142857142,618.2142857142858,30.04538595953642,0.04453480346625801,1.0,499.84778498368297,0.159647680328025,True,14.68216434151248,16.185524483453996,153.3936152729428,0.0034610504678924485,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
6,6,6,200.0,17,1.0,0.9467616081237793,4,6,0.9936297237873077,0.9947995543479919,False,,,,,True,,0.0,18.0,1227.5956115722656,563.2524566650391,1161.5523529052734,414.80813217163086,162.47285770140041,5,0,True,4,0.2732165146246143,0.1856053318459346,1040.8420143127441,369.82010078430176,288.7364158630371,434.81429862976074,1185.2102222442627,587.2272500991821,1180.0,624.2857142857144,37.422936599084636,0.055813752622573265,1.0,521.9503732524037,0.14409066654692362,True,13.199718767715298,14.601774422953998,153.3936152729428,0.02142379513860374,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
7,7,7,233.33333333333334,17,1.0,0.9717020988464355,4,6,0.9972606599330902,0.9975753724575043,False,,,,,True,,0.0,18.0,1215.5190734863281,566.5987854003906,1151.433723449707,413.7680130004883,165.72319415720602,6,0,True,5,0.25203254566236344,0.16492482962496988,1029.3377952575684,367.1397895812988,271.07178115844727,442.5666313171387,1164.873685836792,588.4231052398682,1170.7142857142858,630.3571428571429,42.33882518228384,0.06346356187537841,1.0,518.9847143180743,0.019333653027554926,True,12.53158761474932,10.171947205389657,153.3936152729428,0.021189515939252643,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
8,8,8,266.6666666666667,17,1.0,0.9522616267204285,4,6,0.9942196607589722,0.9980143904685974,False,,,,,True,,0.0,18.0,1207.507080078125,578.2250137329102,1139.1896362304688,423.2734375,169.34362731127803,4,0,True,3,0.04987161457447307,0.3437012837299475,1078.1355819702148,375.04545402526855,197.24829864501953,434.58983039855957,1176.7597312927246,592.3403692245483,1161.4285714285716,636.4285714285714,46.67776811677102,0.07023655283217704,1.0,477.25801408064757,0.27202370948217014,True,14.119533406347754,15.500669880628767,153.3936152729428,0.023602241512007793,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
9,9,9,300.0,17,1.0,0.9331600666046143,4,6,0.9914284944534302,0.9986198544502258,False,,,,,True,,0.0,18.0,1202.6092529296875,579.2057952880859,1142.3155364990234,431.77420806884766,159.2840392224067,3,0,True,2,0.05795358391753927,0.3382824849136458,1080.7987060546875,383.63476943969727,181.727783203125,427.98681259155273,1171.66259765625,597.6281757354736,1158.9285714285716,638.2142857142858,42.536898654925906,0.06518413691104943,1.0,464.9706430950226,0.08010353601589808,True,4.995061884996465,9.057281752995033,153.3936152729428,0.06558022686258272,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
