source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
7,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-0.02020263671875,6.103515625e-05,349,SUPPORTED,5.7584075927734375,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-0.108184814453125,0.3056488037109375,350,SUPPORTED,3.0297701358795166,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-0.00543212890625,0.000949859619140625,350,SUPPORTED,6.628273963928223,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-0.001495361328125,0.0002899169921875,349,SUPPORTED,5.729569435119629,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-0.0003509521484375,0.00212860107421875,349,SUPPORTED,5.221017837524414,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-0.0001220703125,-0.1033477783203125,350,SUPPORTED,2.860823631286621,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-0.000518798828125,0.0006561279296875,350,SUPPORTED,7.318284034729004,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-0.00396728515625,0.0022430419921875,350,UNSTABLE_TRANSFORM,9.653558731079102,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,-0.001190185546875,6.866455078125e-05,350,UNSTABLE_TRANSFORM,8.74152946472168,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,-0.03112030029296875,0.000484466552734375,350,SUPPORTED,2.958223342895508,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-0.003692626953125,-0.00012969970703125,350,SUPPORTED,6.494182586669922,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,-0.41912841796875,2.288818359375e-05,350,SUPPORTED,5.837245941162109,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,-0.59967041015625,0.0004119873046875,350,SUPPORTED,6.000412464141846,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,-0.1634063720703125,-0.3464508056640625,350,SUPPORTED,3.2002224922180176,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,-0.7255859375,3.0517578125e-05,350,SUPPORTED,6.938788890838623,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,-0.006072998046875,0.487945556640625,350,SUPPORTED,2.9319911003112793,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,-0.021575927734375,-0.0001373291015625,350,SUPPORTED,6.16502571105957,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-0.0161590576171875,-0.00049591064453125,350,SUPPORTED,6.532726287841797,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,-0.2313232421875,-0.45998382568359375,350,SUPPORTED,2.8913230895996094,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,-0.27325439453125,0.08953475952148438,350,SUPPORTED,3.756808042526245,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,-0.9718017578125,-0.000507354736328125,350,SUPPORTED,7.520957946777344,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,-0.747802734375,-0.635284423828125,350,SUPPORTED,4.026061058044434,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,-0.666107177734375,0.02994537353515625,350,SUPPORTED,4.0943803787231445,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,-2.55633544921875,-0.02748870849609375,350,UNSTABLE_TRANSFORM,8.523153305053711,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,-3.185272216796875,-0.474456787109375,350,SUPPORTED,4.774238109588623,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,-2.45941162109375,0.365570068359375,348,SUPPORTED,4.61682653427124,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,-7.6407470703125,0.000640869140625,345,UNSTABLE_TRANSFORM,10.776305198669434,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,-1.52484130859375,-0.47060394287109375,350,SUPPORTED,3.898421287536621,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,-1.5966796875,0.786712646484375,349,SUPPORTED,3.758833169937134,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,-1.98663330078125,-0.550689697265625,349,SUPPORTED,4.538240909576416,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,-2.410858154296875,0.5460968017578125,350,SUPPORTED,5.2140984535217285,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
