frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9061391949653625,4,6,0.9964042901992798,0.995849072933197,False,,,,,False,,,,1057.4928855895996,398.61989974975586,1018.2618274688721,323.31327629089355,84.9126813735544,2,0,True,1,0.07089787602753352,0.33088526335888335,984.0114822387695,299.4142646789551,145.27620697021484,251.1112174987793,1056.649585723877,424.9698734283447,1052.142857142857,431.7857142857143,8.171064134858398,0.022210884855080146,1.0,290.1069110954993,,True,,,88.63058419956221,,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.8964084982872009,4,6,0.9938512444496155,0.9891261458396912,False,,,,,False,,,,1049.428554534912,401.992000579834,1016.8975143432617,322.7654609680176,85.64527514587998,2,0,True,1,0.0644332023334448,0.34397271202142915,982.5470237731934,303.4472885131836,153.40120315551758,241.98453521728516,1059.2476253509521,424.4395561218262,1048.0102040816328,433.62244897959187,14.512241660796441,0.03883510420891262,1.0,286.5108102914895,0.04057403927195983,True,8.740966729590657,1.470187720221604,88.63058419956221,0.008265699464149427,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.8203765749931335,4,6,0.9878968596458435,0.9783122837543488,False,,,,,False,,,,1044.356372833252,410.27889251708984,1015.698486328125,323.7592525482178,91.14232035275371,2,0,True,1,0.03215759165306793,0.37358867024108205,987.825267791748,301.8311080932617,149.54559707641602,239.65625762939453,1062.598066329956,421.659236907959,1043.8775510204082,435.4591836734694,23.257175756869906,0.0612730085395668,1.0,282.4871809938789,0.04539775218620866,True,9.715945923810624,1.5573342242304637,88.63058419956221,0.062021989999484724,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.8442761301994324,4,6,0.9892466962337494,0.983474612236023,False,,,,,False,,,,1037.7472190856934,408.87845611572266,1010.2695713043213,322.65560722351074,90.49530815841422,2,0,True,1,0.010300547548360363,0.4438432570936212,985.653450012207,304.7891139984131,147.1426773071289,241.21045875549316,1059.2247886657715,425.39434337615967,1039.7448979591836,437.29591836734687,22.827913378394026,0.059214052602855664,1.0,282.5481426202362,0.0006878170431557726,True,6.755896341207588,5.539959506930473,88.63058419956221,0.007300100751707464,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9200806617736816,4,6,0.9979584515094757,0.9940619468688965,False,,,,,False,,,,1041.960292816162,398.0223693847656,995.2125434875488,319.2445583343506,91.60401509314839,2,0,True,1,0.05154696585222857,0.3752476165721686,948.3195304870605,293.06198596954346,173.88153457641602,241.40200328826904,1035.2602977752686,413.762987613678,1035.612244897959,439.13265306122446,25.372106567993203,0.06480217888257045,1.0,297.5058239064217,0.16876433142431424,True,11.644939217034462,15.438566682153509,88.63058419956221,0.012509304149883388,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.8822270035743713,4,6,0.9980946183204651,0.9953320026397705,False,,,,,False,,,,1043.4679679870605,400.95820236206055,1005.1524505615234,318.2974147796631,91.10919097066372,1,0,False,0,0.0,,958.561695098877,293.5319366455078,161.96606063842773,242.55419921875,1039.5447254180908,414.8090362548828,1031.4795918367345,440.96938775510205,27.375360642375924,0.06884926008324034,1.0,291.6599807264958,0.06595740322283448,True,3.3003332697647365,9.984930322863377,88.63058419956221,0.005582995158539379,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9202979803085327,4,6,0.9894447028636932,0.9931445717811584,False,,,,,False,,,,1043.7052879333496,398.48199462890625,1012.9177513122559,321.11722564697266,83.2657185810772,2,0,True,1,0.022566891269397035,0.4032462584532984,969.55078125,299.71270084381104,139.92564392089844,250.07398128509521,1039.5136032104492,424.74969148635864,1027.3469387755101,442.80612244897964,21.77297459191807,0.05392605324727088,1.0,286.5592119308961,0.05755088767230438,True,2.4875541189368695,8.261430207701489,88.63058419956221,0.08849622802808138,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9257381558418274,4,6,0.9952837824821472,0.98881796002388,False,,,,,False,,,,1049.133804321289,404.6046485900879,1005.2121658325195,319.7675151824951,95.5324527705421,1,0,False,0,0.0,,947.0073738098145,295.66596603393555,111.27201461791992,268.9006233215332,1002.6433811187744,430.11627769470215,1023.2142857142857,444.64285714285717,25.183002726862927,0.06142820399898319,1.0,291.01375647869236,0.050259677153502026,True,8.18264515315802,7.822900096731615,88.63058419956221,0.13840294860118377,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9077210426330566,4,6,0.9950951933860779,0.9952336847782135,False,,,,,False,,,,1051.7358627319336,396.87014389038086,1008.0457878112793,315.98790550231934,91.92801060196831,1,0,False,0,0.0,,947.6722221374512,296.93327140808105,120.70068740844727,265.4597339630127,1008.0225658416748,429.6631383895874,1021.5,443.57142857142856,19.367027837907646,0.04724912557172558,1.0,291.611944708349,0.0067492303594628555,True,8.160470018460707,4.723861011184482,88.63058419956221,0.0406681531113228,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9149860143661499,4,6,0.9752002954483032,0.9948502480983734,False,,,,,False,,,,1045.4709548950195,391.51979064941406,1005.8698577880859,312.6381530761719,88.26414695848545,1,0,False,0,0.0,,967.6122589111328,298.92209243774414,96.753173828125,263.10610580444336,1015.9888458251953,430.4751453399658,1019.7857142857142,442.5,12.61004915539305,0.03074335644622955,1.0,280.33194530305377,0.1272698302416348,True,8.238649768508862,3.9944352269519974,88.63058419956221,0.04133859295379611,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
