source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1057.4928855895996,398.61989974975586,,,,1052.142857142857,431.7857142857143,950.3571428571429,278.57142857142856,203.57142857142844,306.42857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1049.428554534912,401.992000579834,,,,1048.0102040816325,433.6224489795918,942.3979591836735,279.48979591836735,211.22448979591826,308.265306122449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1044.356372833252,410.27889251708984,,,,1043.8775510204082,435.4591836734694,934.4387755102041,280.4081632653061,218.87755102040805,310.10204081632656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1037.7472190856934,408.87845611572266,,,,1039.7448979591836,437.2959183673469,926.4795918367347,281.3265306122449,226.53061224489787,311.9387755102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1041.960292816162,398.0223693847656,,,,1035.612244897959,439.1326530612245,918.5204081632653,282.2448979591837,234.18367346938768,313.7755102040817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,166.66666666666666,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,1043.4679679870603,400.95820236206055,,,,1031.4795918367347,440.96938775510205,910.5612244897959,283.16326530612247,241.83673469387747,315.6122448979592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,1043.7052879333496,398.48199462890625,,,,1027.3469387755101,442.80612244897964,902.6020408163265,284.0816326530612,249.4897959183673,317.4489795918368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,233.33333333333337,VALID_TARGET,,1.0,1049.133804321289,404.6046485900879,1047.2112655639648,396.87014389038086,SUPPORTED,1023.2142857142857,444.64285714285717,894.6428571428571,285.0,257.1428571428571,319.28571428571433,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,,1.0,1051.7358627319336,396.87014389038086,1046.1188468933105,394.5183982849121,SUPPORTED,1021.5,443.57142857142856,897.6428571428571,280.2857142857143,247.7142857142857,326.5714285714286,SUPPORTED,translation_median_sparse_flow,-0.02020263671875,6.103515625e-05,349.0,5.7584075927734375,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.49200588224009717,-0.08494619132044477,132.0,0.23238302427872065,0.9989071267844898,0.37822349570200575,-1.0924186706542969,-2.35174560546875,-1.0722160339355469,-2.351806640625,-1.0722160339355469,-2.351806640625,114.50879473604068,0.8716232010040558,path_segment_001,SUPPORTED,,-1.0924186706542969,-2.35174560546875,-0.2862395643869604,-2.238439745715823,-0.2862395643869604,-2.238439745715823,97.28712655364131,0.7610043765436626,path_segment_001,SUPPORTED,,-1.0924186706542969,-2.35174560546875,-0.2862395643869604,-2.238439745715823,-0.2862395643869604,-2.238439745715823,97.28712655364131,0.7610043765436626,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,,1.0,1045.4709548950195,391.51979064941406,1045.0264282226562,392.16665267944336,SUPPORTED,1019.7857142857142,442.5,900.6428571428571,275.57142857142856,238.28571428571428,333.8571428571429,SUPPORTED,translation_median_sparse_flow,-0.108184814453125,0.3056488037109375,350.0,3.0297701358795166,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.011889993377954787,-0.7017282184980108,165.0,0.4246471444408985,1.000506730614667,0.4714285714285714,-1.0924186706542969,-2.35174560546875,-0.9842338562011719,-2.6573944091796875,-2.0564498901367188,-5.0092010498046875,110.32339667021597,0.955630361699044,path_segment_001,SUPPORTED,,-1.0924186706542969,-2.35174560546875,-0.9108690022649171,-3.7004822419922903,-1.1971085666518775,-5.938921987708113,103.82837455566914,1.285143476043646,path_segment_001,SUPPORTED,,-1.0924186706542969,-2.35174560546875,-0.9108690022649171,-3.7004822419922903,-1.1971085666518775,-5.938921987708113,103.82837455566914,1.285143476043646,path_segment_001,SUPPORTED,,SUPPORTED,
