frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.07089787602753352,0.33088526335888335,True,True,False,False,1057.4928855895996,398.61989974975586,1018.2618274688721,323.31327629089355,,,84.9126813735544,,984.0114822387695,299.4142646789551,145.27620697021484,251.1112174987793,1056.649585723877,424.9698734283447,290.1069110954993,,1052.142857142857,431.7857142857143,8.171064134858398,0.022210884855080146,1.0,True
1,1,1,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.0644332023334448,0.34397271202142915,True,True,False,False,1049.428554534912,401.992000579834,1016.8975143432617,322.7654609680176,8.740966729590657,1.470187720221604,85.64527514587998,0.008265699464149427,982.5470237731934,303.4472885131836,153.40120315551758,241.98453521728516,1059.2476253509521,424.4395561218262,286.5108102914895,0.04057403927195983,1048.0102040816328,433.62244897959187,14.512241660796441,0.03883510420891262,1.0,True
2,2,2,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.03215759165306793,0.37358867024108205,True,True,False,False,1044.356372833252,410.27889251708984,1015.698486328125,323.7592525482178,9.715945923810624,1.5573342242304637,91.14232035275371,0.062021989999484724,987.825267791748,301.8311080932617,149.54559707641602,239.65625762939453,1062.598066329956,421.659236907959,282.4871809938789,0.04539775218620866,1043.8775510204082,435.4591836734694,23.257175756869906,0.0612730085395668,1.0,True
3,3,3,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.010300547548360363,0.4438432570936212,True,True,False,False,1037.7472190856934,408.87845611572266,1010.2695713043213,322.65560722351074,6.755896341207588,5.539959506930473,90.49530815841422,0.007300100751707464,985.653450012207,304.7891139984131,147.1426773071289,241.21045875549316,1059.2247886657715,425.39434337615967,282.5481426202362,0.0006878170431557726,1039.7448979591836,437.29591836734687,22.827913378394026,0.059214052602855664,1.0,True
4,4,4,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.05154696585222857,0.3752476165721686,True,True,False,False,1041.960292816162,398.0223693847656,995.2125434875488,319.2445583343506,11.644939217034462,15.438566682153509,91.60401509314839,0.012509304149883388,948.3195304870605,293.06198596954346,173.88153457641602,241.40200328826904,1035.2602977752686,413.762987613678,297.5058239064217,0.16876433142431424,1035.612244897959,439.13265306122446,25.372106567993203,0.06480217888257045,1.0,True
5,5,5,166.66666666666666,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,1043.4679679870605,400.95820236206055,1005.1524505615234,318.2974147796631,3.3003332697647365,9.984930322863377,91.10919097066372,0.005582995158539379,958.561695098877,293.5319366455078,161.96606063842773,242.55419921875,1039.5447254180908,414.8090362548828,291.6599807264958,0.06595740322283448,1031.4795918367345,440.96938775510205,27.375360642375924,0.06884926008324034,1.0,True
6,6,6,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.022566891269397035,0.4032462584532984,True,True,False,False,1043.7052879333496,398.48199462890625,1012.9177513122559,321.11722564697266,2.4875541189368695,8.261430207701489,83.2657185810772,0.08849622802808138,969.55078125,299.71270084381104,139.92564392089844,250.07398128509521,1039.5136032104492,424.74969148635864,286.5592119308961,0.05755088767230438,1027.3469387755101,442.80612244897964,21.77297459191807,0.05392605324727088,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1049.133804321289,404.6046485900879,1005.2121658325195,319.7675151824951,8.18264515315802,7.822900096731615,95.5324527705421,0.13840294860118377,947.0073738098145,295.66596603393555,111.27201461791992,268.9006233215332,1002.6433811187744,430.11627769470215,291.01375647869236,0.050259677153502026,1023.2142857142857,444.64285714285717,25.183002726862927,0.06142820399898319,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1051.7358627319336,396.87014389038086,1008.0457878112793,315.98790550231934,8.160470018460707,4.723861011184482,91.92801060196831,0.0406681531113228,947.6722221374512,296.93327140808105,120.70068740844727,265.4597339630127,1008.0225658416748,429.6631383895874,291.611944708349,0.0067492303594628555,1021.5,443.57142857142856,19.367027837907646,0.04724912557172558,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1045.4709548950195,391.51979064941406,1005.8698577880859,312.6381530761719,8.238649768508862,3.9944352269519974,88.26414695848545,0.04133859295379611,967.6122589111328,298.92209243774414,96.753173828125,263.10610580444336,1015.9888458251953,430.4751453399658,280.33194530305377,0.1272698302416348,1019.7857142857142,442.5,12.61004915539305,0.03074335644622955,1.0,True
