frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.8564667701721191,4,6,0.9368857443332672,0.9267440438270569,False,,,,,False,,,,334.3685550689697,179.72567176818848,332.9713439941406,173.78081512451172,6.106842007248328,1,0,False,0,0.0,,329.008358001709,171.19993591308594,8.003658294677734,18.601886749267578,333.01018714904785,180.50087928771973,321.5,168.0,16.99283352393727,0.1623156987350943,1.0,20.250647810145246,,True,,,7.128304388429749,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
1,1,1,33.333333333333336,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
2,2,2,66.66666666666667,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
3,3,3,100.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
4,4,4,133.33333333333334,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
5,5,5,166.66666666666666,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
6,6,6,200.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.8556467890739441,4,6,0.930685430765152,0.9689694344997406,False,,,,,False,,,,335.1087074279785,152.62126445770264,333.620849609375,144.30415439605713,8.449144374781659,1,0,False,0,0.0,,330.7583198547363,141.19632053375244,7.659603118896484,24.233248710632324,334.58812141418457,153.3129448890686,332.0,167.81578947368422,14.731967740260473,0.14865823332558645,1.0,25.41495353154068,,True,,,7.128304388429749,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
8,8,8,266.6666666666667,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
9,9,9,300.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,7.128304388429749,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
