source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
0,0,0.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,334.3685550689697,179.72567176818848,321.5,168.0,285.5,130.0,72.0,76.0
1,1,33.333333333333336,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,323.0,167.97368421052633,287.44736842105266,130.10526315789474,71.10526315789474,75.73684210526316
2,2,66.66666666666667,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,324.5,167.94736842105263,289.39473684210526,130.21052631578948,70.21052631578948,75.47368421052632
3,3,100.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,326.0,167.92105263157896,291.3421052631579,130.31578947368422,69.3157894736842,75.21052631578948
4,4,133.33333333333334,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,327.5,167.89473684210526,293.2894736842105,130.42105263157896,68.42105263157895,74.94736842105263
5,5,166.66666666666666,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,329.0,167.86842105263156,295.2368421052632,130.52631578947367,67.52631578947368,74.6842105263158
6,6,200.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,330.5,167.8421052631579,297.1842105263158,130.6315789473684,66.63157894736842,74.42105263157895
7,7,233.33333333333337,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,335.1087074279785,152.62126445770264,332.0,167.81578947368422,299.13157894736844,130.73684210526315,65.73684210526316,74.15789473684211
8,8,266.6666666666667,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,333.5,167.78947368421052,301.07894736842104,130.8421052631579,64.84210526315789,73.89473684210526
9,9,300.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,335.0,167.76315789473685,303.0263157894737,130.94736842105263,63.94736842105263,73.63157894736842
