source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,0.00128173828125,0.410400390625,207,SUPPORTED,4.823884963989258,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-0.001007080078125,-0.00055694580078125,201,UNSTABLE_TRANSFORM,21.845149993896484,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.58935546875,-0.55755615234375,205,UNSTABLE_TRANSFORM,16.639738082885742,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,5.0732421875,-0.00501251220703125,201,UNSTABLE_TRANSFORM,17.09483528137207,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,1.60791015625,-0.2713775634765625,191,UNSTABLE_TRANSFORM,11.85301399230957,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,7.991950988769531,0.34990692138671875,189,UNSTABLE_TRANSFORM,16.343549728393555,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-0.44671630859375,0.3407440185546875,183,UNSTABLE_TRANSFORM,27.78095245361328,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,3.5755615234375,1.0884246826171875,199,UNSTABLE_TRANSFORM,19.415077209472656,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,17.622390747070312,0.08734893798828125,193,UNSTABLE_TRANSFORM,15.367427825927734,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,17.222373962402344,0.9730329513549805,204,UNSTABLE_TRANSFORM,17.227100372314453,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,3.3251953125,0.00091552734375,189,UNSTABLE_TRANSFORM,27.154010772705078,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,14.4425048828125,-0.09893798828125,197,UNSTABLE_TRANSFORM,14.442995071411133,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,4.99951171875,0.00408935546875,203,UNSTABLE_TRANSFORM,10.093316078186035,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,3.31103515625,-0.4201202392578125,193,UNSTABLE_TRANSFORM,8.75993824005127,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
