feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,101,133,0.7593984962406015,32,Frame status is TARGET_IDENTITY_UNCERTAIN.
contralateral_hka_angle_2d_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_absolute_difference_deg,99,133,0.7443609022556391,34,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_difference_deg,99,133,0.7443609022556391,34,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_absolute_difference_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_difference_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_elbow_angle_2d_deg,108,133,0.8120300751879699,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_hka_angle_2d_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_absolute_difference,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_difference,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_absolute_difference,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_difference,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
left_elbow_angle_2d_deg,108,133,0.8120300751879699,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_hka_angle_2d_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_distance_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_x_offset_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_2d,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_upper_arm_orientation_2d_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_distance_normalized,109,133,0.8195488721804511,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_x_offset_normalized,109,133,0.8195488721804511,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_hip_line_angle_deg,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_line_angle_deg,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_orientation_difference_deg,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_normalized,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_px,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_trunk_axis_angle_deg,111,133,0.8345864661654135,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_elbow_angle_2d_deg,101,133,0.7593984962406015,32,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_hka_angle_2d_deg,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_distance_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_x_offset_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_2d,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_normalized,110,133,0.8270676691729323,23,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_upper_arm_orientation_2d_deg,106,133,0.7969924812030075,27,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_distance_normalized,101,133,0.7593984962406015,32,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_x_offset_normalized,101,133,0.7593984962406015,32,Frame status is TARGET_IDENTITY_UNCERTAIN.
