source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,VALID_TARGET,,1.0,708.5046157836914,337.10889434814453,712.2836608886719,337.10889434814453,SUPPORTED,679.2857142857143,365.0,502.14285714285717,114.28571428571429,354.2857142857143,501.4285714285714,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,SUPPORTED,
1,1,33.333333333333336,VALID_TARGET,,1.0,712.2836608886719,339.5828170776367,719.4786033630371,334.8966522216797,SUPPORTED,684.4642857142858,366.42857142857144,508.5714285714286,114.64285714285715,351.7857142857143,503.57142857142856,SUPPORTED,translation_median_sparse_flow,0.00128173828125,0.410400390625,207.0,4.823884963989258,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.3050350748380276,-0.5485323205157687,88.0,0.3700416380864435,0.9996564322964291,0.4251207729468599,7.194942474365234,-2.2122421264648438,7.193660736083984,-2.6226425170898438,7.193660736083984,-2.6226425170898438,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,7.194942474365234,-2.2122421264648438,7.947499823004819,-3.2600981872826083,7.947499823004819,-3.2600981872826083,22.30364688204071,1.800005551177672,path_segment_001,SUPPORTED,,7.194942474365234,-2.2122421264648438,7.193660736083984,-2.6226425170898438,7.193660736083984,-2.6226425170898438,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,SUPPORTED,
2,2,66.66666666666667,VALID_TARGET,,1.0,727.0587844848633,330.44718170166016,716.6054382324219,338.1174545288086,SUPPORTED,689.6428571428571,367.85714285714283,515.0,115.0,349.2857142857143,505.71428571428567,UNSTABLE_TRANSFORM,translation_median_sparse_flow,-0.001007080078125,-0.00055694580078125,201.0,21.845149993896484,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.5888777697193481,0.30740387241156675,51.0,0.16313721358960492,1.0017414393589419,0.2537313432835821,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,-2.8731651306152344,3.2208023071289062,-4.148876396090486,3.6474071310897216,3.7986234269143324,0.38730894380711334,-138.68028514366338,1.157554198749345,path_segment_001,SUPPORTED,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,SUPPORTED,
3,3,100.0,VALID_TARGET,,1.0,726.8681335449219,332.68441009521484,723.5435028076172,337.09295654296875,SUPPORTED,694.8214285714286,369.2857142857143,521.4285714285714,115.35714285714286,346.7857142857143,507.85714285714283,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.58935546875,-0.55755615234375,205.0,16.639738082885742,,,SUPPORTED,partial_affine_ransac_sparse_flow,26.647650843980415,-1.5514560572019036,62.0,0.431080821578011,1.0037900538667968,0.3024390243902439,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,6.9380645751953125,-1.0244979858398438,-22.326294546180407,-0.964827522224823,-18.527671119266074,-0.5775185784177097,177.5255109707489,4.682674438693883,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,SUPPORTED,
4,4,133.33333333333334,VALID_TARGET,,1.0,716.6054382324219,341.8508605957031,725.6169967651367,337.06712341308594,SUPPORTED,700.0,370.71428571428567,527.8571428571429,115.71428571428572,344.2857142857143,509.99999999999994,UNSTABLE_TRANSFORM,translation_median_sparse_flow,5.0732421875,-0.00501251220703125,201.0,17.09483528137207,,,SUPPORTED,partial_affine_ransac_sparse_flow,25.74335336020023,-0.4576387150583033,78.0,0.426486033613114,1.005523709555451,0.3880597014925373,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,2.0734939575195312,-0.0258331298828125,-27.781531921910755,-1.1831891595586512,-46.30920304117683,-1.760707737976361,177.56130070736046,5.826689372467914,path_segment_001,SUPPORTED,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,SUPPORTED,
5,5,166.66666666666666,VALID_TARGET,,1.0,723.5435028076172,338.1502227783203,724.580249786377,337.90782928466797,SUPPORTED,705.1785714285714,372.1428571428571,534.2857142857143,116.07142857142857,341.7857142857143,512.1428571428571,UNSTABLE_TRANSFORM,translation_median_sparse_flow,1.60791015625,-0.2713775634765625,191.0,11.85301399230957,,,SUPPORTED,partial_affine_ransac_sparse_flow,25.997156794617652,-1.1422633290363382,76.0,0.5725806196493162,1.003372657143595,0.39790575916230364,,,,,0.0,0.0,,,path_segment_003,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,-1.0367469787597656,0.8407058715820312,-29.579527458378152,1.0579948986942327,-75.88873049955498,-0.7027128392821282,-177.9515287453227,6.2021322670917876,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_003,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,SUPPORTED,
6,6,200.0,VALID_TARGET,,1.0,725.6444320678711,337.6654357910156,723.5435028076172,338.74853515625,SUPPORTED,710.3571428571429,373.57142857142856,540.7142857142858,116.42857142857143,339.2857142857142,514.2857142857142,UNSTABLE_TRANSFORM,translation_median_sparse_flow,7.991950988769531,0.34990692138671875,189.0,16.343549728393555,,,SUPPORTED,partial_affine_ransac_sparse_flow,25.604182361747952,-0.05541130349488864,75.0,0.39402586527087696,1.004227599570021,0.3968253968253968,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,-1.0367469787597656,0.8407058715820312,-29.814216345110708,-0.2963361979717547,-105.70294684466569,-0.9990490372538829,179.43053159027812,6.247654651491805,path_segment_001,SUPPORTED,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,SUPPORTED,
7,7,233.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,722.9920196533203,348.4617233276367,,,,715.5357142857143,375.0,547.1428571428572,116.78571428571429,336.7857142857142,516.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,266.6666666666667,VALID_TARGET,,2.0,725.5778198242188,347.7032241821289,738.8180999755859,351.72406005859375,SUPPORTED,720.7142857142858,376.42857142857144,553.5714285714287,117.14285714285714,334.2857142857142,518.5714285714286,UNSTABLE_TRANSFORM,translation_median_sparse_flow,-0.44671630859375,0.3407440185546875,183.0,27.78095245361328,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.9026838929538937,-2.4036499728565293,42.0,0.7312696822476251,0.9992763277143806,0.22950819672131148,,,,,0.0,0.0,,,path_segment_004,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,,,,,0.0,0.0,,,path_segment_002,SUPPORTED,,,,,,0.0,0.0,,,path_segment_004,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,SUPPORTED,
9,9,300.0,VALID_TARGET,,2.0,737.4876708984375,355.8007125854492,739.9117889404297,351.93809509277344,SUPPORTED,725.8928571428571,377.85714285714283,560.0,117.5,331.7857142857142,520.7142857142857,UNSTABLE_TRANSFORM,translation_median_sparse_flow,3.5755615234375,1.0884246826171875,199.0,19.415077209472656,,,SUPPORTED,partial_affine_ransac_sparse_flow,25.971619509553683,0.4607692217475609,76.0,0.49517561467169635,1.0040411008639878,0.38190954773869346,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,1.09368896484375,0.2140350341796875,-28.049118528427925,-1.2780642458281477,-28.049118528427925,-1.2780642458281477,177.39110974141158,5.883581237574445,path_segment_002,SUPPORTED,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,SUPPORTED,
