source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
4,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-5.535545349121094,-0.6306858062744141,280,SUPPORTED,3.2603554725646973,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-4.2308349609375,-0.50054931640625,264,SUPPORTED,1.274404525756836,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-9.006553649902344,-0.0106201171875,263,SUPPORTED,5.517547607421875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-9.436939239501953,-0.1765155792236328,232,SUPPORTED,6.3062214851379395,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-9.936408996582031,-0.1002960205078125,235,SUPPORTED,4.88843297958374,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-9.51129150390625,-0.40936279296875,229,SUPPORTED,3.4225852489471436,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-11.645339965820312,-0.063873291015625,235,SUPPORTED,3.4796290397644043,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,-9.418842315673828,-0.2178497314453125,175,UNSTABLE_TRANSFORM,41.1480598449707,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-0.3974609375,0.006103515625,267,SUPPORTED,2.4814064502716064,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,-0.64886474609375,-0.5397796630859375,258,SUPPORTED,4.505578994750977,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.2403564453125,-0.819580078125,272,SUPPORTED,4.599220275878906,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.596923828125,-0.008960723876953125,297,SUPPORTED,3.5923285484313965,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.862060546875,-0.391937255859375,299,SUPPORTED,3.358198404312134,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,0.986968994140625,-0.6934738159179688,310,SUPPORTED,2.723900318145752,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,0.9640045166015625,-0.9070472717285156,294,SUPPORTED,1.940860629081726,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,1.6353759765625,-0.1033172607421875,291,SUPPORTED,1.6536873579025269,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,2.005859375,-0.31034010648727417,300,SUPPORTED,1.9922689199447632,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
