frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.4113243675182548,0.14024412492375102,True,True,False,False,358.5229682922363,178.69106674194336,357.10629081726074,125.30590057373047,,,53.40395998309307,,316.8433647155762,103.38799285888672,73.62424087524414,163.98067474365234,353.65548515319824,185.3783302307129,179.75035614384598,,357.5,181.0,5.826668861060626,0.02200200327920754,1.0,True
1,1,1,40.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.5510786672005412,0.11193125829954009,True,True,False,False,367.20923233032227,176.46779251098633,365.2793502807617,122.78036117553711,8.966277446375535,8.554370242498845,53.72210651234546,0.006014598789463379,330.25202560424805,105.26577568054199,73.59106063842773,152.70637702941895,367.0475559234619,181.61896419525146,169.51366255066227,0.19352593610985203,357.5,181.0,9.567598485860282,0.03612807562599681,1.0,True
2,2,2,80.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,385.21491622924805,181.27418518066406,384.28955841064453,125.88708305358887,18.636149365230118,19.26239169908628,55.39483161024599,0.0316230712074058,377.68666076660156,107.55118560791016,36.61625671386719,147.04766082763672,395.99478912353516,181.07501602172852,151.53799791014632,0.33983212402381713,357.5,181.0,38.49486221652126,0.14535991402922643,1.0,True
3,3,3,120.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,1,True,2,0.6775628392147084,0.09597258221882031,True,True,False,False,401.0119094848633,181.67080307006836,402.31769943237305,126.54544258117676,15.801971448782862,18.040158146948055,55.1408238641505,0.004802047301192576,387.3767547607422,110.53262329101562,40.694000244140625,149.01242065429688,407.7237548828125,185.03883361816406,154.46910100445086,0.05541286011896281,397.0,183.0,10.915849087872225,0.04177414659585409,1.0,True
4,4,4,160.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,400.2289047241211,185.59716033935547,397.9990482330322,124.91073799133301,4.003670548562738,4.617684189896937,60.72737535389959,0.10561443466467345,366.5918884277344,105.00702667236328,68.41532897949219,159.82076263427734,400.79955291748047,184.91740798950195,173.84859334597493,0.366371657272662,397.0,183.0,4.255943581738398,0.016287181112163915,1.0,True
5,5,5,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,406.7549705505371,186.30633163452148,401.0167980194092,128.26918029785156,6.564484678678319,4.515080121037922,58.32012996618336,0.04550926652860958,362.1749496459961,106.66597747802734,76.66241455078125,158.01143646240234,400.5061569213867,185.67169570922852,175.62670599219143,0.03361543561262271,397.0,183.0,4.40807149670897,0.016869363384027936,1.0,True
6,6,6,240.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,410.11323165893555,185.3645362854004,409.1221466064453,126.66399765014648,3.4878211180918703,8.262765097100493,58.70890465381045,0.007349832704668112,373.77991485595703,105.82371139526367,72.30314636230469,157.59636306762695,409.9314880371094,184.62189292907715,173.3907685721248,0.04227066858673678,397.0,183.0,13.032801676051598,0.049875567478754546,1.0,True
7,7,7,280.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,411.9089241027832,184.6434326171875,409.6230010986328,129.23529815673828,1.93507153697264,2.619626217143131,55.455268535713756,0.06151038612064748,374.42998123168945,110.45754623413086,63.278507232666016,147.36651992797852,406.06923484802246,184.14080619812012,160.37786840233866,0.24601045874214675,397.0,183.0,9.140703447232838,0.03498079560463809,1.0,True
8,8,8,320.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.3335322445297193,0.1469817671591579,True,True,False,False,411.58472061157227,185.3800392150879,409.68924713134766,133.05497360229492,0.8047963616864506,3.820249866990218,52.35938608403773,0.058528033890318965,395.27296447753906,112.7470932006836,43.69108581542969,147.1617202758789,417.1185073852539,186.32795333862305,153.5105302390923,0.1298278623392722,397.0,183.0,20.391900667533868,0.07803829468475207,1.0,True
9,9,9,360.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,4.0,11.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.1785840166882352,0.2080325294271117,True,True,False,False,407.9899787902832,190.63364028930664,407.6814384460449,132.03206062316895,6.36572800304545,2.2533634149070307,58.602391900934435,0.11802478347683265,405.9192352294922,115.79734420776367,39.6025390625,149.07944107055664,425.7205047607422,190.337064743042,154.24992982204694,0.013978438950816179,397.0,183.0,29.642872882961335,0.11344108070446694,1.0,True
