feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,67,161,0.4161490683229814,94,Frame status is TARGET_IDENTITY_UNCERTAIN.
contralateral_hka_angle_2d_deg,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_absolute_difference_deg,63,161,0.391304347826087,98,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_difference_deg,63,161,0.391304347826087,98,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_absolute_difference_deg,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_difference_deg,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_elbow_angle_2d_deg,70,161,0.43478260869565216,91,Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_hka_angle_2d_deg,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_absolute_difference,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_difference,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_absolute_difference,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_difference,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
left_elbow_angle_2d_deg,70,161,0.43478260869565216,91,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_hka_angle_2d_deg,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_distance_normalized,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_x_offset_normalized,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_2d,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_normalized,74,161,0.45962732919254656,87,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_upper_arm_orientation_2d_deg,70,161,0.43478260869565216,91,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_distance_normalized,75,161,0.4658385093167702,86,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_x_offset_normalized,75,161,0.4658385093167702,86,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_hip_line_angle_deg,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_line_angle_deg,73,161,0.453416149068323,88,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_orientation_difference_deg,73,161,0.453416149068323,88,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_normalized,73,161,0.453416149068323,88,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_px,73,161,0.453416149068323,88,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_trunk_axis_angle_deg,73,161,0.453416149068323,88,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_elbow_angle_2d_deg,67,161,0.4161490683229814,94,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_hka_angle_2d_deg,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_distance_normalized,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_x_offset_normalized,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_2d,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_normalized,76,161,0.4720496894409938,85,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_upper_arm_orientation_2d_deg,75,161,0.4658385093167702,86,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_distance_normalized,68,161,0.422360248447205,93,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_x_offset_normalized,68,161,0.422360248447205,93,Frame status is TARGET_IDENTITY_UNCERTAIN.
