frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.8342920541763306,4,6,0.9702839255332947,0.94967320561409,False,,,,,False,,,,854.750072479248,411.5387878417969,850.1391830444336,374.0400276184082,37.78117679045056,2,1,True,1,0.0,0.8765202562293504,814.1177978515625,361.6706237792969,45.319435119628906,73.53619384765625,836.777515411377,398.438720703125,842.1428571428571,420.71428571428567,22.912609813419504,0.07545615651705576,1.0,86.37952885471378,,True,,,37.76741373851708,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
1,1,1,20.0,17,1.0,0.9453592896461487,4,6,0.9863620400428772,0.9892527759075165,False,,,,,False,,,,855.4764060974121,410.4683265686035,842.8936576843262,372.3320121765137,40.158486438601436,2,0,True,1,0.08052321913881925,0.3793209335083072,824.4545822143555,359.1636734008789,48.35944366455078,102.3266372680664,848.6343040466309,410.3269920349121,838.6785714285713,421.2857142857143,14.805749063540182,0.04888914680192454,1.0,113.17851600960006,0.7095796217455934,True,1.2936181284606545,7.444122143927379,37.76741373851708,0.0629460535637996,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,40.0,17,1.0,0.9309208393096924,4,6,0.9769004881381989,0.974891871213913,False,,,,,False,,,,858.9567260742188,413.77369689941406,848.562686920166,376.77693939208984,38.42910506363285,2,0,True,1,0.3779490129906885,0.1952313221753902,829.7313690185547,362.79670333862305,54.652618408203125,109.63005447387695,857.0576782226562,417.6117305755615,835.2142857142858,421.85714285714283,22.252130723041706,0.07367021427211393,1.0,122.49758178355151,0.24674884646515804,True,4.7998020964162675,7.203837201698594,37.76741373851708,0.0457903044921732,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,60.0,17,1.0,0.9299134612083435,4,6,0.9845997989177704,0.9880382418632507,False,,,,,False,,,,855.7624969482422,414.32051849365234,847.2512664794922,378.8037109375,36.52238578013406,2,0,True,1,0.09671453990520647,0.32633995096628104,828.587532043457,365.2277717590332,56.211036682128906,108.59415817260742,856.6930503845215,419.5248508453369,831.75,422.42857142857144,25.111498476002527,0.08335028950027401,1.0,122.27989137260845,0.0057639745323904,True,3.240696462978643,2.4140477355473755,37.76741373851708,0.05048583142864845,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,80.0,17,1.0,0.9271333813667297,4,6,0.9773097932338715,0.9795701205730438,False,,,,,False,,,,853.2519836425781,413.09886169433594,844.3436279296875,377.9654235839844,36.245237962541985,1,0,False,0,0.0,,831.7245407104492,360.24660873413086,52.669776916503906,109.32342910766602,858.0594291687012,414.90832328796387,828.2857142857143,423.0,30.85367611720684,0.10266704112906233,1.0,121.34956758181367,0.02463297585680279,True,2.791974640506662,3.026068013672947,37.76741373851708,0.007338278959499531,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,100.0,17,1.0,0.9104628562927246,4,6,0.9820594489574432,0.9833219647407532,False,,,,,False,,,,854.3211975097656,414.419132232666,846.5764045715332,378.06353759765625,37.171374455637846,1,0,False,0,0.0,,829.0817947387695,362.0558090209961,58.025535583496094,112.87598419189453,858.0945625305176,418.49380111694336,824.8214285714286,423.57142857142856,33.658338402631,0.11227460653505492,1.0,126.91710123951144,0.1474163334626146,True,1.698921007041953,2.2349312947047344,37.76741373851708,0.024522105207096582,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,120.0,17,1.0,0.9043740034103394,4,6,0.9668368101119995,0.9651753306388855,False,,,,,False,,,,856.0829734802246,410.924503326416,845.6196060180664,376.7289123535156,35.760599836049416,1,0,False,0,0.0,,829.1384887695312,361.2485809326172,54.079193115234375,107.76174926757812,856.1780853271484,415.12945556640625,821.3571428571429,424.1428571428571,35.968589664842334,0.12026845088055228,1.0,120.57011957032799,0.16805444273009573,True,3.913602657716387,1.642159558086113,37.76741373851708,0.03735428190439348,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,140.0,17,1.0,0.8831658959388733,4,6,0.9634436964988708,0.9692217409610748,False,,,,,False,,,,857.2849731445312,414.1446075439453,847.6828918457031,378.1042823791504,37.29752006841011,1,0,False,0,0.0,,824.8992767333984,360.06227111816406,58.05732727050781,111.50146484375,853.9279403686523,415.81300354003906,817.8928571428571,424.71428571428567,37.11819025000477,0.12440242563232587,1.0,125.71089814370458,0.1361167754024357,True,3.437131706051318,2.479675606594765,37.76741373851708,0.04069434679858064,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,160.0,17,1.0,0.8603090047836304,4,6,0.9584650695323944,0.9637808203697205,False,,,,,False,,,,853.2409019470215,413.84911346435547,849.6111373901367,377.43575286865234,36.593824897257214,1,0,False,0,0.0,,825.754768371582,366.1861877441406,54.524681091308594,103.82514953613281,853.0171089172363,418.09876251220703,814.4285714285714,425.2857142857143,39.25210187122231,0.1318537979768554,1.0,117.27149067147242,0.22345738394115233,True,4.054852475935557,2.04084849659027,37.76741373851708,0.018632336755302657,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,180.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,37.76741373851708,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
