frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,2,1,True,1,0.0,0.8765202562293504,False,False,False,False,854.750072479248,411.5387878417969,850.1391830444336,374.0400276184082,,,37.78117679045056,,814.1177978515625,361.6706237792969,45.319435119628906,73.53619384765625,836.777515411377,398.438720703125,86.37952885471378,,842.1428571428571,420.71428571428567,22.912609813419504,0.07545615651705576,1.0,True
1,1,1,20.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.08052321913881925,0.3793209335083072,True,True,False,False,855.4764060974121,410.4683265686035,842.8936576843262,372.3320121765137,1.2936181284606545,7.444122143927379,40.158486438601436,0.0629460535637996,824.4545822143555,359.1636734008789,48.35944366455078,102.3266372680664,848.6343040466309,410.3269920349121,113.17851600960006,0.7095796217455934,838.6785714285713,421.2857142857143,14.805749063540182,0.04888914680192454,1.0,True
2,2,2,40.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.3779490129906885,0.1952313221753902,True,True,False,False,858.9567260742188,413.77369689941406,848.562686920166,376.77693939208984,4.7998020964162675,7.203837201698594,38.42910506363285,0.0457903044921732,829.7313690185547,362.79670333862305,54.652618408203125,109.63005447387695,857.0576782226562,417.6117305755615,122.49758178355151,0.24674884646515804,835.2142857142858,421.85714285714283,22.252130723041706,0.07367021427211393,1.0,True
3,3,3,60.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.09671453990520647,0.32633995096628104,True,True,False,False,855.7624969482422,414.32051849365234,847.2512664794922,378.8037109375,3.240696462978643,2.4140477355473755,36.52238578013406,0.05048583142864845,828.587532043457,365.2277717590332,56.211036682128906,108.59415817260742,856.6930503845215,419.5248508453369,122.27989137260845,0.0057639745323904,831.75,422.42857142857144,25.111498476002527,0.08335028950027401,1.0,True
4,4,4,80.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,853.2519836425781,413.09886169433594,844.3436279296875,377.9654235839844,2.791974640506662,3.026068013672947,36.245237962541985,0.007338278959499531,831.7245407104492,360.24660873413086,52.669776916503906,109.32342910766602,858.0594291687012,414.90832328796387,121.34956758181367,0.02463297585680279,828.2857142857143,423.0,30.85367611720684,0.10266704112906233,1.0,True
5,5,5,100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,854.3211975097656,414.419132232666,846.5764045715332,378.06353759765625,1.698921007041953,2.2349312947047344,37.171374455637846,0.024522105207096582,829.0817947387695,362.0558090209961,58.025535583496094,112.87598419189453,858.0945625305176,418.49380111694336,126.91710123951144,0.1474163334626146,824.8214285714286,423.57142857142856,33.658338402631,0.11227460653505492,1.0,True
6,6,6,120.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,856.0829734802246,410.924503326416,845.6196060180664,376.7289123535156,3.913602657716387,1.642159558086113,35.760599836049416,0.03735428190439348,829.1384887695312,361.2485809326172,54.079193115234375,107.76174926757812,856.1780853271484,415.12945556640625,120.57011957032799,0.16805444273009573,821.3571428571429,424.1428571428571,35.968589664842334,0.12026845088055228,1.0,True
7,7,7,140.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,857.2849731445312,414.1446075439453,847.6828918457031,378.1042823791504,3.437131706051318,2.479675606594765,37.29752006841011,0.04069434679858064,824.8992767333984,360.06227111816406,58.05732727050781,111.50146484375,853.9279403686523,415.81300354003906,125.71089814370458,0.1361167754024357,817.8928571428571,424.71428571428567,37.11819025000477,0.12440242563232587,1.0,True
8,8,8,160.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,853.2409019470215,413.84911346435547,849.6111373901367,377.43575286865234,4.054852475935557,2.04084849659027,36.593824897257214,0.018632336755302657,825.754768371582,366.1861877441406,54.524681091308594,103.82514953613281,853.0171089172363,418.09876251220703,117.27149067147242,0.22345738394115233,814.4285714285714,425.2857142857143,39.25210187122231,0.1318537979768554,1.0,True
9,9,9,180.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,1,0,False,0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
10,10,10,200.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,1,0,False,0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
11,11,11,220.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,825.4093780517578,416.4381980895996,834.2525253295898,383.7870063781738,,,33.827526867237985,,796.9227676391602,355.912540435791,44.4091796875,75.5402946472168,819.1273574829102,393.6826877593994,87.6271154147219,,804.0357142857142,427.0,36.57596190572633,0.12365972806726662,1.0,True
12,12,12,240.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,831.8643531799316,413.7024154663086,833.3469123840332,385.17251205444336,7.010792427910257,1.6552222769570455,28.568398108469886,0.13925043412238153,799.6318817138672,368.84192276000977,42.293914794921875,60.6016731262207,820.7788391113281,399.1427593231201,73.9008661273832,0.36344160027404776,800.5714285714286,427.57142857142856,34.87877113600423,0.11816078052265758,1.0,True
