source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
5,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,11.0743408203125,0.6711883544921875,342,SUPPORTED,0.19092917442321777,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.00015282630920410156,0.0,350,SUPPORTED,0.019376927986741066,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,10.993850708007812,0.5718460083007812,346,SUPPORTED,0.208356112241745,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,5.88232421875,0.26654052734375,348,SUPPORTED,0.15017032623291016,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,6.24554443359375,0.274627685546875,348,SUPPORTED,0.11241818219423294,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,6.56103515625,0.2731170654296875,347,SUPPORTED,0.1551356315612793,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,45.034698486328125,-1.8336029052734375,315,SUPPORTED,0.5656042695045471,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,7.8930206298828125,-0.47747802734375,348,SUPPORTED,0.17656025290489197,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,7.76171875,-0.49581146240234375,346,SUPPORTED,0.1388736516237259,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,7.841827392578125,-0.493804931640625,349,SUPPORTED,0.16481323540210724,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,15.157958984375,-1.3325347900390625,349,SUPPORTED,0.28081214427948,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.0,0.0,350,SUPPORTED,0.00015560972678940743,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,7.511505126953125,-0.927947998046875,347,SUPPORTED,0.1645914763212204,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,14.79510498046875,-1.9987449645996094,348,SUPPORTED,0.28437840938568115,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-9.1552734375e-05,-2.6702880859375e-05,350,SUPPORTED,0.0009279475780203938,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,13.58587646484375,-2.27386474609375,349,SUPPORTED,0.25244832038879395,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,6.3360748291015625,-1.227935791015625,346,SUPPORTED,0.17780834436416626,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,0.0,0.0,350,SUPPORTED,0.00015315855853259563,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,12.32647705078125,-2.69134521484375,346,SUPPORTED,0.27110761404037476,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,5.74761962890625,-1.493072509765625,350,SUPPORTED,0.15420688688755035,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,5.5853271484375,-1.550567626953125,349,SUPPORTED,0.14407457411289215,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,5.185626983642578,-1.5699348449707031,350,SUPPORTED,0.18442676961421967,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,5.16693115234375,-1.66015625,343,SUPPORTED,0.14204049110412598,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,4.97760009765625,-1.60687255859375,347,SUPPORTED,0.19749027490615845,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,4.91595458984375,-1.5139999389648438,345,SUPPORTED,0.25321635603904724,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,9.556808471679688,-3.0897369384765625,338,SUPPORTED,1.4994893074035645,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,1.1444091796875e-05,0.0,350,SUPPORTED,0.000140000440296717,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,10.402252197265625,-2.8553619384765625,343,SUPPORTED,1.3777998685836792,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,11.25421142578125,-2.99163818359375,335,SUPPORTED,1.328023910522461,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.0,6.103515625e-05,350,SUPPORTED,0.003278410993516445,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,11.421279907226562,-3.299510955810547,332,SUPPORTED,1.575832724571228,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,5.6739654541015625,-1.6463088989257812,346,SUPPORTED,0.7708525061607361,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,5.572296142578125,-1.6798095703125,349,SUPPORTED,0.7148743271827698,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,10.997909545898438,-2.8642807006835938,342,SUPPORTED,1.396169900894165,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,5.653839111328125,-1.2936058044433594,346,SUPPORTED,0.6587300896644592,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,6.0136566162109375,-1.3671302795410156,350,SUPPORTED,0.5884476900100708,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,12.753158569335938,-2.7152366638183594,348,SUPPORTED,1.2764800786972046,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,6.363128662109375,-1.4569435119628906,350,SUPPORTED,0.5728710889816284,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,6.4571075439453125,-1.4629020690917969,350,SUPPORTED,0.6403963565826416,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,12.6527099609375,-2.7781295776367188,337,SUPPORTED,1.2197381258010864,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,5.74847412109375,-1.2454299926757812,349,SUPPORTED,0.6715028285980225,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
52,5.6009521484375,-1.2399444580078125,349,SUPPORTED,0.7117367386817932,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
53,5.303436279296875,-1.2525978088378906,344,SUPPORTED,0.7446168661117554,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
54,10.268997192382812,-2.7340774536132812,340,SUPPORTED,1.4117445945739746,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
55,4.568206787109375,-1.5739288330078125,341,SUPPORTED,0.9220817685127258,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
56,4.62701416015625,-1.5996990203857422,348,SUPPORTED,0.7647182941436768,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
57,9.5238037109375,-3.661224365234375,349,SUPPORTED,1.3142342567443848,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
58,4.5467681884765625,-1.698486328125,347,SUPPORTED,0.6969820261001587,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
59,4.739990234375,-1.6767120361328125,347,SUPPORTED,0.722939133644104,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
60,9.245452880859375,-3.33447265625,344,SUPPORTED,1.1861664056777954,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
61,4.115901947021484,-1.715576171875,349,SUPPORTED,0.6880501508712769,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
62,4.142642974853516,-1.6952056884765625,344,SUPPORTED,0.5148851871490479,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
63,8.08929443359375,-3.6434326171875,345,SUPPORTED,0.7687813639640808,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
64,0.0,0.0,350,SUPPORTED,4.31583721365314e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
65,7.760887145996094,-3.4426422119140625,336,SUPPORTED,0.8461889624595642,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
66,3.779796600341797,-1.3989181518554688,335,SUPPORTED,0.548659086227417,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
67,3.6395492553710938,-1.4370040893554688,350,SUPPORTED,0.33747225999832153,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
68,3.705638885498047,-1.2832183837890625,350,SUPPORTED,0.4313434660434723,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
69,6.682529449462891,-2.368072509765625,345,SUPPORTED,0.705092191696167,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
70,0.00018310546875,0.010023355484008789,350,SUPPORTED,0.031222227960824966,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
71,2.998014450073242,-0.9763717651367188,350,SUPPORTED,0.49957484006881714,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
72,5.671180725097656,-1.5593605041503906,346,SUPPORTED,0.5766417980194092,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
73,0.000408172607421875,0.0059051513671875,350,SUPPORTED,0.03499756008386612,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
74,2.591156005859375,-0.7248382568359375,349,SUPPORTED,0.2900378108024597,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
75,4.715065002441406,-1.3359527587890625,344,SUPPORTED,0.32840198278427124,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
76,0.0002384185791015625,0.007825851440429688,350,SUPPORTED,0.028738193213939667,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
77,2.2763309478759766,-0.4937019348144531,349,SUPPORTED,0.06188853457570076,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
78,4.531219482421875,-0.6761627197265625,349,SUPPORTED,0.1486848145723343,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
