frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9643922448158264,4,6,0.9914274215698242,0.9935412406921387,False,,,,,True,,1.0,3.0,84.20987129211426,286.342960357666,86.19826316833496,258.6413230895996,27.772907834523668,1,0,False,0,0.0,,70.63140106201172,250.92197227478027,30.978553771972656,77.09426307678223,86.12067794799805,289.4691038131714,92.0625,283.5,8.422318542424875,0.05498677623002747,1.0,83.08547522374238,,True,,,36.92997061607894,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
2,2,2,66.66666666666667,17,1.0,0.9273784160614014,4,6,0.9840840697288513,0.9923340976238251,False,,,,,True,,1.0,3.0,88.39381980895996,287.06261825561523,88.68149757385254,258.8376350402832,28.226449227669224,1,0,False,0,0.0,,75.14156723022461,250.92108726501465,30.54900360107422,77.56133460998535,90.41606903076172,289.7017545700073,95.125,284.0,7.394865519375642,0.0480839749240709,1.0,83.36067566605107,0.0074519540015249245,True,4.245389579496332,2.4909820342040683,36.92997061607894,0.01228111979455757,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
3,3,3,100.0,17,1.0,0.8776577711105347,4,6,0.9678001999855042,0.7751443088054657,False,,,,,True,,1.0,3.0,96.78886795043945,297.18019104003906,95.96470546722412,263.94569969177246,33.2447087365305,1,0,False,0,0.0,,80.83161926269531,252.56912994384766,33.267250061035156,86.26170349121094,97.46524429321289,295.6999816894531,98.1875,284.5,11.223245660238923,0.07268136556722375,1.0,92.45426661776641,0.24623878113122796,True,13.14694307989017,8.895922757188497,36.92997061607894,0.1358858245794643,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
4,4,4,133.33333333333334,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9591043591499329,4,6,0.99167799949646,0.9836975038051605,False,,,,,False,,,,99.8526611328125,289.7189178466797,99.37328433990479,262.28146743774414,27.441637834728013,1,0,False,0,0.0,,80.65195083618164,253.8889617919922,33.75041198730469,71.1756591796875,97.52715682983398,289.47679138183594,104.3125,285.5,7.864842759493872,0.05051707007976261,1.0,78.77223348982707,,True,,,36.92997061607894,,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9584805369377136,4,6,0.994507908821106,0.9892410635948181,False,,,,,False,,,,105.00421905517578,290.40434646606445,102.96406745910645,263.0768795013428,27.40351563655472,1,0,False,0,0.0,,91.08273315429688,253.9812355041504,30.690601348876953,72.2188835144043,106.42803382873535,290.09067726135254,107.375,286.0,4.198855247096087,0.026858925330297583,1.0,78.46961289074125,0.00819444462146605,True,5.196956938414594,3.677825955651224,36.92997061607894,0.0010322834688824849,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9529829025268555,4,6,0.9936552047729492,0.9865621626377106,False,,,,,False,,,,105.62736129760742,290.61470794677734,103.63604736328125,263.4101848602295,27.277305723834907,1,0,False,0,0.0,,92.50532150268555,254.16199493408203,29.86434555053711,73.04525756835938,107.4374942779541,290.6846237182617,110.4375,286.5,5.148894055595499,0.032799984501235016,1.0,78.91443966974516,0.012045143052733572,True,0.657691574273575,0.7500996293009243,36.92997061607894,0.0034175470658203404,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9554886817932129,4,6,0.9928199648857117,0.9874165058135986,False,,,,,False,,,,109.74610137939453,288.69322204589844,105.86750793457031,260.951623916626,28.011421846744707,1,0,False,0,0.0,,89.20815086364746,251.94305992126465,41.37643241882324,73.29995918273926,109.89636707305908,288.5930395126343,113.5,287.0,3.940043801907134,0.02499512602275139,1.0,84.17180748861632,0.1423604657996168,True,4.54490131120535,3.3202316477363922,36.92997061607894,0.019878600244273497,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9479158520698547,4,6,0.9931001663208008,0.920426070690155,False,,,,,False,,,,111.85146141052246,291.92595291137695,109.54663181304932,261.68660736083984,30.327054898195716,1,0,False,0,0.0,,93.29865837097168,252.5863380432129,32.32840538024902,74.9157600402832,109.46286106109619,290.0442180633545,116.94444444444444,287.0,8.07721199048573,0.050898362423774136,1.0,81.5934856274875,0.06981651536993783,True,3.857860768520356,3.751819981883841,36.92997061607894,0.06270335483134139,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
10,10,10,333.3333333333333,17,1.0,0.8630973696708679,4,6,0.9553262591362,0.7745262384414673,False,,,,,False,,,,116.02881622314453,297.1151351928711,112.34999656677246,265.7801399230957,31.55020828173652,1,0,False,0,0.0,,100.21293067932129,253.58216094970703,28.104948043823242,77.91279602050781,114.26540470123291,292.53855895996094,120.38888888888889,287.0,8.256675720254268,0.05168364419027458,1.0,82.82687902051642,0.033398168816628084,True,6.661674412721587,4.961437571981154,36.92997061607894,0.03312088699600144,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
11,11,11,366.66666666666663,17,1.0,0.9555811285972595,4,6,0.9885266125202179,0.9982452988624573,False,,,,,False,,,,117.94136428833008,288.45652770996094,115.02492904663086,261.7628364562988,26.852537073149385,1,0,False,0,0.0,,102.19266700744629,252.6680030822754,27.137052536010742,73.25558853149414,115.76119327545166,289.29579734802246,123.83333333333334,287.0,8.392266116922476,0.05218552524395925,1.0,78.12042544327177,0.12744265697291138,True,8.867317725487947,4.826384870287448,36.92997061607894,0.1272048455554908,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
12,12,12,400.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
13,13,13,433.33333333333337,17,1.0,0.9288485050201416,4,6,0.9760071039199829,0.9653356671333313,False,,,,,False,,,,125.41929054260254,290.9054412841797,120.524338722229,261.69141006469727,29.621279064494697,1,0,False,0,0.0,,108.32309532165527,253.2839813232422,29.54131507873535,77.25633239746094,123.09375286102295,291.91214752197266,130.72222222222223,287.0,9.073187867137893,0.05568366891883098,1.0,82.71172947102538,,True,,,36.92997061607894,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
14,14,14,466.6666666666667,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
15,15,15,500.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
16,16,16,533.3333333333334,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,36.92997061607894,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
17,17,17,566.6666666666666,17,1.0,0.9138740301132202,4,6,0.957378625869751,0.4015394300222397,False,,,,,False,,,,139.5470485687256,291.09125900268555,136.2253646850586,263.0758457183838,28.211645916416227,1,0,False,0,0.0,,128.14210510253906,250.28941535949707,20.658031463623047,69.84799766540527,138.4711208343506,285.2134141921997,144.5,287.0,6.288026148373987,0.03760770427202666,1.0,72.8388429467307,,True,,,36.92997061607894,,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
18,18,18,600.0,17,1.0,0.9745934009552002,4,6,0.9955199658870697,0.9898680150508881,False,,,,,False,,,,144.90962600708008,288.8025894165039,140.3364963531494,260.94267082214355,28.232757196491555,1,0,False,0,0.0,,132.38226699829102,249.9366455078125,20.100704193115234,76.41807556152344,142.43261909484863,288.1456832885742,147.84615384615384,286.65384615384613,5.615330492512692,0.033568852578357886,1.0,79.01747010367913,0.16730658199490483,True,5.830544164746672,4.6316129728560815,36.92997061607894,0.0005716571045993754,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
19,19,19,633.3333333333333,17,1.0,0.9580686688423157,4,6,0.9926145672798157,0.9886417090892792,False,,,,,False,,,,147.02503776550293,292.2704086303711,144.77168655395508,262.99945640563965,29.35755841048596,1,0,False,0,0.0,,136.53380966186523,249.14341735839844,21.32135772705078,80.59970092773438,147.19448852539062,289.4432678222656,151.19230769230768,286.3076923076923,5.0807865433376564,0.030358157115056645,1.0,83.37213014530151,0.1179166939203143,True,4.062109920686551,4.8888934385809595,36.92997061607894,0.030457679636080693,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
20,20,20,666.6666666666666,17,1.0,0.9250799417495728,4,6,0.9855037927627563,0.9875859320163727,False,,,,,False,,,,151.56010818481445,288.7518615722656,149.3433322906494,258.8528881072998,29.981039168509177,1,0,False,0,0.0,,139.12602615356445,247.47768211364746,23.386260986328125,79.58899879455566,150.81915664672852,287.2721815109253,154.53846153846155,285.96153846153845,3.943477409669706,0.023550044243012137,1.0,82.95375779336604,0.011328802730033019,True,5.7399509674053,6.1720315451747725,36.92997061607894,0.016882785109819696,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
21,21,21,700.0,17,1.0,0.9556464552879333,4,6,0.9962763786315918,0.9895061254501343,False,,,,,False,,,,159.54902458190918,291.4991111755371,156.0040340423584,260.92369270324707,30.780239971143168,1,0,False,0,0.0,,144.50309371948242,248.22534370422363,24.822723388671875,83.60363578796387,156.91445541381836,290.02716159820557,157.8846153846154,285.61538461538464,4.517187899023616,0.026960821819380996,1.0,87.21086809221102,0.11527521489528277,True,8.44808650419989,6.975183115862655,36.92997061607894,0.021640981276221927,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
22,22,22,733.3333333333333,17,1.0,0.9573380947113037,4,6,0.9934296607971191,0.9890820980072021,False,,,,,False,,,,158.1747760772705,289.9563865661621,155.61331176757812,260.47805976867676,29.58940435678236,1,0,False,0,0.0,,145.01569747924805,247.55399894714355,23.802955627441406,80.22944831848145,156.91717529296875,287.6687231063843,161.23076923076923,285.2692307692308,4.936056739573341,0.029443026572834763,1.0,83.68599090701997,0.09544760329856175,True,2.066048927995867,0.5926656801125065,36.92997061607894,0.03224577746732161,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
23,23,23,766.6666666666667,17,1.0,0.925574541091919,4,6,0.9876613914966583,0.9736271798610687,False,,,,,False,,,,161.05183792114258,288.49961853027344,159.42552185058594,257.3028736114502,31.23910686129606,1,0,False,0,0.0,,147.6588134765625,245.76722717285156,25.851089477539062,78.1710433959961,160.58435821533203,284.8527488708496,164.5769230769231,284.9230769230769,3.993184219259331,0.023803662523345936,1.0,82.33462730099916,0.03659259900500547,True,3.2248500684297707,4.961325714970709,36.92997061607894,0.04467110254876394,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
24,24,24,800.0,17,1.0,0.9393447637557983,4,6,0.9900520145893097,0.9624914228916168,False,,,,,False,,,,166.62727737426758,289.11415100097656,162.48094177246094,257.53550910949707,31.84968952176948,1,0,False,0,0.0,,148.77307510375977,245.21647262573242,29.232498168945312,85.2110481262207,163.38932418823242,287.8219966888428,167.9230769230769,284.5769230769231,5.575429724020138,0.03321312704561601,1.0,90.08585722501891,0.20988995644217884,True,5.609204511605125,3.0642633982642793,36.92997061607894,0.016533526842493002,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
25,25,25,833.3333333333334,17,1.0,0.9544848203659058,4,6,0.9928245544433594,0.9878920912742615,False,,,,,False,,,,166.76641464233398,290.2964057922363,163.10468864440918,258.92688751220703,31.582509628035748,1,0,False,0,0.0,,149.9959888458252,245.4760398864746,28.253217697143555,83.20712661743164,164.12259769439697,287.07960319519043,171.26923076923077,284.2307692307692,7.693518003043098,0.04579818751527618,1.0,87.87303471584151,0.05991942241659838,True,1.1904140333605173,1.5247931072092826,36.92997061607894,0.007234771359861451,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
26,26,26,866.6666666666667,17,1.0,0.9714717268943787,4,6,0.9963854253292084,0.9924815893173218,False,,,,,False,,,,171.1035919189453,287.6924133300781,166.63101196289062,254.5185432434082,33.47401421984755,1,0,False,0,0.0,,154.04156112670898,242.9696216583252,30.21768569946289,86.42097282409668,169.15040397644043,286.18010807037354,174.6153846153846,283.88461538461536,5.927503695013953,0.03525916506737916,1.0,91.55158694907905,0.09960885892597852,True,5.058842107807912,5.645215260618276,36.92997061607894,0.05121868661840356,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
27,27,27,900.0,17,1.0,0.9256862998008728,4,6,0.9869177639484406,0.9718425571918488,False,,,,,False,,,,173.04342651367188,285.5940399169922,169.5566921234131,254.76060485839844,31.029953822407332,1,0,False,0,0.0,,156.58452224731445,241.5820770263672,30.299285888671875,84.52531433105469,171.7341651916504,283.84473419189453,177.96153846153845,283.53846153846155,6.234900222197402,0.037058822706830453,1.0,89.79184533200701,0.04765077219709089,True,2.857644000858731,2.935676792006643,36.92997061607894,0.0661809461710239,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
28,28,28,933.3333333333334,17,1.0,0.9288457036018372,4,6,0.9879543483257294,0.9706138372421265,False,,,,,False,,,,172.8721466064453,286.0759620666504,169.8652400970459,254.99683380126953,31.224248597720717,1,0,False,0,0.0,,158.8645076751709,241.78286361694336,27.50804328918457,84.88241958618164,172.61852931976318,284.2240734100342,181.30769230769232,283.1923076923077,8.750205364851347,0.05196696968466293,1.0,89.22845734632111,0.015255576332373611,True,0.511454558050589,0.38859486034031543,36.92997061607894,0.005261167882673331,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
29,29,29,966.6666666666666,17,1.0,0.9482542276382446,4,6,0.985914409160614,0.967863529920578,False,,,,,False,,,,175.02735328674316,279.68532943725586,171.97213172912598,249.3551721572876,30.4836483937494,1,0,False,0,0.0,,159.63473892211914,236.81638717651367,36.093135833740234,81.04494094848633,177.68130683898926,277.33885765075684,184.6538461538462,282.8461538461538,8.885190818494534,0.052723973375209184,1.0,88.71863900926603,0.013805002510159326,True,6.744264321531485,6.02223699753721,36.92997061607894,0.020054177991922505,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
30,30,30,1000.0,17,1.0,0.9792366027832031,4,6,0.9983559250831604,0.9959488809108734,False,,,,,False,,,,174.85312843322754,277.1727066040039,173.02173709869385,246.63986587524414,30.587715788989804,1,0,False,0,0.0,,155.43255615234375,234.81825065612793,42.776634216308594,80.30893898010254,176.82087326049805,274.9727201461792,188.0,282.5,13.47712197227524,0.0799017007360458,1.0,90.99102216694621,0.06153222219707937,True,2.5186559514474407,2.9111096917035555,36.92997061607894,0.002817965828412895,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
31,31,31,1033.3333333333335,17,1.0,0.9823856949806213,4,6,0.9968040585517883,0.9796901643276215,False,,,,,False,,,,175.9571132659912,274.7084312438965,172.97579860687256,243.87699222564697,30.97524606896149,1,0,False,0,0.0,,156.96124076843262,233.10093688964844,34.71389961242676,79.82061767578125,174.318190574646,273.01124572753906,187.33333333333334,281.5833333333333,15.584435406854594,0.0916429855172379,1.0,87.04243696292565,0.10692088669849592,True,2.7002658316182124,2.763255534450115,36.92997061607894,0.010493652540382961,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
32,32,32,1066.6666666666667,17,1.0,0.9782372117042542,4,6,0.9904807806015015,0.9929454028606415,False,,,,,False,,,,177.63624000549316,272.7906131744385,173.68314743041992,242.08359146118164,30.960428346609255,1,0,False,0,0.0,,155.21986961364746,231.86314392089844,38.3245792388916,83.16706848144531,174.38215923309326,273.4466781616211,186.66666666666666,280.6666666666667,14.249117758602127,0.08310992395992495,1.0,91.57256496154018,0.12266806398817331,True,2.549017998141657,1.9278559749521427,36.92997061607894,0.00040123840081753,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
33,33,33,1100.0,17,1.0,0.964512050151825,4,6,0.9904937446117401,0.9842594861984253,False,,,,,False,,,,176.00013160705566,271.24928283691406,173.28948974609375,241.26808643341064,30.103483470918203,1,0,False,0,0.0,,153.05722999572754,230.10865783691406,38.312788009643555,79.7641372680664,172.21362400054932,269.99072647094727,186.0,279.75,16.891050382172782,0.09772064993453698,1.0,88.48834566874231,0.0835153465151968,True,2.247787779308991,0.9055466982706177,36.92997061607894,0.023204591322310647,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
34,34,34,1133.3333333333333,17,1.0,0.9663690328598022,4,6,0.9932894706726074,0.996772974729538,False,,,,,False,,,,175.24000549316406,273.68786811828613,174.13658905029297,241.7423219680786,31.964596770199318,1,0,False,0,0.0,,153.84561729431152,230.343900680542,40.77266883850098,85.51499366760254,174.231951713562,273.10139751434326,185.33333333333334,278.8333333333333,12.493828960763707,0.07169660381996547,1.0,94.73766234283053,0.16922073237088714,True,2.554308102705006,0.9708123266196277,36.92997061607894,0.05039574275942708,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
35,35,35,1166.6666666666667,17,1.0,0.945844292640686,4,6,0.9882726669311523,0.9549456238746643,False,,,,,False,,,,176.1345672607422,272.9482364654541,174.41368675231934,242.6844825744629,30.31264141078364,1,0,False,0,0.0,,156.6757049560547,228.88495063781738,41.560386657714844,76.96595573425293,177.4558982849121,267.36792850494385,184.66666666666666,277.9166666666667,12.777756354693057,0.07273442812296159,1.0,87.47013250947859,0.196792191060876,True,1.1607306913679598,0.9820640227045702,36.92997061607894,0.04473210597942994,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
