source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,,,,89.0,283.0,47.5,219.0,83.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33.333333333333336,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,84.20987129211426,286.342960357666,,,,92.0625,283.5,50.0,219.5,84.125,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,66.66666666666667,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,88.39381980895996,287.06261825561523,,,,95.125,284.0,52.5,220.0,85.25,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,100.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,96.78886795043944,297.18019104003906,,,,98.1875,284.5,55.0,220.5,86.375,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,133.33333333333334,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,,,,101.25,285.0,57.5,221.0,87.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,166.66666666666666,VALID_TARGET,,1.0,99.8526611328125,289.7189178466797,105.00421905517578,290.40434646606445,SUPPORTED,104.3125,285.5,60.0,221.5,88.625,128.0,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,200.0,VALID_TARGET,,1.0,105.00421905517578,290.40434646606445,105.3157901763916,290.06163215637207,SUPPORTED,107.375,286.0,62.5,222.0,89.75,128.0,SUPPORTED,translation_median_sparse_flow,11.0743408203125,0.6711883544921875,342.0,0.19092917442321777,,,SUPPORTED,partial_affine_ransac_sparse_flow,11.063411006161365,0.755302342720753,301.0,0.16372806846491553,1.0000419351734946,0.8801169590643275,0.3115711212158203,-0.3427143096923828,-10.76276969909668,-1.0139026641845703,-10.76276969909668,-1.0139026641845703,174.61835500146006,8.85815170180668,path_segment_001,SUPPORTED,,0.3115711212158203,-0.3427143096923828,-10.850296343769614,-1.0761699300477972,-10.850296343769614,-1.0761699300477972,174.3357317000476,8.934449692073956,path_segment_001,SUPPORTED,,0.3115711212158203,-0.3427143096923828,-10.76276969909668,-1.0139026641845703,-10.76276969909668,-1.0139026641845703,174.61835500146006,8.85815170180668,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,233.33333333333337,VALID_TARGET,,1.0,105.62736129760742,290.61470794677734,105.62736129760742,290.40434646606445,SUPPORTED,110.4375,286.5,65.0,222.5,90.875,128.0,SUPPORTED,translation_median_sparse_flow,0.00015282630920410156,0.0,350.0,0.019376927986741066,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0904812141262733,-0.07248392661749081,350.0,0.0856296980084073,1.0004339537552989,1.0,0.3115711212158203,0.3427143096923828,0.3114182949066162,0.3427143096923828,-10.451351404190063,-0.6711883544921875,-47.73914381601121,0.37944407256801105,path_segment_001,SUPPORTED,,0.3115711212158203,0.3427143096923828,0.3537436581551958,0.2902712829689449,-10.496552685614418,-0.7858986470788523,-39.371260572120526,0.3749561894917055,path_segment_001,SUPPORTED,,0.3115711212158203,0.3427143096923828,0.3114182949066162,0.3427143096923828,-10.451351404190063,-0.6711883544921875,-47.73914381601121,0.37944407256801105,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,,1.0,109.74610137939452,288.69322204589844,109.74610137939453,290.61470794677734,SUPPORTED,113.5,287.0,67.5,223.0,92.0,128.0,SUPPORTED,translation_median_sparse_flow,10.993850708007812,0.5718460083007812,346.0,0.208356112241745,,,SUPPORTED,partial_affine_ransac_sparse_flow,11.15131299200284,0.7741995240557257,301.0,0.17755618117214134,0.9994760848072168,0.869942196531792,4.118740081787109,0.21036148071289062,-6.875110626220703,-0.3614845275878906,-17.326462030410767,-1.0326728820800781,176.99023264106103,5.6413060570081415,path_segment_001,SUPPORTED,,4.118740081787109,0.21036148071289062,-7.0585792434513905,-0.3820902596675637,-17.55513192906581,-1.167988906746416,176.90152745657653,5.792327920657325,path_segment_001,SUPPORTED,,4.118740081787109,0.21036148071289062,-6.875110626220703,-0.3614845275878906,-17.326462030410767,-1.0326728820800781,176.99023264106103,5.6413060570081415,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,,1.0,111.85146141052246,291.92595291137695,111.85146141052246,290.61470794677734,SUPPORTED,116.94444444444444,287.0,70.5,222.66666666666666,92.88888888888889,128.66666666666666,SUPPORTED,translation_median_sparse_flow,5.88232421875,0.26654052734375,348.0,0.15017032623291016,,,SUPPORTED,partial_affine_ransac_sparse_flow,5.9970944141587275,0.3081411831153609,312.0,0.1313351530070815,0.9997424882278023,0.896551724137931,2.1053600311279297,0.0,-3.7769641876220703,-0.26654052734375,-21.103426218032837,-1.2992134094238281,175.96332652067963,3.102573623914064,path_segment_001,SUPPORTED,,2.1053600311279297,0.0,-3.8642007365918403,-0.2330298327356104,-21.41933266565765,-1.4010187394820264,176.5489691387411,3.1721113969536825,path_segment_001,SUPPORTED,,2.1053600311279297,0.0,-3.7769641876220703,-0.26654052734375,-21.103426218032837,-1.2992134094238281,175.96332652067963,3.102573623914064,path_segment_001,SUPPORTED,,SUPPORTED,
