frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9313157796859741,4,6,0.9866765439510345,0.9771943092346191,False,,,,,False,,,,250.3352928161621,157.66602325439453,255.1160945892334,103.00711059570312,54.867593337268374,1,0,False,0,0.0,,220.0492057800293,83.43111991882324,81.36517715454102,142.5634479522705,260.7317943572998,154.7128438949585,259.5,163.5,8.873073298076818,0.03347733705253059,1.0,164.1481914168706,,True,,,59.79770667707123,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9093530178070068,4,6,0.9924701154232025,0.9758610427379608,False,,,,,False,,,,252.18671417236328,162.54670333862305,254.7090549468994,103.24125480651855,59.35906357564094,1,0,False,0,0.0,,210.61219024658203,82.84743309020996,93.63915252685547,136.78728675842285,257.43176651000977,151.2410764694214,258.93333333333334,163.55333333333334,12.403482253296978,0.0467836288941521,1.0,165.7680690141461,0.02708929300622565,True,5.2200382300116015,0.4695793669761889,59.79770667707123,0.07511107846707386,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.9205279350280762,4,6,0.9931169152259827,0.9741553664207458,False,,,,,False,,,,249.58126258850098,161.70006942749023,252.83661460876465,104.78615188598633,57.00694103963956,3,0,True,2,0.6899073406843957,0.06136033988458263,219.3135757446289,84.24741554260254,68.88166046142578,129.8691921234131,253.7544059753418,149.18201160430908,258.3666666666667,163.60666666666668,15.14409529660783,0.057103843542072485,1.0,147.00574890360963,0.31376320519881545,True,2.7395559741189146,2.427496612978542,59.79770667707123,0.03933466125555074,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.9629386067390442,4,6,0.9940595030784607,0.9909991919994354,False,,,,,False,,,,248.09304428100586,161.31850051879883,251.8035831451416,104.85230255126953,56.58798115828547,3,1,True,2,0.6224075064285741,0.05455324494167214,217.55318450927734,82.46681785583496,75.99378967285156,144.77938270568848,255.55007934570312,154.8565092086792,257.8,163.66000000000003,9.086451070880331,0.03425203054366772,1.0,163.51185194193664,0.2760323757475484,True,1.536355610802259,1.0351472916221076,59.79770667707123,0.007006286773113483,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9669728875160217,4,6,0.9947315156459808,0.9688001275062561,False,,,,,False,,,,251.44997787475586,158.91339111328125,255.21246528625488,106.84486389160156,52.204289465105134,1,0,False,0,0.0,,202.87464714050293,83.38013458251953,78.80280494689941,141.72589874267578,242.27604961395264,154.24308395385742,257.23333333333335,163.71333333333337,17.703275391054497,0.06671353830289214,1.0,162.1607611042766,0.022594358759549443,True,4.129594944465668,3.948515942349334,59.79770667707123,0.07330869253655202,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9803622961044312,4,6,0.9970235228538513,0.99185711145401,False,,,,,False,,,,247.756010055542,162.86860275268555,254.26166152954102,105.3127498626709,57.92235926650565,1,0,False,0,0.0,,206.35683631896973,85.19539260864258,70.90151023864746,163.33189010620117,241.80759143829346,166.86133766174316,256.66666666666663,163.76666666666665,15.177915048194896,0.057179333155822895,1.0,178.0570989311721,0.2658352420225974,True,5.411940258527147,1.8031642136609063,59.79770667707123,0.09562356349684306,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9779021739959717,4,6,0.9957911968231201,0.9830936193466187,False,,,,,False,,,,248.21047401428223,163.39019393920898,255.03123664855957,106.38220024108887,57.41458132215245,1,0,False,0,0.0,,208.35536575317383,84.49123764038086,69.35709762573242,158.94813919067383,243.03391456604004,163.96530723571777,256.1,163.82,13.066893385969491,0.049211231936045347,1.0,173.42121537817454,0.07752610945488228,True,0.691805504208208,1.3175621335294814,59.79770667707123,0.008491595624149625,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9710653424263,4,6,0.9934908151626587,0.9738847613334656,False,,,,,False,,,,248.05463981628418,159.44426727294922,257.09317779541016,104.23673820495605,55.94252796033991,1,0,False,0,0.0,,218.29733276367188,83.66652870178223,59.38661193847656,152.1499843597412,247.99063873291016,159.74152088165283,255.5333333333333,163.87333333333333,8.600239297316937,0.032379165494533894,1.0,163.32907707509003,0.1687713269270614,True,3.949002602273845,2.9756694442700895,59.79770667707123,0.024617221020902195,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9704356789588928,4,6,0.9951154887676239,0.99464550614357,False,,,,,False,,,,249.86387062072754,155.38740158081055,255.73658561706543,102.35211753845215,53.35944279021144,2,0,True,1,0.08376091244692023,0.3750359856967414,217.42896270751953,83.3480396270752,60.039642333984375,149.19752311706543,247.44878387451172,157.9468011856079,254.96666666666664,163.92666666666668,9.606110183010461,0.036154654464738506,1.0,160.82493449667575,0.04187689992757632,True,4.4420125335030916,2.3220976282145673,59.79770667707123,0.04319706078492347,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9760265946388245,4,6,0.9962399303913116,0.9843463897705078,False,,,,,False,,,,247.45495796203613,151.14873886108398,258.812686920166,98.74093627929688,53.6243953675742,1,0,False,0,0.0,,213.8381118774414,82.57094192504883,62.57537841796875,135.0870475769043,245.12580108642578,150.11446571350098,254.39999999999998,163.98000000000002,16.6812411570189,0.06276316848328134,1.0,148.87641991664358,0.19981559902553409,True,4.875358637967414,4.7437357971762495,59.79770667707123,0.004430815027633094,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
10,10,10,333.3333333333333,17,1.0,0.9831295609474182,4,6,0.9986457526683807,0.9949144423007965,False,,,,,False,,,,246.71905708312988,151.8393669128418,257.8515167236328,98.42454528808594,54.562577164682324,1,0,False,0,0.0,,203.54197883605957,81.36766815185547,89.89363670349121,138.9262466430664,248.48879718780518,150.83079147338867,253.83333333333331,164.03333333333333,14.243285371516214,0.05357286073159375,1.0,165.47316376412635,0.2775481664725214,True,1.0092161361421956,1.011904840399094,59.79770667707123,0.01568926049580188,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
11,11,11,366.66666666666663,17,1.0,0.9716663956642151,4,6,0.9975807964801788,0.9821432828903198,False,,,,,False,,,,248.72529411315918,153.92879104614258,256.90656089782715,99.52397537231445,55.016516562802536,1,0,False,0,0.0,,214.65121841430664,81.52701377868652,82.52010726928711,128.00527381896973,255.9112720489502,145.5296506881714,253.26666666666665,164.08666666666664,18.744513321346368,0.07047990547695843,1.0,152.29877947378327,0.22031587869229532,True,2.8966670898604305,1.449719980834501,59.79770667707123,0.007591250958362764,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
12,12,12,400.0,17,1.0,0.9773507118225098,4,6,0.9983612298965454,0.9859252572059631,False,,,,,False,,,,249.8187141418457,152.76516342163086,257.96856689453125,99.60176658630371,53.784448151495695,1,0,False,0,0.0,,215.5830535888672,81.57901763916016,80.23172760009766,127.08885955810547,255.69891738891602,145.1234474182129,252.7,164.14,19.25156558832077,0.07236223985600661,1.0,150.29540358066885,0.03350255393460759,True,1.5967456302303205,1.0648512619184871,59.79770667707123,0.02060394084944505,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
13,13,13,433.33333333333337,17,1.0,0.9650430679321289,4,6,0.991902083158493,0.9947526454925537,False,,,,,False,,,,246.4812774658203,156.45615005493164,258.96520614624023,100.10161972045898,57.720720408851534,1,0,False,0,0.0,,193.28574752807617,81.92954063415527,90.18816757202148,150.15723609924316,238.3798313140869,157.00815868377686,252.13333333333333,164.19333333333333,15.517266271416627,0.05830613988608859,1.0,175.16021558265703,0.4158154782802452,True,4.976129609815689,1.1149632073624196,59.79770667707123,0.06582647522944485,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
14,14,14,466.6666666666667,17,1.0,0.9843299984931946,4,6,0.9985665678977966,0.9877776503562927,False,,,,,False,,,,248.25135803222656,156.9655876159668,257.1054229736328,102.25148963928223,55.4258692614638,1,0,False,0,0.0,,207.7582836151123,83.54140281677246,66.32012367248535,141.0468235015869,240.91834545135498,154.06481456756592,251.56666666666666,164.24666666666667,14.732849584259633,0.05533976255040864,1.0,155.86072380116025,0.32274635356370546,True,1.8419315514324954,2.8426632085026853,59.79770667707123,0.03837690899720853,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
15,15,15,500.0,17,1.0,0.9797593951225281,4,6,0.99752077460289,0.9982127249240875,False,,,,,False,,,,246.62558937072754,158.2560806274414,257.5972480773926,102.20507621765137,57.11473006258404,1,0,False,0,0.0,,210.3444709777832,82.07122421264648,68.76591873168945,151.86853408813477,244.72743034362793,158.00549125671387,251.0,164.3,8.886279897310535,0.033367242386529765,1.0,166.71173691462837,0.18146202783440235,True,2.0756916807120303,0.4940102614276227,59.79770667707123,0.028242902528698648,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
16,16,16,533.3333333333334,17,1.0,0.9685578942298889,4,6,0.9934660196304321,0.9818048477172852,False,,,,,False,,,,247.060546875,162.3227996826172,256.4380302429199,102.78569221496582,60.27109058188912,1,0,False,0,0.0,,207.75978469848633,81.90167808532715,72.60514450073242,163.54168128967285,244.06235694885254,163.67251873016357,250.43333333333334,164.35333333333332,6.407249691989629,0.02405027818209973,1.0,178.9340340098137,0.20439407753862623,True,4.0899134348116375,1.296495632116411,59.79770667707123,0.05278397274247565,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
17,17,17,566.6666666666666,17,1.0,0.9861836433410645,4,6,0.997999370098114,0.9910257458686829,False,,,,,False,,,,251.0058937072754,157.0064239501953,255.98384284973145,101.35107421875,55.87752617461128,1,0,False,0,0.0,,204.11047172546387,81.28300094604492,80.96181678771973,147.25571060180664,244.59138011932373,154.91085624694824,249.86666666666667,164.40666666666664,10.862737393668775,0.040760002590669,1.0,168.04481569632347,0.1821009352799408,True,6.620393685818819,1.5047973229633416,59.79770667707123,0.07347379442165965,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
18,18,18,600.0,17,1.0,0.9631538987159729,4,6,0.9943628013134003,0.9370290338993073,False,,,,,False,,,,251.56032180786133,158.62092208862305,258.3049774169922,102.54540824890137,56.47967450043067,1,0,False,0,0.0,,205.86538696289062,82.23518180847168,82.59126281738281,141.16398811340332,247.16101837158203,152.81717586517334,249.3,164.46,11.837676978242479,0.0444023767713126,1.0,163.54995638596506,0.07516775408515644,True,1.707042693580319,2.6103830092364455,59.79770667707123,0.010069756170938115,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
19,19,19,633.3333333333333,17,1.0,0.9861884713172913,4,6,0.9969110190868378,0.9848264157772064,False,,,,,False,,,,252.79175186157227,160.35208892822266,258.62524032592773,101.27085494995117,59.368525297998005,2,0,True,1,0.29984282943700963,0.25971954573197237,213.86785125732422,80.86058235168457,76.91967010498047,158.03324699401855,252.32768630981445,159.87720584869385,248.73333333333335,164.51333333333332,5.86626383427886,0.021996039018808877,1.0,175.7587630945652,0.20416847713796157,True,2.1244666633561993,1.314174433895548,59.79770667707123,0.04831039446325513,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
20,20,20,666.6666666666666,17,1.0,0.9748304486274719,4,6,0.9941929280757904,0.9541877508163452,False,,,,,False,,,,251.56249618530273,158.07307815551758,260.1447563171387,100.92325973510742,57.79063016144012,1,0,False,0,0.0,,212.09966659545898,81.8388442993164,80.90407180786133,142.77448272705078,252.55170249938965,153.2260856628418,248.16666666666669,164.56666666666666,12.15883698215326,0.0455739250321502,1.0,164.10369207628602,0.1949083278598073,True,2.589393678015504,1.5587659480909988,59.79770667707123,0.026387218243654004,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
21,21,21,700.0,17,1.0,0.9736588001251221,4,6,0.9965904057025909,0.9797844886779785,False,,,,,False,,,,249.29056358337402,160.85955810546875,257.3722152709961,100.9478588104248,60.45431999799364,1,0,False,0,0.0,,210.97762298583984,82.50754737854004,82.99022674560547,157.74831199645996,252.47273635864258,161.38170337677002,247.59999999999997,164.62,5.850651642412184,0.02192141077491012,1.0,178.24676062419616,0.23651523333976177,True,3.5952952951303523,2.772650170333764,59.79770667707123,0.04454501659968986,False,False,False,False,VALID_TARGET,,True,2,VALID_TARGET,,NOT_REVIEWED,False
