frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9729008674621582,4,6,0.997546911239624,0.9975697994232178,False,,,,,False,,,,1016.4415817260742,618.9740600585938,974.3553619384766,432.9744415283203,190.70162031146253,1,0,False,0,0.0,,866.0078582763672,358.9834289550781,297.2635955810547,568.5318298339844,1014.6396560668945,643.2493438720703,1025.357142857143,646.0714285714287,11.08281034528249,0.011784696279274256,1.0,641.5559888210502,,True,,,189.51833472545212,,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9728932976722717,4,6,0.9972344040870667,0.9976722002029419,False,,,,,False,,,,1012.5396041870117,601.53173828125,972.8163146972656,416.75933837890625,188.99412555303886,1,0,False,0,0.0,,860.5056762695312,349.32012939453125,290.558837890625,579.1871337890625,1005.7850952148438,638.9136962890625,1024.8642857142859,646.3714285714287,20.484952548381703,0.021845102009476067,1.0,647.9831589039486,0.033913183609434065,True,17.873444483359897,16.28797828328663,189.51833472545212,0.009009654717034422,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.9635462760925293,4,6,0.9974753558635712,0.9964436590671539,False,,,,,False,,,,1000.0969085693359,602.0721893310547,969.5884170532227,408.7497024536133,195.71497639952662,1,0,False,0,0.0,,863.9315414428711,336.599853515625,290.67200469970703,569.050048828125,1009.2675437927246,621.1248779296875,1024.3714285714286,646.6714285714286,29.677492904546508,0.03173947198647376,1.0,638.9899626656415,0.047452908719017396,True,12.454427388337173,8.63560020242727,189.51833472545212,0.0354628002415914,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.9613941311836243,4,6,0.9975686371326447,0.9941255152225494,False,,,,,False,,,,989.0161209106445,596.71142578125,968.994987487793,399.3610382080078,198.36335664341973,1,0,False,0,0.0,,857.7651672363281,332.81455993652344,291.2272033691406,558.1516265869141,1003.3787689208984,611.8903732299805,1023.8785714285714,646.9714285714288,40.63154374034232,0.04358047312295424,1.0,629.5605786926535,0.04975446827689795,True,12.309412698172173,9.407400010940142,189.51833472545212,0.013974269284972987,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9238249063491821,4,6,0.9915215969085693,0.9841062128543854,False,,,,,False,,,,983.4995956420898,590.0571746826172,964.7301216125488,393.1521759033203,197.79755230947757,1,0,False,0,0.0,,878.5043716430664,326.86771392822266,263.68663787841797,523.5911483764648,1010.3476905822754,588.6632881164551,1023.3857142857142,647.2714285714287,60.04085433836989,0.0645854029777449,1.0,586.240849526719,0.2285780382604677,True,8.643558799606696,7.532532910807051,189.51833472545212,0.002985485994069265,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9540178179740906,4,6,0.9973737895488739,0.9891676008701324,False,,,,,False,,,,990.6182708740234,598.2247161865234,972.3407669067383,402.93028259277344,196.14785990160013,1,0,False,0,0.0,,857.8665237426758,330.2691116333008,290.0224838256836,526.6029586791992,1002.8777656555176,593.5705909729004,1022.8928571428571,647.5714285714287,57.59074881080465,0.06213007773207816,1.0,601.1852603100855,0.07885469659184101,True,10.8344022112794,12.390855185349235,189.51833472545212,0.008704658629822197,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9660915732383728,4,6,0.997387707233429,0.9837522506713867,False,,,,,False,,,,992.6598281860352,596.34228515625,974.9859848022461,400.6778869628906,196.4609922104747,1,0,False,0,0.0,,851.9537124633789,320.5538024902344,296.11629486083984,493.1481018066406,1000.0118598937988,567.1278533935547,1022.3999999999999,647.8714285714286,83.78993823795234,0.09065786295210139,1.0,575.2216185068191,0.1369980473967274,True,2.776959279853565,3.474257300234105,189.51833472545212,0.0016522533786939102,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9525479674339294,4,6,0.9980424046516418,0.9946585595607758,False,,,,,False,,,,989.2294082641602,574.5971984863281,976.0288848876953,392.66341400146484,182.41204936735204,1,0,False,0,0.0,,863.4984283447266,319.27943420410156,278.6383514404297,505.77427673339844,1002.8176040649414,572.1665725708008,1021.9071428571428,648.1714285714286,78.36548109324112,0.08503654889482233,1.0,577.4486556384322,0.011751037886858336,True,22.014008610946142,8.08204290001327,189.51833472545212,0.07412972926062705,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9537790417671204,4,6,0.9978287816047668,0.9975509345531464,False,,,,,False,,,,995.6518707275391,572.8912200927734,983.0191040039062,391.45555114746094,181.87492614631287,1,0,False,0,0.0,,856.5271606445312,314.945369720459,280.3061218261719,527.137149810791,996.6802215576172,578.5139446258545,1021.4142857142856,648.4714285714285,74.2012364432119,0.08075361359910826,1.0,597.030230929618,0.10332285432727588,True,6.64517767804492,7.093806874078493,189.51833472545212,0.0028341491171145865,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9484149813652039,4,6,0.9980306625366211,0.994172602891922,False,,,,,False,,,,996.68603515625,579.9088592529297,988.0576782226562,391.70928955078125,188.39725735648946,1,0,False,0,0.0,,864.1362533569336,312.3227767944336,262.52249908447266,480.77799224853516,995.3975028991699,552.7117729187012,1020.9214285714286,648.7714285714286,99.39279765578367,0.10848720742502657,1.0,547.7823841235582,0.2598579545214094,True,7.093430442865394,5.0449592005458,189.51833472545212,0.03441530456472846,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
