frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1016.4415817260742,618.9740600585938,974.3553619384766,432.9744415283203,,,190.70162031146253,,866.0078582763672,358.9834289550781,297.2635955810547,568.5318298339844,1014.6396560668945,643.2493438720703,641.5559888210502,,1025.357142857143,646.0714285714287,11.08281034528249,0.011784696279274256,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1012.5396041870117,601.53173828125,972.8163146972656,416.75933837890625,17.873444483359897,16.28797828328663,188.99412555303886,0.009009654717034422,860.5056762695312,349.32012939453125,290.558837890625,579.1871337890625,1005.7850952148438,638.9136962890625,647.9831589039486,0.033913183609434065,1024.8642857142859,646.3714285714287,20.484952548381703,0.021845102009476067,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1000.0969085693359,602.0721893310547,969.5884170532227,408.7497024536133,12.454427388337173,8.63560020242727,195.71497639952662,0.0354628002415914,863.9315414428711,336.599853515625,290.67200469970703,569.050048828125,1009.2675437927246,621.1248779296875,638.9899626656415,0.047452908719017396,1024.3714285714286,646.6714285714286,29.677492904546508,0.03173947198647376,1.0,True
3,3,3,100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,989.0161209106445,596.71142578125,968.994987487793,399.3610382080078,12.309412698172173,9.407400010940142,198.36335664341973,0.013974269284972987,857.7651672363281,332.81455993652344,291.2272033691406,558.1516265869141,1003.3787689208984,611.8903732299805,629.5605786926535,0.04975446827689795,1023.8785714285714,646.9714285714288,40.63154374034232,0.04358047312295424,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,983.4995956420898,590.0571746826172,964.7301216125488,393.1521759033203,8.643558799606696,7.532532910807051,197.79755230947757,0.002985485994069265,878.5043716430664,326.86771392822266,263.68663787841797,523.5911483764648,1010.3476905822754,588.6632881164551,586.240849526719,0.2285780382604677,1023.3857142857142,647.2714285714287,60.04085433836989,0.0645854029777449,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,990.6182708740234,598.2247161865234,972.3407669067383,402.93028259277344,10.8344022112794,12.390855185349235,196.14785990160013,0.008704658629822197,857.8665237426758,330.2691116333008,290.0224838256836,526.6029586791992,1002.8777656555176,593.5705909729004,601.1852603100855,0.07885469659184101,1022.8928571428571,647.5714285714287,57.59074881080465,0.06213007773207816,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,992.6598281860352,596.34228515625,974.9859848022461,400.6778869628906,2.776959279853565,3.474257300234105,196.4609922104747,0.0016522533786939102,851.9537124633789,320.5538024902344,296.11629486083984,493.1481018066406,1000.0118598937988,567.1278533935547,575.2216185068191,0.1369980473967274,1022.3999999999999,647.8714285714286,83.78993823795234,0.09065786295210139,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,989.2294082641602,574.5971984863281,976.0288848876953,392.66341400146484,22.014008610946142,8.08204290001327,182.41204936735204,0.07412972926062705,863.4984283447266,319.27943420410156,278.6383514404297,505.77427673339844,1002.8176040649414,572.1665725708008,577.4486556384322,0.011751037886858336,1021.9071428571428,648.1714285714286,78.36548109324112,0.08503654889482233,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,995.6518707275391,572.8912200927734,983.0191040039062,391.45555114746094,6.64517767804492,7.093806874078493,181.87492614631287,0.0028341491171145865,856.5271606445312,314.945369720459,280.3061218261719,527.137149810791,996.6802215576172,578.5139446258545,597.030230929618,0.10332285432727588,1021.4142857142856,648.4714285714285,74.2012364432119,0.08075361359910826,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,996.68603515625,579.9088592529297,988.0576782226562,391.70928955078125,7.093430442865394,5.0449592005458,188.39725735648946,0.03441530456472846,864.1362533569336,312.3227767944336,262.52249908447266,480.77799224853516,995.3975028991699,552.7117729187012,547.7823841235582,0.2598579545214094,1020.9214285714286,648.7714285714286,99.39279765578367,0.10848720742502657,1.0,True
