source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
9,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.0,0.0,104,SUPPORTED,0.0007913170848041773,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.100799560546875,-0.015121936798095703,90,SUPPORTED,2.515528917312622,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.000244140625,-0.025882720947265625,100,SUPPORTED,4.096617698669434,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,15.612060546875,-0.0006046295166015625,95,UNSTABLE_TRANSFORM,15.60955810546875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,11.145696640014648,0.0015716552734375,86,SUPPORTED,1.4424428939819336,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,10.739604949951172,-0.4411773681640625,87,SUPPORTED,1.2302659749984741,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.0,0.0,96,SUPPORTED,0.00031016964931041,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,10.514436721801758,6.103515625e-05,96,SUPPORTED,1.2817796468734741,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,21.036705017089844,-0.423309326171875,89,SUPPORTED,1.1672486066818237,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,10.130271911621094,-0.4949150085449219,109,SUPPORTED,0.771543025970459,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,9.801803588867188,7.62939453125e-05,112,SUPPORTED,0.6435743570327759,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,9.800683975219727,-0.4193878173828125,124,SUPPORTED,0.5305439233779907,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.0,0.0,145,SUPPORTED,0.000152587890625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,19.0069580078125,-0.28460693359375,147,SUPPORTED,1.651936650276184,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,9.096710205078125,-0.0032196044921875,156,SUPPORTED,1.1237361431121826,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,7.800867080688477,-0.53485107421875,152,SUPPORTED,1.8435635566711426,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,14.961830139160156,-0.6838150024414062,158,SUPPORTED,2.9354660511016846,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,14.850711822509766,-1.2734222412109375,164,SUPPORTED,3.123514413833618,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,7.79638671875,-0.5882568359375,157,SUPPORTED,1.420202374458313,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,7.681774139404297,-1.3276519775390625,160,SUPPORTED,1.1800684928894043,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,7.80316162109375,-0.5215988159179688,149,SUPPORTED,1.4110832214355469,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,8.427230834960938,-1.088134765625,153,SUPPORTED,1.5527541637420654,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
