source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
3,0,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,662.0784301757812,391.48018646240234,,,,595.7142857142858,407.85714285714283,327.85714285714283,144.28571428571428,535.7142857142858,527.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,652.5959014892578,385.58736419677734,,,,595.5357142857143,409.82142857142856,346.07142857142856,143.03571428571428,498.9285714285715,533.5714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,166.66666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,650.1569366455078,388.0727462768554,,,,595.3571428571429,411.7857142857143,364.2857142857143,141.78571428571428,462.1428571428572,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,665.6405181884766,429.6199951171875,662.9008560180664,417.97776794433594,SUPPORTED,595.1785714285714,413.75,382.5,140.53571428571428,425.3571428571429,546.4285714285714,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
7,4,233.33333333333337,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,660.9752655029297,417.97776794433594,659.4757957458496,413.5020065307617,SUPPORTED,595.0,415.7142857142857,400.7142857142857,139.28571428571428,388.5714285714286,552.8571428571429,SUPPORTED,translation_median_sparse_flow,-27.79547119140625,0.000751495361328125,344.0,0.4709932804107666,,,SUPPORTED,partial_affine_ransac_sparse_flow,-28.528776635973426,-0.6206233301889124,311.0,0.29228073414519834,1.0010430088366244,0.9040697674418605,-3.425060272216797,-4.475761413574219,24.370410919189453,-4.476512908935547,24.370410919189453,-4.476512908935547,10.408427685215152,4.446475970414918,path_segment_001,SUPPORTED,,-3.425060272216797,-4.475761413574219,24.609324066249428,-4.603396426977326,24.609324066249428,-4.603396426977326,10.595245999962609,4.492781325678582,path_segment_001,SUPPORTED,,-3.425060272216797,-4.475761413574219,24.370410919189453,-4.476512908935547,24.370410919189453,-4.476512908935547,10.408427685215152,4.446475970414918,path_segment_001,SUPPORTED,,SUPPORTED,
8,5,266.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,661.7659530639648,406.34251403808594,656.9775161743164,409.0262451171875,SUPPORTED,620.3571428571429,410.7142857142858,409.2857142857143,133.92857142857144,422.14285714285717,553.5714285714287,SUPPORTED,translation_median_sparse_flow,-13.7161865234375,-0.243408203125,349.0,0.4790177643299103,,,SUPPORTED,partial_affine_ransac_sparse_flow,-14.688060665101716,-0.5291250490277782,322.0,0.2485310250911194,1.0011391321477627,0.9226361031518625,-2.498279571533203,-4.475761413574219,11.217906951904297,-4.232353210449219,35.58831787109375,-8.708866119384766,20.67076202091227,2.1515806921967022,path_segment_001,SUPPORTED,,-2.498279571533203,-4.475761413574219,11.489891435177356,-4.499539048409247,36.099215501426784,-9.102935475386573,21.38573287690537,2.2143442273008676,path_segment_001,SUPPORTED,,-2.498279571533203,-4.475761413574219,11.217906951904297,-4.232353210449219,35.58831787109375,-8.708866119384766,20.67076202091227,2.1515806921967022,path_segment_001,SUPPORTED,,SUPPORTED,
9,6,300.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,648.9059371948242,409.0262451171875,654.2500076293945,409.0262451171875,SUPPORTED,645.7142857142857,405.7142857142858,417.85714285714283,128.57142857142858,455.7142857142857,554.2857142857143,SUPPORTED,translation_median_sparse_flow,-27.5863037109375,-0.5212249755859375,349.0,0.6128178238868713,,,SUPPORTED,partial_affine_ransac_sparse_flow,-28.65366917766258,-1.1086289974650225,325.0,0.28331523126585023,1.0014263638366951,0.9312320916905444,-2.727508544921875,0.0,24.858795166015625,0.5212249755859375,60.447113037109375,-8.187641143798828,-1.2011690765311422,4.461930605310367,path_segment_001,SUPPORTED,,-2.727508544921875,0.0,25.153022328616657,0.2619887541904973,61.25223783004344,-8.840946721196076,-0.5967595821216767,4.513994491481943,path_segment_001,SUPPORTED,,-2.727508544921875,0.0,24.858795166015625,0.5212249755859375,60.447113037109375,-8.187641143798828,-1.2011690765311422,4.461930605310367,path_segment_001,SUPPORTED,,SUPPORTED,
10,7,333.3333333333333,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,648.831657409668,399.13172912597656,653.0211563110352,409.0262451171875,SUPPORTED,642.1428571428571,408.05357251848494,435.35714285714283,124.83928680419923,413.57142857142856,566.4285714285714,SUPPORTED,translation_median_sparse_flow,-27.93585205078125,-0.7288742065429688,344.0,0.8117800951004028,,,SUPPORTED,partial_affine_ransac_sparse_flow,-28.80940457275296,-1.2386389186798108,321.0,0.3032516074760169,1.0015441032140553,0.9331395348837209,-1.228851318359375,0.0,26.707000732421875,0.7288742065429688,87.15411376953125,-7.458766937255859,-1.563299920814039,4.7943980353955755,path_segment_001,SUPPORTED,,-1.228851318359375,0.0,26.715910577319278,0.37428153839033484,87.96814840736272,-8.466665182805741,-0.8026434137785065,4.7946828815176605,path_segment_001,SUPPORTED,,-1.228851318359375,0.0,26.707000732421875,0.7288742065429688,87.15411376953125,-7.458766937255859,-1.563299920814039,4.7943980353955755,path_segment_001,SUPPORTED,,SUPPORTED,
11,8,366.66666666666663,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,650.8138275146484,419.7751770019531,651.624397277832,419.7751770019531,SUPPORTED,638.5714285714286,410.39285932268416,452.85714285714283,121.10714503696988,371.42857142857144,578.5714285714286,SUPPORTED,translation_median_sparse_flow,-14.49078369140625,-0.4486083984375,339.0,0.4778819680213928,,,SUPPORTED,partial_affine_ransac_sparse_flow,-14.816447807541685,-0.6275492308937787,324.0,0.22405308682862335,1.000768513464596,0.9557522123893806,-1.396759033203125,10.748931884765625,13.094024658203125,11.197540283203125,100.24813842773438,3.7387733459472656,-40.535874873121706,3.091771043827558,path_segment_001,SUPPORTED,,-1.396759033203125,10.748931884765625,12.941269928788984,11.024724002742005,100.9094183361517,2.5580588199362637,-40.427821389879696,3.050787767493035,path_segment_001,SUPPORTED,,-1.396759033203125,10.748931884765625,13.094024658203125,11.197540283203125,100.24813842773438,3.7387733459472656,-40.535874873121706,3.091771043827558,path_segment_001,SUPPORTED,,SUPPORTED,
12,9,400.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,669.9540023803711,447.2811737060547,649.4875030517578,447.2811737060547,SUPPORTED,635.0,412.7321461268833,470.35714285714283,117.37500326974052,329.28571428571433,590.7142857142857,SUPPORTED,translation_median_sparse_flow,-28.6776123046875,-0.9932708740234375,344.0,0.798751950263977,,,SUPPORTED,partial_affine_ransac_sparse_flow,-29.604358103717193,-1.7423066266413205,314.0,0.38511861490572974,1.0020019782060254,0.9127906976744186,-2.1368942260742188,27.505996704101562,26.54071807861328,28.499267578125,126.78885650634766,32.238040924072266,-47.03796005574261,6.988522861598275,path_segment_001,SUPPORTED,,-2.1368942260742188,27.505996704101562,26.426778440661337,27.99862174443831,127.33619677681304,30.556680564374574,-46.65428200927655,6.908996468431626,path_segment_001,SUPPORTED,,-2.1368942260742188,27.505996704101562,26.54071807861328,28.499267578125,126.78885650634766,32.238040924072266,-47.03796005574261,6.988522861598275,path_segment_001,SUPPORTED,,SUPPORTED,
13,10,433.33333333333337,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,647.9600524902344,454.5615997314453,647.9600524902344,452.75767517089844,SUPPORTED,631.4285714285714,415.07143293108254,487.85714285714283,113.64286150251117,287.14285714285717,602.8571428571428,SUPPORTED,translation_median_sparse_flow,-28.245361328125,-1.053314208984375,341.0,0.8402683138847351,,,SUPPORTED,partial_affine_ransac_sparse_flow,-29.11144570367565,-1.4805387766189753,309.0,0.36745214990411007,1.0015916964189442,0.906158357771261,-1.5274505615234375,5.47650146484375,26.717910766601562,6.529815673828125,153.50676727294922,38.76785659790039,-13.733780962941129,4.935686007504589,path_segment_001,SUPPORTED,,-1.5274505615234375,5.47650146484375,26.627491043238365,6.132904351847287,153.9636878200514,36.68958491622186,-12.970300629843049,4.9034493668600945,path_segment_001,SUPPORTED,,-1.5274505615234375,5.47650146484375,26.717910766601562,6.529815673828125,153.50676727294922,38.76785659790039,-13.733780962941129,4.935686007504589,path_segment_001,SUPPORTED,,SUPPORTED,
14,11,466.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,625.2109451293945,453.6082763671875,631.1913070678711,452.75767517089844,SUPPORTED,625.1785714285714,414.7053609575544,472.32142857142856,115.33036095755442,305.7142857142857,598.7499999999999,SUPPORTED,translation_median_sparse_flow,-14.5654296875,-0.5107421875,343.0,0.4878394901752472,,,SUPPORTED,partial_affine_ransac_sparse_flow,-14.870750513488689,-0.714145714198144,300.0,0.3761823874570088,1.0004462199674684,0.8746355685131195,-16.76874542236328,0.0,-2.2033157348632812,0.5107421875,151.30345153808594,39.27859878540039,-166.94898764655696,0.4058724239618441,path_segment_001,SUPPORTED,,-16.76874542236328,0.0,-2.107092013785973,0.3975955095176005,151.85659580626543,37.08718042573946,-169.31427419286254,0.38479369478215614,path_segment_001,SUPPORTED,,-16.76874542236328,0.0,-2.2033157348632812,0.5107421875,151.30345153808594,39.27859878540039,-166.94898764655696,0.4058724239618441,path_segment_001,SUPPORTED,,SUPPORTED,
