frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
3,3,0,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,5,1,True,4,0.6635066257655948,0.11368683706418353,True,True,False,False,662.0784301757812,391.48018646240234,707.2970581054688,237.44501876831055,,,160.53522105254814,,493.3422546386719,201.90187454223633,241.87530517578125,419.0867118835449,614.2799072265625,411.4452304840088,483.8773970038678,,595.7142857142858,407.85714285714283,18.90916907098725,0.025159292560096448,1.0,True
4,4,1,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,5,1,True,4,0.6975126425233661,0.09650603164845327,True,True,False,False,652.5959014892578,385.58736419677734,697.0182952880859,240.1723747253418,11.164394499702421,10.63444571063134,152.0489007977232,0.050585790395640956,552.5068817138672,196.81268310546875,194.76100158691406,428.6162414550781,649.8873825073242,411.1208038330078,470.7905374773539,0.07800897362658955,595.5357142857142,409.8214285714286,54.367197964787316,0.07442478160944296,1.0,True
5,5,2,166.66666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,0,True,3,0.7040701415239783,0.09263766594057565,True,True,False,False,650.1569366455078,388.07274627685547,695.1788940429688,242.7784652709961,3.482193790273874,3.1898440201187537,152.10984432609357,0.000363276008863912,536.8488616943359,206.06387329101562,259.5122528076172,410.40484619140625,666.6049880981445,411.26629638671875,485.57053775396673,0.08810155327512752,595.3571428571429,411.7857142857143,71.24973857102577,0.1002448133359121,1.0,True
6,6,3,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,4,0,True,3,0.6488528391516241,0.10688256574165092,True,True,False,False,665.6405181884766,429.6199951171875,709.7301025390625,252.77713775634766,44.3386421036801,17.655342538906385,182.25610455552314,0.17969772002315634,480.45914459228516,223.0874786376953,256.8641586303711,380.07090759277344,608.8912239074707,413.12293243408203,458.7298669012984,0.15999355539988153,595.1785714285714,413.75000000000006,13.72698261597531,0.019823253919110204,1.0,True
7,7,4,233.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,5,1,True,4,0.6074595351160352,0.10623383257689704,True,True,False,False,660.9752655029297,417.97776794433594,693.2823028564453,251.69103240966797,12.542170313158948,16.483620331213295,169.3960539013175,0.07665699706549581,604.1807556152344,209.34927368164062,180.39614868164062,420.5010681152344,694.3788299560547,419.5998077392578,457.56302161038053,0.006955404643956615,595.0,415.7142857142857,99.45475918648124,0.1471767392386979,1.0,True
8,8,5,266.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.6360801883236479,0.1038367914586409,True,True,False,False,661.7659530639648,406.34251403808594,699.0398864746094,250.32559967041016,11.662089018785682,5.9172777259131815,160.40767961887562,0.0535784655535079,521.9828643798828,215.7864532470703,288.12644958496094,416.59739685058594,666.0460891723633,424.0851516723633,506.5276320331593,0.29187132293795354,620.3571428571429,410.7142857142858,47.60525046530022,0.0683821221913963,1.0,True
9,9,6,300.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,648.9059371948242,409.0262451171875,697.1634368896484,261.5463523864746,13.137062862736265,11.376570421703013,155.17443422374234,0.031194657601644634,599.5558776855469,215.94386291503906,236.98202514648438,457.02684020996094,718.0468902587891,444.45728302001953,514.8145422526738,0.04939713454173729,645.7142857142857,405.7142857142858,82.05501520579718,0.11435107237513965,1.0,True
10,10,7,333.3333333333333,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.07943785183767021,0.17915971640811443,True,True,False,False,648.831657409668,399.13172912597656,706.0677795410156,262.0049133300781,9.894794802663258,8.916142450183004,148.59252096574986,0.03923388164402554,614.0292816162109,224.0140609741211,191.27894592285156,443.9633560180664,709.6687545776367,445.9957389831543,483.41606990270975,0.18716198462290745,642.1428571428571,408.05357251848494,77.45550219580953,0.11043875972976473,1.0,True
11,11,8,366.66666666666663,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.6506869930763121,0.10058815262880214,True,True,False,False,650.8138275146484,419.7751770019531,722.4151153564453,268.31060791015625,20.738392862833887,17.521334777911665,167.5358472410235,0.11291856818771437,552.604736328125,227.11431121826172,243.018798828125,422.21875762939453,674.1141357421875,438.223690032959,487.16200167703363,0.022328985223552377,638.5714285714286,410.39285932268416,45.142432046249965,0.06565839719109666,1.0,True
12,12,9,400.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,6.0,31.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.026668546932864762,0.20675577941539272,True,True,False,False,669.9540023803711,447.2811737060547,727.8591384887695,282.7274856567383,33.51009025019908,15.410507838003698,174.44460736395345,0.04118217095019432,550.3442993164062,238.20148468017578,226.31024169921875,364.3955612182617,663.4994201660156,420.39926528930664,428.9527369460775,0.34697743855358043,635.0,412.7321461268833,29.512737352707507,0.04363897012790637,1.0,True
