source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
40,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,-9.918212890625e-05,6.4849853515625e-05,142,SUPPORTED,0.0009569512330926955,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,-4.57763671875e-05,5.340576171875e-05,151,SUPPORTED,0.001978132873773575,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,-3.0517578125e-05,6.103515625e-05,141,SUPPORTED,0.0017512410413473845,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,1.52587890625e-05,-6.103515625e-05,139,SUPPORTED,0.0015125455101951957,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,-6.103515625e-05,-0.000186920166015625,130,SUPPORTED,0.0018223242368549109,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,0.0,-9.1552734375e-05,125,SUPPORTED,0.0004536764172371477,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,-3.0517578125e-05,-6.103515625e-05,136,SUPPORTED,0.0015195722226053476,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,-3.0517578125e-05,-0.0001678466796875,135,SUPPORTED,0.0013278654078021646,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,-0.00070953369140625,-0.000240325927734375,150,SUPPORTED,0.013897535391151905,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,-0.0003662109375,-0.00012969970703125,145,SUPPORTED,0.0014685147907584906,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,-9.1552734375e-05,3.814697265625e-05,152,SUPPORTED,0.0006742188706994057,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
