feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,63,89,0.7078651685393258,26,Frame status is TARGET_IDENTITY_UNCERTAIN.
contralateral_hka_angle_2d_deg,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_absolute_difference_deg,62,89,0.6966292134831461,27,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_difference_deg,62,89,0.6966292134831461,27,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_absolute_difference_deg,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_difference_deg,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_elbow_angle_2d_deg,67,89,0.7528089887640449,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_hka_angle_2d_deg,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_absolute_difference,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_difference,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_absolute_difference,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_difference,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
left_elbow_angle_2d_deg,63,89,0.7078651685393258,26,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_hka_angle_2d_deg,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_distance_normalized,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_x_offset_normalized,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_2d,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_normalized,64,89,0.7191011235955056,25,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_upper_arm_orientation_2d_deg,67,89,0.7528089887640449,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_distance_normalized,63,89,0.7078651685393258,26,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_x_offset_normalized,63,89,0.7078651685393258,26,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_hip_line_angle_deg,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_line_angle_deg,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_orientation_difference_deg,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_normalized,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_px,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_trunk_axis_angle_deg,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_elbow_angle_2d_deg,67,89,0.7528089887640449,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_hka_angle_2d_deg,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_distance_normalized,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_x_offset_normalized,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_2d,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_normalized,65,89,0.7303370786516854,24,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_upper_arm_orientation_2d_deg,68,89,0.7640449438202247,21,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_distance_normalized,67,89,0.7528089887640449,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_x_offset_normalized,67,89,0.7528089887640449,22,Frame status is TARGET_IDENTITY_UNCERTAIN.
