frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
3,3,0,120.0,17,1.0,0.9595139026641846,4,6,0.986269623041153,0.9577884376049042,False,,,,,False,,,,87.31147956848145,196.01982879638672,87.59478569030762,128.63193321228027,67.38849110651682,3,0,True,2,0.2779738076287736,0.21922558249523044,70.93955421447754,99.6515007019043,71.02229881286621,184.06666946411133,106.45070362091064,191.68483543395996,109.5,202.0,10.756431956369893,0.036864777199523226,1.0,197.29345081952027,,True,,,71.78088767642086,,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,1,160.0,17,1.0,0.9670530557632446,4,6,0.9909635484218597,0.9824322462081909,False,,,,,False,,,,115.73308563232422,196.4061393737793,115.23042678833008,118.79667854309082,77.61108861717902,4,0,True,3,0.42796014298703766,0.19943980056942237,89.57429313659668,92.70896911621094,69.49979591369629,204.01783752441406,124.32419109344482,194.71788787841797,151.0,207.0,29.36748302095637,0.09521807373715648,1.0,215.53073947858027,0.2540688649779783,True,28.42423133719661,29.33361371032422,71.78088767642086,0.14241391882396845,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
5,5,2,200.0,17,1.0,0.9558531045913696,4,6,0.9872618019580841,0.9902427494525909,False,,,,,False,,,,135.28701877593994,194.3489112854004,131.77902507781982,117.20414543151855,77.22448393117499,2,0,True,1,0.46917855567882744,0.2136945236805253,117.87394523620605,90.58837413787842,65.82339668273926,211.25490283966064,150.78564357757568,196.21582555770874,172.0,205.75,23.25831895717521,0.07702306351484654,1.0,221.27212550307306,0.07998488470042643,True,19.66185364589536,16.625049385140393,71.78088767642086,0.005385900042735597,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
6,6,3,240.0,17,1.0,0.9688876271247864,4,6,0.9912040531635284,0.98927903175354,False,,,,,False,,,,160.59630489349365,206.31136322021484,158.24013137817383,116.49641227722168,89.84585113696994,2,0,True,1,0.03580583936194196,0.368509678095814,148.54710388183594,85.70566082000732,67.91134643554688,227.22187519073486,182.50277709960938,199.31659841537476,193.0,204.5,11.707234541426974,0.03948437780712527,1.0,237.15339242752307,0.22124645485077804,True,27.99393184375755,26.470569182704125,71.78088767642086,0.17583186297013317,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
7,7,4,280.0,17,1.0,0.9792822599411011,4,6,0.9901454746723175,0.9755052626132965,False,,,,,False,,,,187.22488594055176,199.8179054260254,177.72726821899414,116.98971939086914,83.37093704798632,2,0,True,1,0.030133522212992397,0.38931606156239884,169.21934127807617,90.00784111022949,61.16575241088867,222.7667407989502,199.8022174835205,201.3912115097046,207.5,208.5,10.478107151140126,0.035474196048075675,1.0,231.0114068053281,0.08556575184584311,True,27.408873065207587,19.493379752142303,71.78088767642086,0.09020387318378836,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
8,8,5,320.0,17,1.0,0.8621324300765991,4,6,0.939073234796524,0.8724494278430939,False,,,,,False,,,,201.0929937362671,197.92416381835938,202.94670009613037,119.22010231018066,78.72588853199292,5,3,True,4,0.6963318310461454,0.12128542469919934,194.63429069519043,94.71367073059082,79.32427406311035,190.4248332977295,234.2964277267456,189.92608737945557,232.5,203.5,13.69226995087359,0.04475912749129291,1.0,206.28610615382584,0.34445520878706304,True,13.996809318919288,25.317866264207016,71.78088767642086,0.0647114944709612,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,6,360.0,17,1.0,0.8584899306297302,4,6,0.9228781759738922,0.4670127034187317,False,,,,,False,,,,223.25095558166504,190.01687240600586,222.49164199829102,121.39310455322266,68.62796858009551,4,3,True,3,0.5473671944981529,0.1359590230414459,213.57306480407715,96.58049774169922,76.11098670959473,170.8180923461914,251.6285581588745,181.98954391479492,259.0,202.5,21.79488388682586,0.07012026013412617,1.0,187.00722705473197,0.2685795581966137,True,23.526591989108642,19.66536785079548,71.78088767642086,0.1406770002262657,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
10,10,7,400.0,17,1.0,0.8928073644638062,4,6,0.9802294671535492,0.8105316460132599,False,,,,,False,,,,255.25493621826172,191.2394256591797,248.45637893676758,127.30379867553711,64.29607125556927,1,0,False,0,0.0,,230.0602741241455,102.52401733398438,81.19972801208496,161.05657958984375,270.660138130188,183.05230712890625,279.0,195.0,14.570540859883298,0.047839165873906256,1.0,180.36800619404832,0.09249287763913448,True,32.02732291410728,26.629004286526598,71.78088767642086,0.060348895991003654,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
11,11,8,440.0,17,1.0,0.8168461322784424,4,6,0.9581300020217896,0.925253689289093,False,,,,,False,,,,277.02277183532715,206.10008239746094,264.56647968292236,123.3812084197998,83.65148729292412,3,0,True,2,0.5873836974959721,0.15843555938735213,237.19326972961426,97.68878173828125,99.87028312683105,195.6143798828125,287.1284112930298,195.4959716796875,299.0,199.0,12.377917146960339,0.04064016821758852,1.0,219.63392057869993,0.5470246420141441,True,26.356740810362083,16.580773816853732,71.78088767642086,0.2696458160925315,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
12,12,9,480.0,17,1.0,0.9401711821556091,4,6,0.9841523766517639,0.9341163635253906,False,,,,,False,,,,300.75037574768066,198.8353271484375,284.3187837600708,124.07766532897949,76.5421793259098,2,0,True,1,0.04864402242671668,0.2968292293021851,249.92741680145264,96.8929672241211,96.41492176055908,207.2291030883789,298.1348776817322,200.50751876831055,324.5,198.0,26.484095703471805,0.08186434349586234,1.0,228.5601415490214,0.12435372784131277,True,24.81483137661321,19.764578634073608,71.78088767642086,0.09904179506754188,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
