source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
3,0,120.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,87.31147956848145,196.01982879638672,109.5,202.0,39.5,74.0,140.0,256.0
4,1,160.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,115.73308563232422,196.4061393737793,151.0,207.0,66.5,78.0,169.0,258.0
5,2,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,135.28701877593994,194.3489112854004,172.0,205.75,96.5,75.0,151.0,261.5
6,3,240.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,160.59630489349365,206.31136322021484,193.0,204.5,126.5,72.0,133.0,265.0
7,4,280.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,187.22488594055176,199.8179054260254,207.5,208.5,146.5,74.0,122.0,269.0
8,5,320.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,201.0929937362671,197.92416381835935,232.5,203.5,165.5,66.0,134.0,275.0
9,6,360.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,223.25095558166504,190.01687240600583,259.0,202.5,190.5,63.0,137.0,279.0
10,7,400.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,255.25493621826172,191.2394256591797,279.0,195.0,212.5,58.0,133.0,274.0
11,8,440.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,277.02277183532715,206.10008239746097,299.0,199.0,232.5,62.0,133.0,274.0
12,9,480.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,300.75037574768066,198.8353271484375,324.5,198.0,238.5,61.0,172.0,274.0
13,10,520.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,311.95969581604004,198.23184967041016,340.0,198.0,248.5,64.0,183.0,268.0
14,11,560.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,322.6334991455078,185.8083953857422,358.5,196.0,262.5,61.0,192.0,270.0
15,12,600.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,408.8978080749512,156.67720413208008,373.75,197.75,281.0,62.0,185.5,271.5
