source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,14.19140625,4.1646728515625,343,UNSTABLE_TRANSFORM,14.785820007324219,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,12.58660888671875,9.2537841796875,342,UNSTABLE_TRANSFORM,12.496488571166992,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,13.34033203125,9.169158935546875,345,UNSTABLE_TRANSFORM,15.594328880310059,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,11.166633605957031,14.6964111328125,344,UNSTABLE_TRANSFORM,18.376726150512695,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,10.939041137695312,12.514007568359375,346,UNSTABLE_TRANSFORM,16.534757614135742,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,8.0897216796875,5.765869140625,337,UNSTABLE_TRANSFORM,9.941995620727539,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,6.96710205078125,-2.220458984375,340,UNSTABLE_TRANSFORM,14.8939208984375,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,4.3668212890625,-2.145782470703125,335,UNSTABLE_TRANSFORM,11.70718765258789,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,6.46685791015625,-0.016393661499023438,342,SUPPORTED,7.971983909606934,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,8.68902587890625,1.0889892578125,347,UNSTABLE_TRANSFORM,8.756546974182129,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,13.78179931640625,3.85272216796875,339,UNSTABLE_TRANSFORM,14.303884506225586,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,19.47210693359375,4.273645401000977,338,UNSTABLE_TRANSFORM,18.98904800415039,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,22.69903564453125,8.138427734375,349,UNSTABLE_TRANSFORM,20.256406784057617,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,15.85595703125,0.00592041015625,343,UNSTABLE_TRANSFORM,15.855957984924316,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,10.4498291015625,-0.0168914794921875,338,UNSTABLE_TRANSFORM,17.717947006225586,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,9.1236572265625,-1.0555801391601562,325,UNSTABLE_TRANSFORM,12.852702140808105,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,12.282470703125,0.1712493896484375,343,UNSTABLE_TRANSFORM,12.08055305480957,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
