frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,887.8109588623047,481.71510314941406,899.27099609375,302.45877838134766,,,179.6222770780412,,777.7958374023438,247.4982452392578,177.98623657226562,449.22874450683594,866.7889556884766,472.1126174926758,483.20344090284226,,838.9285714285713,477.85714285714283,28.446451145487032,0.03587840685016383,1.0,True
1,1,1,40.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,883.4140014648438,500.7232208251953,902.2980194091797,333.5127944946289,19.510042848016354,31.201198485251915,168.27338710375975,0.0628714976747722,798.1378936767578,275.2358703613281,153.63966369628906,437.8699645996094,874.9577255249023,494.1708526611328,464.04229565759624,0.1061504606584866,842.6785714285713,488.57142857142856,32.76121699984669,0.039050112612979616,1.0,True
2,2,2,80.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,895.7771911621094,521.8497924804688,904.0306701660156,346.0462112426758,24.478163521718248,12.652612932726033,175.99721330663505,0.042789076487206375,797.9860382080078,288.9534454345703,188.4330596923828,462.63523864746094,892.2025680541992,520.2710647583008,499.53816873530917,0.1966429057579028,846.4285714285713,499.2857142857142,50.355175518910485,0.05689249991132578,1.0,True
3,3,3,120.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,894.852783203125,537.5787200927734,894.7884674072266,357.67967987060547,15.75606847877206,14.857856647295813,179.89905171895379,0.02161571970680473,780.7605743408203,288.29457092285156,226.29563903808594,535.2574310302734,893.9083938598633,555.9232864379883,581.1284141399245,0.45200023401981626,859.8214285714286,521.7857142857142,48.24204633954359,0.05059471067340781,1.0,True
4,4,4,160.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,886.3134613037109,539.2460174560547,894.7854614257812,360.08287811279297,8.70056888941276,2.4032001221657633,179.36333316874266,0.0029678169107515587,774.6356811523438,280.79893493652344,252.16610717773438,542.8933868408203,900.7187347412109,552.2456283569336,598.5991773170668,0.09678594549399913,873.2142857142858,544.2857142857142,28.63310930192389,0.028010178659499483,1.0,True
5,5,5,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,880.8306121826172,529.2066345214844,896.3101119995117,361.7539596557617,11.439005384718556,2.26209480244031,168.1666234253,0.0620284373357425,773.4941558837891,287.7144470214844,270.7118682861328,501.8567810058594,908.8500900268555,538.6428375244141,570.2149982879542,0.15724496843949332,875.9873949579833,544.7899159663865,33.432668163959626,0.032640345692781694,1.0,True
6,6,6,240.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,876.4810943603516,532.4977722167969,889.9056854248047,371.65489196777344,5.454346213407541,11.791740346439594,161.40214302186166,0.037474415111927506,798.3223876953125,294.43617248535156,242.33486938476562,484.45237731933594,919.4898223876953,536.6623611450195,541.6828359936169,0.15806477808929761,878.7605042016806,545.2941176470588,41.63393543983227,0.040566551037649744,1.0,True
7,7,7,280.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,879.357307434082,551.4038391113281,900.4785842895508,381.9755096435547,19.123597126743405,14.77502418318825,170.73976444356992,0.05172930963585305,762.0530395507812,298.30348205566406,265.6952209472656,517.8548431396484,894.9006500244141,557.2309036254883,582.0374463876068,0.22355973133070312,881.533613445378,545.7983193277311,17.58924815421661,0.01710430288562083,1.0,True
8,8,8,320.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,872.1683349609375,563.3546752929688,891.4712982177734,382.4471893310547,13.946462299093648,9.019627714403418,181.93439165686868,0.06201690036698201,851.9705810546875,304.9521789550781,49.531341552734375,531.0823059082031,876.7362518310547,570.4933319091797,533.3870728137193,0.269517270495974,884.3067226890756,546.3025210084033,25.347728913045913,0.024600006174613356,1.0,True
9,9,9,360.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,879.0026092529297,566.2575836181641,889.2417755126953,378.07098388671875,7.425239514162056,4.91140973484135,188.46494858243094,0.03617850692807075,762.3459930419922,306.8280029296875,198.6763458251953,559.1687622070312,861.6841659545898,586.4123840332031,593.4155331794037,0.332550515059534,887.0798319327732,546.8067226890756,47.04836087454244,0.04557002901788483,1.0,True
