source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-11.198318481445312,0.2608470916748047,343,SUPPORTED,1.0405794382095337,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-22.907936096191406,0.46773338317871094,338,SUPPORTED,3.5240979194641113,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-21.7601318359375,-0.01409912109375,342,SUPPORTED,0.9742728471755981,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,-10.523788452148438,-0.24857807159423828,344,SUPPORTED,0.6901521682739258,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-21.534133911132812,-0.015630722045898438,328,SUPPORTED,0.6156827211380005,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-22.156494140625,-0.04287242889404297,329,SUPPORTED,0.5381142497062683,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-11.855987548828125,-0.03227996826171875,348,SUPPORTED,0.3270665109157562,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-50.69087219238281,-0.6306800842285156,322,SUPPORTED,1.215956211090088,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-13.040496826171875,-0.24658632278442383,316,SUPPORTED,0.30178216099739075,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-25.768020629882812,-0.3802623748779297,304,SUPPORTED,0.6335263252258301,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-25.5911865234375,-0.41745758056640625,317,SUPPORTED,0.4232211709022522,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-12.83056640625,-0.0513458251953125,317,SUPPORTED,0.43145573139190674,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-25.81591796875,-0.5668411254882812,320,SUPPORTED,0.4889453649520874,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-25.620513916015625,-0.7502288818359375,337,SUPPORTED,0.39792945981025696,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,-13.058280944824219,-0.6434783935546875,318,SUPPORTED,0.38859984278678894,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,-27.016098022460938,-0.7824246883392334,304,SUPPORTED,0.6666358709335327,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-26.662887573242188,-0.25615692138671875,280,SUPPORTED,0.5005787014961243,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,-37.24395751953125,0.6311874389648438,306,SUPPORTED,0.8559839725494385,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,-25.176513671875,1.9615631103515625,325,SUPPORTED,0.35875195264816284,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,-12.745819091796875,0.7741832733154297,298,SUPPORTED,0.38798782229423523,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,-25.597259521484375,0.092559814453125,305,SUPPORTED,0.49098560214042664,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,-26.9114990234375,-1.4965934753417969,309,SUPPORTED,0.4753568768501282,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-13.411407470703125,-0.416534423828125,301,SUPPORTED,0.43012115359306335,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,4.589580535888672,-4.328056335449219,256,UNSTABLE_TRANSFORM,58.828514099121094,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,-6.775238037109375,-1.2513999938964844,279,SUPPORTED,0.28829634189605713,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,-12.81866455078125,-2.471099853515625,271,SUPPORTED,0.39758288860321045,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,-13.478496551513672,-3.2437515258789062,274,SUPPORTED,0.33225613832473755,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,-7.3755035400390625,-1.5394744873046875,290,SUPPORTED,0.2740350365638733,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,-15.832351684570312,-3.3411598205566406,264,SUPPORTED,0.3514750301837921,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,-17.462005615234375,-2.652374267578125,260,SUPPORTED,0.38024282455444336,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
52,-9.631439208984375,-0.9993171691894531,260,SUPPORTED,0.3406575918197632,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
53,-20.31964111328125,-2.0233421325683594,261,SUPPORTED,0.409408837556839,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
54,-21.01290512084961,-1.7588214874267578,270,SUPPORTED,0.4420701861381531,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
55,-10.277542114257812,-0.7293472290039062,270,SUPPORTED,0.3038902282714844,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
56,-19.4466552734375,-1.4275665283203125,267,SUPPORTED,0.41941919922828674,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
57,-16.6263427734375,-1.2845306396484375,303,SUPPORTED,0.477549284696579,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
58,-7.401435852050781,-1.006622314453125,315,SUPPORTED,0.29275935888290405,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
59,-13.8248291015625,-2.459228515625,315,SUPPORTED,0.4309938848018646,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
