frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.960707426071167,4,6,0.9856506288051605,0.9983087778091431,False,,,,,True,,0.0,2.0,223.18025970458984,179.23725128173828,238.05269241333008,132.1883668899536,49.34355861900847,1,0,False,0,0.0,,161.62356185913086,119.6031494140625,106.80450820922852,121.48323059082031,215.02581596374512,180.34476470947266,219.5,190.0,10.641517340385377,0.042654883983696865,1.0,161.7571583844053,,True,,,48.25511742137741,,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
1,1,1,33.333333333333336,17,1.0,0.9311341643333435,4,6,0.9732455015182495,0.9915751218795776,False,,,,,True,,0.0,2.0,226.20111083984375,185.68841934204102,240.0948600769043,134.24018669128418,53.291246098667294,2,0,True,1,0.1820811903041815,0.2599123924014475,165.2006378173828,119.90032768249512,104.25680541992188,116.46115303039551,217.32904052734375,178.13090419769287,222.27777777777777,190.33333333333334,13.167736220936412,0.05239019235016873,1.0,156.3095698974847,0.11289141500476967,True,7.123419889606042,2.8948943440616945,48.25511742137741,0.08180868041800612,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
2,2,2,66.66666666666667,17,1.0,0.9390804767608643,4,6,0.992920458316803,0.9919540286064148,False,,,,,True,,0.0,2.0,229.08588027954102,186.2688865661621,239.00448989868164,137.9117889404297,49.3638299523196,1,0,False,0,0.0,,170.37607765197754,122.57738876342773,101.17540550231934,121.51947402954102,220.9637804031372,183.33712577819824,225.05555555555554,190.66666666666669,8.39433103550717,0.033152868624060555,1.0,158.12477746063405,0.0376168924696307,True,2.942590171683805,3.8300874926674533,48.25511742137741,0.08138859371229751,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,ACCEPTED,False
3,3,3,100.0,17,1.0,0.9742038249969482,4,6,0.9983637928962708,0.9952489137649536,False,,,,,False,,,,233.9641876220703,189.5488739013672,239.80735778808594,138.62009620666504,51.26288165003413,1,0,False,0,0.0,,184.67094039916992,121.13346290588379,78.27009201049805,129.68951988220215,223.80598640441895,185.97822284698486,227.83333333333331,191.0,6.43721749363658,0.025237802498438246,1.0,151.4779814712618,0.13774282075267838,True,5.878452130219396,1.070652152306391,48.25511742137741,0.039354410458303804,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.948723554611206,4,6,0.9967534840106964,0.9877174198627472,False,,,,,False,,,,235.75708770751953,192.70563888549805,243.55268096923828,140.59455108642578,52.690955067305175,1,0,False,0,0.0,,199.4154815673828,124.04348754882812,59.54821014404297,120.1689453125,229.1895866394043,184.12796020507812,230.61111111111111,191.33333333333331,7.3442585562494545,0.028585220607765898,1.0,134.11399907868574,0.3598371182262151,True,3.6303795781486157,4.233901014842945,48.25511742137741,0.02959423774271857,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9203652143478394,4,6,0.9846558570861816,0.9535963833332062,False,,,,,False,,,,235.2280158996582,189.19515991210938,242.5782356262207,142.67855834960938,47.093735793129916,1,0,False,0,0.0,,232.46649932861328,122.28137969970703,30.577781677246094,146.80135345458984,247.75539016723633,195.68205642700195,233.38888888888889,191.66666666666669,14.917094687242688,0.05764208661769838,1.0,149.95211938615853,0.32821638727287344,True,3.5501238852295898,2.3005716679839856,48.25511742137741,0.11599224234185876,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.7818321585655212,4,6,0.974079817533493,0.9461489915847778,False,,,,,False,,,,239.80078125,184.10385513305664,246.05329513549805,141.40816688537598,43.151080227863154,1,0,False,0,0.0,,232.56629943847656,126.19160652160645,23.30907440185547,118.58843803405762,244.2208366394043,185.48582553863525,236.16666666666669,192.0,10.358770335461871,0.03974173779548107,1.0,120.85748046698953,0.602933750323439,True,6.843359357982872,3.699990954774886,48.25511742137741,0.08170440309653319,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9425456523895264,4,6,0.9880313873291016,0.9802811443805695,False,,,,,False,,,,240.43038177490234,191.03746032714844,248.41342544555664,139.66775131225586,51.98630579799174,1,0,False,0,0.0,,239.24259185791016,124.1458854675293,24.420745849609375,126.4262580871582,251.45296478271484,187.3590145111084,238.94444444444446,192.33333333333331,13.461312298511798,0.05127791110485619,1.0,128.76323839424026,0.163832529060398,True,6.9621317000250755,2.9324497348831575,48.25511742137741,0.18309406426217725,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9149598479270935,4,6,0.9925822615623474,0.9900923669338226,False,,,,,False,,,,244.04342651367188,192.94878005981445,252.54357528686523,141.5887680053711,52.05865314622525,2,0,True,1,0.10041174571114529,0.27188860241065094,191.26055145263672,120.36706161499023,74.94058990478516,128.38489151000977,228.7308464050293,184.55950736999512,241.72222222222223,192.66666666666666,15.313454133054146,0.05792168279538367,1.0,148.65655849411476,0.4122530658491693,True,4.08744852014416,4.5550458666064815,48.25511742137741,0.001499267893221542,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9853864908218384,4,6,0.9977153539657593,0.9972888231277466,False,,,,,True,,9.0,10.0,244.84882354736328,187.30022430419922,251.64363861083984,138.1725616455078,49.595329921808464,2,0,True,1,0.0,0.37076010251973696,180.98504829406738,120.16493225097656,93.57587242126465,127.3704833984375,227.7729845046997,183.8501739501953,244.5,193.0,19.066000212989103,0.07160992712556585,1.0,158.04962493012263,0.19465430689941013,True,5.705685454542066,3.5327541542012173,48.25511742137741,0.051047916906021465,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,2,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
