source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-0.017730712890625,-0.7411651611328125,350,SUPPORTED,0.21398897469043732,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,16.145797729492188,0.05450439453125,348,SUPPORTED,0.8259285688400269,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.00018310546875,-0.0001239776611328125,350,SUPPORTED,0.0925208330154419,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,0.00330352783203125,0.9497222900390625,348,SUPPORTED,0.1273549646139145,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,13.8592529296875,0.25262451171875,347,SUPPORTED,1.6515834331512451,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,0.09014892578125,-6.8497161865234375,336,UNSTABLE_TRANSFORM,56.10383605957031,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,4.879180908203125,-0.03860282897949219,344,SUPPORTED,1.7154908180236816,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,0.00563812255859375,-0.83642578125,350,SUPPORTED,0.17179708182811737,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,4.004241943359375,0.0882720947265625,350,SUPPORTED,1.414023518562317,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,0.012237548828125,0.7469329833984375,348,SUPPORTED,0.1403336375951767,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.00018310546875,0.0004119873046875,350,SUPPORTED,0.018659450113773346,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,3.30517578125,0.1191558837890625,342,SUPPORTED,1.6541459560394287,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
