frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1483.423397064209,445.88555908203125,1459.0219955444336,356.0569877624512,,,93.08383652088143,,1423.0222816467285,314.9101104736328,150.00187301635742,240.84202575683594,1498.0232181549072,435.3311233520508,283.73481153899996,,1498.9285714285716,435.00000640692406,0.9640036210952614,0.002149946851947004,1.0,True
1,1,1,16.666666666666668,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1481.0709075927734,442.3390884399414,1457.7189025878906,351.9611167907715,4.255779685136467,4.298163592749839,93.34609738583737,0.002779483208218808,1423.0618629455566,315.29840087890625,141.1291160583496,240.5648193359375,1493.6264209747314,435.580810546875,278.9065429521928,0.051170774046122885,1492.6447876447876,435.57915699460466,0.9816347226396304,0.002195644697076496,1.0,True
2,2,2,33.333333333333336,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1480.0860061645508,439.7503128051758,1458.7917289733887,353.13957595825195,2.7697996516844303,1.5936506715210719,89.19005537760998,0.04404640767298983,1421.2013816833496,304.8187942504883,154.4763069152832,247.49712371826172,1498.4395351409912,428.56735610961914,291.74947411605956,0.13611146870988763,1486.3610038610038,436.1583075822854,14.26581445771699,0.032001750621862016,1.0,True
3,3,3,50.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1481.9364051818848,442.2449951171875,1459.8931503295898,354.3213081359863,3.106029034187335,1.6154318134136325,90.64480027476186,0.015417622505573032,1424.5240097045898,312.7212142944336,149.55986785888672,238.9820327758789,1499.3039436340332,432.21223068237305,281.92297895641445,0.10414279041009848,1480.0772200772199,436.737458169966,19.75207792979229,0.044438243263262955,1.0,True
4,4,4,66.66666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1479.4716453552246,442.94591522216797,1459.9030799865723,356.19244384765625,2.5624851212609285,1.8711620586080442,88.9330846542244,0.018141039934910286,1422.676586151123,308.49536514282227,144.88100051879883,238.30212020874023,1495.1170864105225,427.6464252471924,278.88779967454485,0.03216732259808443,1473.7934362934363,437.3166087576467,23.413895520433357,0.052830728152593986,1.0,True
5,5,5,83.33333333333333,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,1479.6767616271973,437.7873992919922,1460.3655967712402,352.69532012939453,5.1625923029913245,3.5275765160983066,87.25584808084635,0.01777562539762863,1418.1330947875977,309.1135063171387,153.14379119873047,229.21529006958008,1494.704990386963,423.7211513519287,275.66768034066325,0.03412734728259397,1467.5096525096526,437.8957593453273,30.667668871754614,0.06940078886234881,1.0,True
6,6,6,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.1427778829379663,0.23733408006593318,True,True,False,False,1473.303581237793,439.48907470703125,1446.9805870056152,346.56397247314453,6.596448096819672,14.722496748434995,96.58144050761285,0.0988341419572654,1398.837760925293,314.2078857421875,175.49353790283203,228.16632080078125,1486.584529876709,428.2910461425781,287.8503982860155,0.12911442187633312,1461.2258687258686,438.4749099330079,27.327143595062527,0.0620226736469241,1.0,True
7,7,7,116.66666666666667,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,1469.5859184265137,437.5559616088867,1446.2988929748535,345.71294021606445,4.1902199260405215,1.0903956411170082,94.74928038222072,0.019417530343885513,1395.181495666504,309.94201278686523,172.8185043334961,234.48260879516602,1481.590747833252,427.18331718444824,291.28736544425243,0.03642553571660117,1454.9420849420849,439.0540605206885,29.173031745808622,0.06640675885246103,0.9984472740961691,True
8,8,8,133.33333333333334,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,1452.3714981079102,435.40533447265625,1434.826602935791,343.16932678222656,17.34824094784945,11.750889670198305,93.88985281312169,0.009108352850862523,1398.2335472106934,316.43560791015625,143.53793716430664,223.89913940429688,1470.0025157928467,428.3851776123047,265.9585757808332,0.26843862337527524,1448.6583011583011,439.63321110836915,24.12661923880212,0.055081216637874617,1.0,True
9,9,9,150.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.17147606139606295,0.2828637225571177,True,True,False,False,1456.6895065307617,439.03614807128906,1436.471019744873,348.46906661987305,5.641631335689526,5.548995313453482,92.79646248935666,0.0115879280938255,1390.1321449279785,314.36553955078125,147.2165184020996,235.38128662109375,1463.7404041290283,432.0561828613281,277.62754435004683,0.12366962261339287,1442.3745173745174,440.2123616960498,22.869726058493747,0.052365614015843824,1.0,True
