frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
25,25,0,416.6666666666667,0,0.0,,0,0,,,False,,,,,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,
26,26,1,433.33333333333337,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
27,27,2,450.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
28,28,3,466.6666666666667,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
29,29,4,483.3333333333333,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
30,30,5,500.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
31,31,6,516.6666666666667,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
32,32,7,533.3333333333334,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
33,33,8,550.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
34,34,9,566.6666666666666,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
35,35,10,583.3333333333334,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
36,36,11,600.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
37,37,12,616.6666666666667,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
38,38,13,633.3333333333333,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
39,39,14,650.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,26.0,39.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
