frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
25,25,0,416.6666666666667,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
26,26,1,433.33333333333337,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
27,27,2,450.0,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
28,28,3,466.6666666666667,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
29,29,4,483.3333333333333,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
30,30,5,500.0,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
31,31,6,516.6666666666667,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
32,32,7,533.3333333333334,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
33,33,8,550.0,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
34,34,9,566.6666666666666,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,26.0,39.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
