source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
2,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,6.103515625e-05,-6.103515625e-05,350,SUPPORTED,0.07629088312387466,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,2.2032470703125,-1.1998291015625,349,SUPPORTED,0.18840062618255615,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,3.000396728515625,0.42234039306640625,350,SUPPORTED,0.13138702511787415,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,4.04052734375,-0.6175918579101562,350,SUPPORTED,0.212721586227417,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.1407470703125,-0.0249786376953125,350,SUPPORTED,0.14285510778427124,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,4.974853515625,0.719757080078125,348,SUPPORTED,0.2379215508699417,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,6.0692138671875,-0.3601531982421875,350,SUPPORTED,0.25874629616737366,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.21685791015625,-0.000812530517578125,350,SUPPORTED,0.2167675793170929,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,7.09747314453125,1.0489501953125,347,SUPPORTED,0.22971227765083313,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,8.3082275390625,-0.0544586181640625,342,SUPPORTED,0.2648228406906128,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,0.1060791015625,0.0,350,SUPPORTED,0.13669466972351074,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,19.214202880859375,1.43878173828125,340,SUPPORTED,0.530922532081604,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.035369873046875,0.007915496826171875,350,SUPPORTED,0.14596188068389893,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,10.7244873046875,1.8428573608398438,337,SUPPORTED,0.2656230628490448,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,0.07165336608886719,-0.007053375244140625,350,SUPPORTED,0.19678857922554016,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,11.04534912109375,0.40948486328125,337,SUPPORTED,0.3340500295162201,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,0.93963623046875,9.000732421875,323,UNSTABLE_TRANSFORM,34.687957763671875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,11.884796142578125,1.018035888671875,336,SUPPORTED,0.3404097557067871,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,0.00020599365234375,0.007419586181640625,350,SUPPORTED,0.09573167562484741,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,11.312835693359375,2.376148223876953,336,SUPPORTED,0.5312380790710449,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,0.06439208984375,0.0060577392578125,350,SUPPORTED,0.14460287988185883,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,21.00146484375,3.593231201171875,325,SUPPORTED,0.6975225806236267,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,0.09796142578125,1.9073486328125e-05,350,SUPPORTED,0.10773018002510071,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,9.358673095703125,1.2316360473632812,344,SUPPORTED,0.43005335330963135,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,8.784912109375,2.479736328125,341,SUPPORTED,0.4847669303417206,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.0,-6.866455078125e-05,350,SUPPORTED,0.03532233461737633,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,8.06689453125,1.146484375,341,SUPPORTED,0.4149818420410156,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,0.0,-1.9073486328125e-05,350,SUPPORTED,0.0007998499786481261,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,7.234100341796875,2.2221450805664062,340,SUPPORTED,0.4743654131889343,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,6.5518798828125,0.5225982666015625,347,SUPPORTED,0.4190758764743805,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,0.000885009765625,0.00873565673828125,350,SUPPORTED,0.0561523512005806,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,5.79986572265625,1.4015235900878906,348,SUPPORTED,0.3114968538284302,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,5.3314208984375,-0.00739288330078125,347,SUPPORTED,0.3516828119754791,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,0.0,0.0,350,SUPPORTED,0.0002200653834734112,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,4.89093017578125,0.6878204345703125,347,SUPPORTED,0.48494330048561096,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,0.0,0.0,350,SUPPORTED,0.0,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,4.441375732421875,-1.07867431640625,347,SUPPORTED,0.8490996956825256,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
