frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.4768626391887665,4,6,0.7484457492828369,0.8398486077785492,False,,,,,False,,,,564.8885765075684,317.88304138183594,569.5572376251221,266.0585079193115,52.03439886497076,1,0,False,0,0.0,,545.645923614502,238.53687477111816,37.77761459350586,155.64398765563965,564.5347309112549,316.358868598938,556.4285714285714,320.7142857142857,9.202145391557481,0.03637177407668396,1.0,160.16303898754038,,True,,,50.35010650602837,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.6986541748046875,4,6,0.8780080676078796,0.9262215495109558,False,,,,,False,,,,583.8170051574707,322.2021064758301,584.7670059204102,263.34799575805664,58.86177749464859,3,1,True,2,0.13696033673112357,0.19954009567786038,567.9858169555664,239.17342376708984,27.21428680419922,151.40386199951172,581.592960357666,314.8753547668457,555.0649350649351,321.8831168831169,27.43801843810916,0.10651758790508944,1.0,153.8302533139317,0.12577502041332228,True,19.414935859811706,15.449398945352575,50.35010650602837,0.13559809707374493,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.739578902721405,4,6,0.918249785900116,0.990570992231369,False,,,,,True,,2.0,13.0,554.3393726348877,300.93502044677734,569.9054851531982,240.34987831115723,62.55288407840199,1,0,False,0,0.0,,530.4350242614746,219.46307277679443,53.52078628540039,175.03106784820557,557.1954174041748,306.9786067008972,553.7012987012986,323.05194805194805,16.44874365102666,0.0627382378102368,1.0,183.0310063259519,0.579954145847219,True,36.3485868680417,27.38207818292195,50.35010650602837,0.07330881382170389,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
3,3,3,100.0,17,1.0,0.7868088483810425,4,6,0.9362207055091858,0.9924010336399078,False,,,,,True,,2.0,13.0,553.5502185821533,300.68236923217773,571.1034412384033,239.38710403442383,63.75911825992318,2,1,True,1,0.06777603807622438,0.2701773426792805,529.0053939819336,221.8377628326416,56.391090393066406,171.94814109802246,557.2009391784668,307.81183338165283,552.3376623376623,324.22077922077926,17.114466546804486,0.06415448056099805,1.0,180.95888566960295,0.04115424574327067,True,0.828611341453728,1.5368907215607084,50.35010650602837,0.023956934060839936,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
4,4,4,133.33333333333334,17,1.0,0.8837356567382812,4,6,0.9693690538406372,0.9967106282711029,False,,,,,True,,2.0,13.0,548.6926536560059,315.5180358886719,567.3325157165527,261.04303550720215,57.575777234852346,1,0,False,0,0.0,,528.3221588134766,230.9758586883545,58.978858947753906,166.99466133117676,557.8115882873535,314.47318935394287,550.9740259740261,325.38961038961037,12.881013415744885,0.0474685759723821,1.0,177.10370610434293,0.07656745601518121,True,15.610667575550702,21.98179354022357,50.35010650602837,0.12280691053415162,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
5,5,5,166.66666666666666,17,1.0,0.8595494627952576,4,6,0.9485009014606476,0.9946093261241913,False,,,,,True,,2.0,13.0,547.1283206939697,313.60047149658203,566.9387893676758,254.29838752746582,62.52353022784301,3,0,True,2,0.6521189924902283,0.08857340130708104,519.4415626525879,230.63737869262695,63.16791915893555,170.56753158569336,551.0255222320557,315.92114448547363,549.6103896103896,326.5584415584416,10.731015299377601,0.038887831290452764,1.0,181.88861658197942,0.09503277767771146,True,2.474710248478321,6.756130313157178,50.35010650602837,0.09826698166762121,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
6,6,6,200.0,17,1.0,0.7784303426742554,4,6,0.9093383848667145,0.9949478209018707,False,,,,,True,,2.0,13.0,545.9010696411133,321.89511489868164,552.711597442627,274.6612777709961,47.72230776837931,3,0,True,2,0.05064417711342779,0.26595924348330235,514.8666305541992,262.522518157959,49.39237976074219,140.97148513793945,539.5628204345703,333.0082607269287,548.2467532467532,327.72727272727275,10.16363730851396,0.036229213606477885,1.0,149.37391606443762,0.6457722291739114,True,8.384942117554052,24.840698241841654,50.35010650602837,0.29396606058204794,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
7,7,7,233.33333333333334,17,1.0,0.8057834506034851,4,6,0.9098686873912811,0.9946304261684418,False,,,,,True,,2.0,13.0,548.1394958496094,310.2977180480957,561.6965637207031,250.4874725341797,61.32747799882491,3,2,True,2,0.6865862732863233,0.07346011427473413,515.3619441986084,235.08860397338867,60.60812568664551,171.09738540649414,545.6660070419312,320.63729667663574,546.8831168831168,328.8961038961039,8.348008927513826,0.02927828917558674,1.0,181.51490349882187,0.6383499393499006,True,11.811442147378228,25.78958081562588,50.35010650602837,0.27021134957910503,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
8,8,8,266.6666666666667,17,1.0,0.762309193611145,4,6,0.9176235198974609,0.9947890341281891,False,,,,,True,,2.0,13.0,545.1254940032959,322.6490058898926,548.0956974029541,277.41761779785156,45.328805157076125,2,0,True,1,0.0,0.3096292977686384,512.6736755371094,265.1368637084961,51.42266845703125,142.7383804321289,538.385009765625,336.50605392456055,545.5194805194806,330.06493506493507,9.611903302751408,0.0331770464898275,1.0,151.7186082180723,0.5917821698586099,True,12.713713795760087,30.169790992245016,50.35010650602837,0.31774854021079935,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
9,9,9,300.0,17,1.0,0.8120435476303101,4,6,0.9508132636547089,0.9933772087097168,False,,,,,True,,2.0,13.0,548.5878810882568,322.401123046875,560.0758781433105,265.99415588378906,57.56492005444269,1,0,False,0,0.0,,508.77517890930176,250.72160720825195,65.61019706726074,161.67461776733398,541.5802774429321,331.55891609191895,544.1558441558441,331.23376623376623,2.5960096923772835,0.008820823563191204,1.0,174.48031404550582,0.45206867287774843,True,3.4712490878596967,16.553555892123118,50.35010650602837,0.24302063583324385,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
