source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,564.8885765075684,317.88304138183594,,,,556.4285714285714,320.7142857142857,500.7142857142857,207.14285714285714,111.42857142857139,227.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,583.8170051574707,322.2021064758301,,,,555.0649350649351,321.8831168831169,498.3766233766234,206.23376623376623,113.37662337662334,231.2987012987013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,66.66666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,554.3393726348877,300.93502044677734,553.0984058380127,300.93502044677734,SUPPORTED,553.7012987012987,323.05194805194805,496.038961038961,205.32467532467533,115.3246753246753,235.45454545454547,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
3,3,100.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,553.5502185821533,300.68236923217773,550.8955297470093,307.2677459716797,SUPPORTED,552.3376623376623,324.2207792207792,493.7012987012987,204.41558441558442,117.27272727272725,239.6103896103896,SUPPORTED,translation_median_sparse_flow,6.103515625e-05,-6.103515625e-05,350.0,0.07629088312387466,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.006165999092498731,0.004610689515373201,350.0,0.0678277601961331,0.9999880274909719,1.0,-2.202876091003418,6.332725524902344,-2.202937126159668,6.332786560058594,-2.202937126159668,6.332786560058594,-109.18085431245053,3.8836546277064268,path_segment_001,SUPPORTED,,-2.202876091003418,6.332725524902344,-2.213410047617117,6.351917422137888,-2.213410047617117,6.351917422137888,-109.21157040070933,3.8961139879490103,path_segment_001,SUPPORTED,,-2.202876091003418,6.332725524902344,-2.202937126159668,6.332786560058594,-2.202937126159668,6.332786560058594,-109.18085431245053,3.8836546277064268,path_segment_001,SUPPORTED,,SUPPORTED,
4,4,133.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,548.6926536560059,315.5180358886719,548.6926536560059,313.60047149658203,SUPPORTED,550.974025974026,325.3896103896104,491.3636363636364,203.5064935064935,119.2207792207792,243.76623376623377,SUPPORTED,translation_median_sparse_flow,2.2032470703125,-1.1998291015625,349.0,0.18840062618255615,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.8988871336764406,-0.43739335699728443,344.0,0.3040526131023322,1.0010826360562566,0.9856733524355301,-2.202876091003418,6.332725524902344,-4.406123161315918,7.532554626464844,-6.609060287475586,13.865341186523438,-120.32524657129925,5.054587710578691,path_segment_001,SUPPORTED,,-2.202876091003418,6.332725524902344,-4.010383844687112,6.997869418113396,-6.223793892304229,13.349786840251284,-119.8164357498334,4.671713718172476,path_segment_001,SUPPORTED,,-2.202876091003418,6.332725524902344,-4.406123161315918,7.532554626464844,-6.609060287475586,13.865341186523438,-120.32524657129925,5.054587710578691,path_segment_001,SUPPORTED,,SUPPORTED,
5,5,166.66666666666666,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,547.1283206939697,313.60047149658203,548.194263458252,313.60047149658203,SUPPORTED,549.6103896103896,326.5584415584416,489.02597402597405,202.5974025974026,121.16883116883116,247.92207792207793,SUPPORTED,translation_median_sparse_flow,3.000396728515625,0.42234039306640625,350.0,0.13138702511787415,,,SUPPORTED,partial_affine_ransac_sparse_flow,3.282595326359359,0.4178326564377235,292.0,0.15020540675977567,0.9998085014174747,0.8342857142857143,-0.49839019775390625,0.0,-3.4987869262695312,-0.42234039306640625,-10.107847213745117,13.443000793457031,173.1170980071119,2.0412683202596233,path_segment_001,SUPPORTED,,-0.49839019775390625,0.0,-3.661115346185852,-0.3836656360185202,-9.884909238490081,12.966121204232763,174.0175395038862,2.132192846614964,path_segment_001,SUPPORTED,,-0.49839019775390625,0.0,-3.4987869262695312,-0.42234039306640625,-10.107847213745117,13.443000793457031,173.1170980071119,2.0412683202596233,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,545.9010696411133,321.89511489868164,547.2491683959961,315.5180358886719,SUPPORTED,548.2467532467532,327.72727272727275,486.68831168831167,201.68831168831167,123.11688311688312,252.0779220779221,SUPPORTED,translation_median_sparse_flow,4.04052734375,-0.6175918579101562,350.0,0.212721586227417,,,SUPPORTED,partial_affine_ransac_sparse_flow,2.661026485253958,-0.49827088459661784,308.0,0.30755197779392174,1.001369195773551,0.88,-0.9450950622558594,1.9175643920898438,-4.985622406005859,2.53515625,-15.093469619750977,15.978157043457031,-153.0469626421378,3.239654368687382,path_segment_001,SUPPORTED,,-0.9450950622558594,1.9175643920898438,-4.494099243971959,2.226747833386014,-14.37900848246204,15.192869037618777,-153.64238659170746,2.9050687538321975,path_segment_001,SUPPORTED,,-0.9450950622558594,1.9175643920898438,-4.985622406005859,2.53515625,-15.093469619750977,15.978157043457031,-153.0469626421378,3.239654368687382,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,233.33333333333337,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,548.1394958496094,310.2977180480957,547.2491683959961,321.89511489868164,SUPPORTED,546.8831168831168,328.8961038961039,484.35064935064935,200.77922077922076,125.06493506493507,256.23376623376623,SUPPORTED,translation_median_sparse_flow,0.1407470703125,-0.0249786376953125,350.0,0.14285510778427124,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.056780714593325315,0.009451232744725617,350.0,0.11663554084875,1.0000749405335267,1.0,0.0,6.377079010009766,-0.1407470703125,6.402057647705078,-15.234216690063477,22.38021469116211,-91.25942544025855,3.70907725936901,path_segment_001,SUPPORTED,,0.0,6.377079010009766,-0.12551723901390233,6.392075759665147,-14.504525721475943,21.584944797283924,-91.12493721983755,3.7031132891088134,path_segment_001,SUPPORTED,,0.0,6.377079010009766,-0.1407470703125,6.402057647705078,-15.234216690063477,22.38021469116211,-91.25942544025855,3.70907725936901,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,545.1254940032959,322.6490058898926,547.5612106323242,321.89511489868164,SUPPORTED,545.5194805194806,330.06493506493507,482.012987012987,199.87012987012986,127.01298701298703,260.3896103896104,SUPPORTED,translation_median_sparse_flow,4.974853515625,0.719757080078125,348.0,0.2379215508699417,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.49620481320981075,-0.26095514224931027,290.0,0.5978902947135974,1.0052798855286782,0.8333333333333334,0.312042236328125,0.0,-4.662811279296875,-0.719757080078125,-19.89702796936035,21.660457611083984,171.22501308425785,2.732766839277222,path_segment_001,SUPPORTED,,0.312042236328125,0.0,-2.1073979769188327,-1.3940133360777622,-16.611923698394776,20.190931461206162,146.51593948871962,1.4635292153951147,path_segment_001,SUPPORTED,,0.312042236328125,0.0,-4.662811279296875,-0.719757080078125,-19.89702796936035,21.660457611083984,171.22501308425785,2.732766839277222,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,548.5878810882568,322.401123046875,548.1394958496094,320.9064750671387,SUPPORTED,544.1558441558441,331.23376623376623,479.67532467532465,198.96103896103895,128.96103896103898,264.54545454545456,SUPPORTED,translation_median_sparse_flow,6.0692138671875,-0.3601531982421875,350.0,0.25874629616737366,,,SUPPORTED,partial_affine_ransac_sparse_flow,6.271981652085858,-0.2495958745972887,290.0,0.2306523814543377,0.9998996101605511,0.8285714285714286,0.5782852172851562,-0.9886398315429688,-5.490928649902344,-0.6284866333007812,-25.387956619262695,21.031970977783203,173.47039346813685,3.2012052370380517,path_segment_001,SUPPORTED,,0.5782852172851562,-0.9886398315429688,-5.681050432334018,-0.6347233954182343,-22.292974130728794,19.556208065787928,173.62498625285392,3.3110355352888456,path_segment_001,SUPPORTED,,0.5782852172851562,-0.9886398315429688,-5.490928649902344,-0.6284866333007812,-25.387956619262695,21.031970977783203,173.47039346813685,3.2012052370380517,path_segment_001,SUPPORTED,,SUPPORTED,
