source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
9,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.0,0.0,350,SUPPORTED,0.0001258271950064227,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-0.9769287109375,-0.35256195068359375,350,SUPPORTED,1.7359766960144043,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-0.999481201171875,0.7318878173828125,350,SUPPORTED,1.845815658569336,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-0.9268798828125,-0.45180511474609375,350,SUPPORTED,1.9267213344573975,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-0.905609130859375,0.6867141723632812,350,SUPPORTED,2.15346622467041,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-0.666290283203125,-0.3486175537109375,350,SUPPORTED,2.530719757080078,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.0,0.0,350,SUPPORTED,0.00012992313713766634,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,-0.12628555297851562,0.5998001098632812,350,SUPPORTED,2.101616859436035,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-0.000202178955078125,-0.2525787353515625,350,SUPPORTED,2.0525999069213867,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,-0.685699462890625,2.3600616455078125,350,UNSTABLE_TRANSFORM,12.451902389526367,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-0.001323699951171875,-0.02850341796875,350,SUPPORTED,1.9970343112945557,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,-3.0517578125e-05,0.72039794921875,350,SUPPORTED,2.2511329650878906,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,0.0,0.0,350,SUPPORTED,0.00016848783707246184,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,-0.00240325927734375,-0.001922607421875,350,SUPPORTED,2.362138271331787,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,-0.0046234130859375,0.806854248046875,350,SUPPORTED,2.232938051223755,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,-2.2077713012695312,0.5073089599609375,348,UNSTABLE_TRANSFORM,10.197734832763672,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,0.0,0.0,350,SUPPORTED,0.00013881127233617008,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,-1.7308731079101562,0.9693231582641602,350,SUPPORTED,0.40487971901893616,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,0.0,-6.103515625e-05,350,SUPPORTED,0.016019873321056366,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,-1.7548294067382812,-0.4898567199707031,350,SUPPORTED,0.4074859023094177,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.0,-4.57763671875e-05,350,SUPPORTED,0.0002597390557639301,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,-1.7817001342773438,0.7024002075195312,350,SUPPORTED,0.3284817039966583,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,4.57763671875e-05,-1.52587890625e-05,350,SUPPORTED,0.002427339553833008,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,-1.69451904296875,-0.4892406463623047,350,SUPPORTED,0.3174707889556885,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,-1.6288189888000488,0.64239501953125,350,SUPPORTED,0.29411691427230835,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,-1.496490478515625,-0.5689544677734375,350,SUPPORTED,0.29179179668426514,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,0.0,0.0,350,SUPPORTED,0.0001423151115886867,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,-1.4053955078125,0.5007991790771484,350,SUPPORTED,0.25429439544677734,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,0.0,0.0,350,SUPPORTED,0.00014036806533113122,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,-1.34716796875,-0.7775115966796875,350,SUPPORTED,0.26405465602874756,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,0.0,0.0,350,SUPPORTED,7.217717939056456e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
