frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,5,3,True,4,0.5445123948376868,0.11709729331122905,True,True,False,True,104.1658935546875,458.45037841796875,86.48252868652344,324.26824951171875,,,135.34232564454518,,78.36821746826172,293.35748291015625,125.7793197631836,347.7384948730469,141.25787734985352,467.2267303466797,369.7870983372206,,191.42857142857144,437.8571428571429,58.13493969761952,0.09794951503122609,1.0,True
1,1,1,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,0,True,2,0.16920869769179758,0.19270307613259308,True,True,True,True,208.3654556274414,410.5403137207031,227.88086700439453,287.066463470459,114.68619374384116,146.21033808768382,125.00657173457492,0.0861021735080466,185.02340698242188,232.85432815551758,90.39900207519531,404.76887130737305,230.22290802001953,435.2387638092041,414.7406644586902,0.3744864461471451,213.57142857142856,438.57142857142856,16.9817084607003,0.02878594157193558,1.0,True
2,2,2,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,2,True,3,0.18770647782907032,0.18553548611649892,True,True,False,True,219.1218376159668,433.0664367675781,241.59967803955078,290.00574111938477,24.962491322102178,14.03015072320321,144.81580006840798,0.16502111311056883,208.87479400634766,231.5990447998047,70.28618621826172,422.6535186767578,244.01788711547852,442.9258041381836,428.45786820054155,0.11427139876915932,235.71428571428567,439.28571428571416,9.066424342812484,0.015459582530348992,1.0,True
3,3,3,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,0,True,2,0.20425639604262907,0.3049836112857307,True,True,True,True,320.5151596069336,388.98046875,321.51116943359375,279.0562057495117,110.5630061114964,80.65816004370733,109.9287752673308,0.29062695268936733,278.2458190917969,226.9972381591797,83.22982788085938,318.18995666503906,319.86073303222656,386.0922164916992,328.89520028662156,0.8294084962083841,257.85714285714283,439.99999999999994,82.16139189045886,0.1409022416591377,1.0,True
4,4,4,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,1,True,2,0.3317872167138107,0.14562532434739411,True,True,False,True,264.6937446594238,426.2209701538086,284.66543197631836,284.57211685180664,67.10354172135132,37.25632354458619,143.0498721986702,0.27591586057482065,234.98782348632812,235.11959838867188,92.99951171875,404.5890808105469,281.4875793457031,437.4141387939453,415.1400167305594,0.7184639083233485,272.6190476190476,436.66666666666663,8.899975818380312,0.015061846599202107,1.0,True
5,5,5,166.66666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.3929667167603056,0.13338464065988612,True,True,False,False,276.1600532531738,425.31861877441406,288.75780487060547,288.91025161743164,11.501759464490654,5.963801568682523,136.98885347446566,0.05049141943323214,240.0957260131836,234.43560791015625,97.34561920166016,414.36859130859375,288.7685356140137,441.6199035644531,425.64950257321226,0.08754945032423458,287.38095238095235,433.3333333333333,8.401942241169833,0.014030128290504608,1.0,True
6,6,6,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.5660149088920321,0.18811433064887528,True,True,False,False,297.4222297668457,420.24493408203125,303.6129722595215,287.1078109741211,21.859149719425492,14.964116760616767,133.2809770449686,0.030888527577169225,225.68276596069336,234.6050262451172,143.9716682434082,343.0939483642578,297.66860008239746,406.1520004272461,372.07700635885305,0.44628658968537654,302.1428571428571,430.0,24.26408992451898,0.039976004417285646,1.0,True
7,7,7,233.33333333333334,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,296.98241806030273,417.80757904052734,318.33655166625977,283.12849044799805,2.4767183803486312,15.251845212830865,136.3614898942345,0.025662264615781805,249.47669219970703,239.31265258789062,115.7004623413086,409.7666320800781,307.3269233703613,444.1959686279297,425.78784594236913,0.4474390614720105,315.42857142857144,429.2857142857142,16.96915984392436,0.027879472964638583,1.0,True
8,8,8,266.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.6346750062457255,0.14310139403100153,True,True,False,False,330.34730529785156,434.1688690185547,358.1167221069336,293.85858154296875,37.160563910137945,41.20190305308032,143.03187505377286,0.05556775687335653,283.1049270629883,254.41063690185547,146.99138641357422,342.77490997314453,356.6006202697754,425.79809188842773,372.9626074915313,0.4400615461935916,328.7142857142857,428.5714285714286,28.023901428922695,0.045913115652570224,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,True,,9.0,10.0,ACCEPTED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,339.784423828125,418.6179504394531,355.8792724609375,281.98925399780273,18.19038962772036,12.078373950694058,137.57341619607254,0.045471784230358005,263.1904525756836,248.59091186523438,177.2073745727539,386.0859069824219,351.79413986206055,441.6338653564453,424.8114654448578,0.4319277918744704,342.0,427.85714285714283,16.90335050989568,0.027615959783984352,1.0,True
